阿	$ddcmd(阿,阿[aa])	aaek#序5000
拓	$ddcmd(拓,拓[taf])	tafk#序2430
凧	$ddcmd(凧,凧[tak])	tako#序2429
她	$ddcmd(她,她[ta])	tanv#序2428
牠	$ddcmd(牠,牠[tan])	tanx#序2427
獭	$ddcmd(獭,獭[taq])	taqb#序2426
他	$ddcmd(他,他[t])	tarv#序2425
塔	$ddcmd(塔,塔[tat])	tatk#序2424
踏	$ddcmd(踏,踏[taz])	tazo#序2423
韜	$ddcmd(韜,韜[tca])	tcaa#序2422
萄	$ddcmd(萄,萄[tcc])	tccf#序2421
套	$ddcmd(套,套[tcd])	tcds#序2420
陶	$ddcmd(陶,陶[tce])	tcef#序2419
掏	$ddcmd(掏,掏[tcf])	tcff#序2418
燾	$ddcmd(燾,燾[dchu])	tchu#序2417
唞	$ddcmd(唞,唞[dzku])	tcku#序2416
桃	$ddcmd(桃,桃[tcm])	tcmd#序2415
绦	$ddcmd(绦,绦[tcs])	tcsm#序2414
讨	$ddcmd(讨,讨[tcy])	tcyc#序2413
逃	$ddcmd(逃,逃[tc])	tczp#序2412
苔	$ddcmd(苔,苔[tdc])	tdck#序2411
太	$ddcmd(太,太[td])	tddd#序2410
汰	$ddcmd(汰,汰[tdd])	tddd#序2409
抬	$ddcmd(抬,抬[tdf])	tdfk#序2408
軚	$ddcmd(軚,軚[tdi])	tdid#序2407
呔	$ddcmd(呔,呔[ddkd])	tdkd#序2406
胎	$ddcmd(胎,胎[tdo])	tdok#序2405
台	$ddcmd(台,台[tds])	tdsk#序2404
态	$ddcmd(态,态[tdx])	tdxd#序2403
酞	$ddcmd(酞,酞[tdy])	tdyd#序2402
特	$ddcmd(特,特[te])	tenc#序2401
氹	$ddcmd(氹,氹[dhd])	tfdg#序2400
疼	$ddcmd(疼,疼[tgb])	tgbd#序2399
藤	$ddcmd(藤,藤[tgc])	tgcd#序2398
腾	$ddcmd(腾,腾[tg])	tgom#序2397
騰	$ddcmd(騰,騰[tgo])	tgom#序2396
籐	$ddcmd(籐,籐[tgv])	tgvd#序2395
汤	$ddcmd(汤,汤[thd])	thdp#序2394
搪	$ddcmd(搪,搪[thf])	thfk#序2393
唐	$ddcmd(唐,唐[th])	thgk#序2392
烫	$ddcmd(烫,烫[thh])	thhd#序2391
鏜	$ddcmd(鏜,鏜[thj])	thjt#序2390
糖	$ddcmd(糖,糖[thm])	thmk#序2389
膛	$ddcmd(膛,膛[tho])	thot#序2388
倘	$ddcmd(倘,倘[thr])	thrk#序2387
堂	$ddcmd(堂,堂[tht])	thtx#序2386
躺	$ddcmd(躺,躺[thu])	thuk#序2385
棠	$ddcmd(棠,棠[thx])	thxm#序2384
趟	$ddcmd(趟,趟[thz])	thzk#序2383
剔	$ddcmd(剔,剔[tid])	tido#序2382
提	$ddcmd(提,提[dif])	tifr#序2381
锑	$ddcmd(锑,锑[tij])	tijp#序2380
啼	$ddcmd(啼,啼[tik])	tikj#序2379
梯	$ddcmd(梯,梯[tim])	timp#序2378
鵜	$ddcmd(鵜,鵜[tin])	tinb#序2377
题	$ddcmd(题,题[tio])	tioa#序2376
体	$ddcmd(体,体[ti])	tira#序2375
俤	$ddcmd(俤,俤[tir])	tirp#序2374
緹	$ddcmd(緹,緹[tis])	tisr#序2373
屉	$ddcmd(屉,屉[tiu])	tiuv#序2372
惕	$ddcmd(惕,惕[tix])	tixp#序2371
醍	$ddcmd(醍,醍[tiy])	tiyr#序2370
踢	$ddcmd(踢,踢[tiz])	tizp#序2369
贪	$ddcmd(贪,贪[tjb])	tjbr#序2368
歎	$ddcmd(歎,歎[tjc])	tjcq#序2367
滩	$ddcmd(滩,滩[tjd])	tjdf#序2366
炭	$ddcmd(炭,炭[tje])	tjeh#序2365
探	$ddcmd(探,探[tjf])	tjfm#序2364
弹	$ddcmd(弹,弹[djg])	tjga#序2363
叹	$ddcmd(叹,叹[tjk])	tjky#序2362
毯	$ddcmd(毯,毯[tjm])	tjmh#序2361
曇	$ddcmd(曇,曇[tjo])	tjos#序2360
袒	$ddcmd(袒,袒[tjp])	tjpa#序2359
坦	$ddcmd(坦,坦[tjt])	tjta#序2358
碳	$ddcmd(碳,碳[tju])	tjuh#序2357
谈	$ddcmd(谈,谈[tj])	tjyh#序2356
谭	$ddcmd(谭,谭[tjy])	tjyu#序2355
汀	$ddcmd(汀,汀[tkd])	tkdd#序2354
聴	$ddcmd(聴,聴[tke])	tkex#序2353
挺	$ddcmd(挺,挺[tkf])	tkfz#序2352
庭	$ddcmd(庭,庭[tkg])	tkgz#序2351
烃	$ddcmd(烃,烃[tkh])	tkhg#序2350
厅	$ddcmd(厅,厅[tki])	tkid#序2349
听	$ddcmd(听,听[tk])	tkkj#序2348
停	$ddcmd(停,停[tkr])	tkrd#序2347
町	$ddcmd(町,町[dkt])	tktd#序2346
艇	$ddcmd(艇,艇[tkv])	tkvz#序2345
亭	$ddcmd(亭,亭[tkw])	tkwd#序2344
廷	$ddcmd(廷,廷[tkz])	tkzp#序2343
天	$ddcmd(天,天[tm])	tmad#序2342
添	$ddcmd(添,添[tmd])	tmdx#序2341
畑	$ddcmd(畑,畑[tmh])	tmht#序2340
鈿	$ddcmd(鈿,鈿[dmj])	tmjt#序2339
田	$ddcmd(田,田[tmk])	tmku#序2338
闐	$ddcmd(闐,闐[tmm])	tmmb#序2337
腆	$ddcmd(腆,腆[tmo])	tmob#序2336
甜	$ddcmd(甜,甜[tmp])	tmpc#序2335
佃	$ddcmd(佃,佃[dmr])	tmrt#序2334
填	$ddcmd(填,填[tmt])	tmtb#序2333
恬	$ddcmd(恬,恬[tmx])	tmxk#序2332
挑	$ddcmd(挑,挑[tnf])	tnfd#序2331
眺	$ddcmd(眺,眺[tno])	tnod#序2330
条	$ddcmd(条,条[tn])	tnwm#序2329
调	$ddcmd(调,调[dn])	tnyk#序2328
跳	$ddcmd(跳,跳[tnz])	tnzd#序2327
陀	$ddcmd(陀,陀[toe])	toev#序2326
托	$ddcmd(托,托[tof])	tofq#序2325
唾	$ddcmd(唾,唾[tok])	toka#序2324
驼	$ddcmd(驼,驼[tom])	tomv#序2323
鸵	$ddcmd(鸵,鸵[ton])	tonv#序2322
脱	$ddcmd(脱,脱[to])	tooe#序2321
妥	$ddcmd(妥,妥[tov])	tovn#序2320
託	$ddcmd(託,託[toy])	toyv#序2319
迆	$ddcmd(迆,迆[toz])	tozx#序2318
贴	$ddcmd(贴,贴[tpb])	tpbk#序2317
帖	$ddcmd(帖,帖[tpj])	tpjk#序2316
铁	$ddcmd(铁,铁[tp])	tpjn#序2315
畳	$ddcmd(畳,畳[dpt])	tptq#序2314
湍	$ddcmd(湍,湍[trd])	trda#序2313
揣	$ddcmd(揣,揣[ik])	trfa#序2312
団	$ddcmd(団,団[trk])	trkc#序2311
团	$ddcmd(团,团[tr])	trkp#序2310
痛	$ddcmd(痛,痛[tsb])	tsba#序2309
捅	$ddcmd(捅,捅[tsf])	tsfa#序2308
铜	$ddcmd(铜,铜[tsj])	tsjk#序2307
同	$ddcmd(同,同[ts])	tskk#序2306
彫	$ddcmd(彫,彫[tsk])	tskp#序2305
童	$ddcmd(童,童[tsl])	tsla#序2304
桶	$ddcmd(桶,桶[tsm])	tsma#序2303
瞳	$ddcmd(瞳,瞳[tso])	tsoa#序2302
彤	$ddcmd(彤,彤[tsp])	tspp#序2301
侗	$ddcmd(侗,侗[dsr])	tsrk#序2300
统	$ddcmd(统,统[tss])	tsse#序2299
筒	$ddcmd(筒,筒[tsv])	tsvk#序2298
慟	$ddcmd(慟,慟[tsx])	tsxl#序2297
酮	$ddcmd(酮,酮[tsy])	tsyk#序2296
通	$ddcmd(通,通[tsz])	tszs#序2295
凸	$ddcmd(凸,凸[tua])	tuaa#序2294
突	$ddcmd(突,突[tu])	tubq#序2293
涂	$ddcmd(涂,涂[tud])	tudh#序2292
秃	$ddcmd(秃,秃[tuh])	tuhj#序2291
图	$ddcmd(图,图[tuk])	tukd#序2290
腯	$ddcmd(腯,腯[tuo])	tuoo#序2289
兎	$ddcmd(兎,兎[tup])	tupd#序2288
徒	$ddcmd(徒,徒[tur])	turr#序2287
塗	$ddcmd(塗,塗[tut])	tutd#序2286
土	$ddcmd(土,土[tuu])	tuua#序2285
途	$ddcmd(途,途[tuz])	tuzr#序2284
推	$ddcmd(推,推[tvf])	tvff#序2283
颓	$ddcmd(颓,颓[tvh])	tvha#序2282
蜕	$ddcmd(蜕,蜕[tvi])	tvie#序2281
粋	$ddcmd(粋,粋[cvmu])	tvmu#序2280
腿	$ddcmd(腿,腿[tvo])	tvoz#序2279
褪	$ddcmd(褪,褪[tvp])	tvpz#序2278
退	$ddcmd(退,退[tv])	tvzv#序2277
吞	$ddcmd(吞,吞[ty])	tyak#序2276
屯	$ddcmd(屯,屯[tya])	tyav#序2275
囤	$ddcmd(囤,囤[dykv])	tykv#序2274
臀	$ddcmd(臀,臀[tyo])	tyou#序2273
褪	$ddcmd(褪,褪[tvp])	typz#序2272
飩	$ddcmd(飩,飩[tyu])	tyuv#序2271
頭	$ddcmd(頭,頭[tzd])	tzdb#序2270
头	$ddcmd(头,头[tz])	tzdd#序2269
投	$ddcmd(投,投[tzf])	tzfy#序2268
偷	$ddcmd(偷,偷[tzr])	tzrd#序2267
透	$ddcmd(透,透[tzz])	tzzh#序2266
鯊	$ddcmd(鯊,鯊[uaa])	uaad#序2265
莎	$ddcmd(莎,莎[uac])	uacp#序2264
沙	$ddcmd(沙,沙[uad])	uadp#序2263
煞	$ddcmd(煞,煞[uah])	uahd#序2262
厦	$ddcmd(厦,厦[uai])	uaiw#序2261
啥	$ddcmd(啥,啥[uak])	uakk#序2260
杉	$ddcmd(杉,杉[uam])	uamp#序2259
傻	$ddcmd(傻,傻[uar])	uarw#序2258
纱	$ddcmd(纱,纱[uas])	uasp#序2257
砂	$ddcmd(砂,砂[uau])	uaup#序2256
杀	$ddcmd(杀,杀[ua])	uaxm#序2255
殺	$ddcmd(殺,殺[uax])	uaxy#序2254
裟	$ddcmd(裟,裟[uay])	uayd#序2253
芍	$ddcmd(芍,芍[ucc])	uccd#序2252
召	$ddcmd(召,召[ucd])	ucdk#序2251
邵	$ddcmd(邵,邵[uce])	uced#序2250
捎	$ddcmd(捎,捎[ucf])	ucfo#序2249
鞘	$ddcmd(鞘,鞘[qngo])	ucgo#序2248
稍	$ddcmd(稍,稍[uch])	ucho#序2247
哨	$ddcmd(哨,哨[uck])	ucko#序2246
韶	$ddcmd(韶,韶[ucl])	uclk#序2245
梢	$ddcmd(梢,梢[ucm])	ucmo#序2244
绍	$ddcmd(绍,绍[ucs])	ucsk#序2243
少	$ddcmd(少,少[uc])	ucxp#序2242
色	$ddcmd(色,色[se])	uddv#序2241
晒	$ddcmd(晒,晒[udo])	udox#序2240
筛	$ddcmd(筛,筛[udv])	udvj#序2239
赊	$ddcmd(赊,赊[ueb])	uebx#序2238
涉	$ddcmd(涉,涉[ued])	uedp#序2237
折	$ddcmd(折,折[uef])	uefj#序2236
蛇	$ddcmd(蛇,蛇[uei])	ueiv#序2235
社	$ddcmd(社,社[uep])	uept#序2234
舍	$ddcmd(舍,舍[uer])	uerk#序2233
射	$ddcmd(射,射[ueu])	ueuc#序2232
筈	$ddcmd(筈,筈[uev])	uevk#序2231
赦	$ddcmd(赦,赦[uew])	uewt#序2230
慑	$ddcmd(慑,慑[uex])	uexy#序2229
设	$ddcmd(设,设[ue])	ueyy#序2228
設	$ddcmd(設,設[uey])	ueyy#序2227
申	$ddcmd(申,申[ufa])	ufaa#序2226
审	$ddcmd(审,审[ufb])	ufba#序2225
深	$ddcmd(深,深[ufd])	ufdm#序2224
呻	$ddcmd(呻,呻[ufk])	ufka#序2223
榊	$ddcmd(榊,榊[ufm])	ufma#序2222
娠	$ddcmd(娠,娠[ufn])	ufnn#序2221
肾	$ddcmd(肾,肾[ufo])	ufoa#序2220
神	$ddcmd(神,神[ufp])	ufpa#序2219
身	$ddcmd(身,身[uf])	ufpp#序2218
甚	$ddcmd(甚,甚[ufq])	ufqv#序2217
什	$ddcmd(什,什[ufr])	ufru#序2216
参	$ddcmd(参,参[cj])	ufsp#序2215
砷	$ddcmd(砷,砷[ufu])	ufua#序2214
慎	$ddcmd(慎,慎[ufx])	ufxb#序2213
谂	$ddcmd(谂,谂[ufy])	ufyx#序2212
剩	$ddcmd(剩,剩[ugd])	ugdp#序2211
盛	$ddcmd(盛,盛[igm])	ugmg#序2210
牲	$ddcmd(牲,牲[ugn])	ugnf#序2209
胜	$ddcmd(胜,胜[ugo])	ugof#序2208
升	$ddcmd(升,升[ugp])	ugpc#序2207
生	$ddcmd(生,生[ug])	ugpf#序2206
绳	$ddcmd(绳,绳[ugs])	ugsv#序2205
圣	$ddcmd(圣,圣[ugt])	ugty#序2204
声	$ddcmd(声,声[ugu])	ugup#序2203
笙	$ddcmd(笙,笙[ugv])	ugvf#序2202
聖	$ddcmd(聖,聖[ugw])	ugwe#序2201
省	$ddcmd(省,省[ugx])	ugxo#序2200
上	$ddcmd(上,上[uh])	uhaa#序2199
赏	$ddcmd(赏,赏[uhb])	uhbx#序2198
殤	$ddcmd(殤,殤[uhd])	uhdp#序2197
觴	$ddcmd(觴,觴[uhj])	uhjp#序2196
商	$ddcmd(商,商[uhl])	uhlk#序2195
晌	$ddcmd(晌,晌[uho])	uhok#序2194
伤	$ddcmd(伤,伤[uhr])	uhrl#序2193
墒	$ddcmd(墒,墒[uht])	uhtk#序2192
尚	$ddcmd(尚,尚[uhx])	uhxk#序2191
事	$ddcmd(事,事[uia])	uiaa#序2190
实	$ddcmd(实,实[uib])	uibd#序2189
世	$ddcmd(世,世[uic])	uicv#序2188
湿	$ddcmd(湿,湿[uid])	uida#序2187
示	$ddcmd(示,示[uie])	uiex#序2186
施	$ddcmd(施,施[uif])	uifv#序2185
虱	$ddcmd(虱,虱[uig])	uigi#序2184
軾	$ddcmd(軾,軾[uii])	uiid#序2183
噬	$ddcmd(噬,噬[uik])	uikr#序2182
势	$ddcmd(势,势[uil])	uilf#序2181
驶	$ddcmd(驶,驶[uim])	uimn#序2180
始	$ddcmd(始,始[uin])	uink#序2179
时	$ddcmd(时,时[ui])	uioc#序2178
是	$ddcmd(是,是[u])	uior#序2177
匙	$ddcmd(匙,匙[iio])	uiov#序2176
失	$ddcmd(失,失[uip])	uipn#序2175
式	$ddcmd(式,式[uiq])	uiqd#序2174
什	$ddcmd(什,什[ufr])	uiru#序2173
室	$ddcmd(室,室[uit])	uitb#序2172
士	$ddcmd(士,士[uiu])	uiua#序2171
尸	$ddcmd(尸,尸[uiv])	uivp#序2170
市	$ddcmd(市,市[uiw])	uiwj#序2169
恃	$ddcmd(恃,恃[uix])	uixc#序2168
识	$ddcmd(识,识[uiy])	uiyb#序2167
适	$ddcmd(适,适[uiz])	uizp#序2166
鱔	$ddcmd(鱔,鱔[uja])	ujak#序2165
单	$ddcmd(单,单[djb])	ujba#序2164
苫	$ddcmd(苫,苫[ujc])	ujck#序2163
删	$ddcmd(删,删[ujd])	ujdp#序2162
陕	$ddcmd(陕,陕[uje])	ujen#序2161
擅	$ddcmd(擅,擅[ujf])	ujfa#序2160
扇	$ddcmd(扇,扇[ujh])	ujhy#序2159
山	$ddcmd(山,山[uj])	ujka#序2158
闪	$ddcmd(闪,闪[ujm])	ujmr#序2157
姍	$ddcmd(姍,姍[ujn])	ujna#序2156
膳	$ddcmd(膳,膳[ujo])	ujok#序2155
衫	$ddcmd(衫,衫[ujp])	ujpp#序2154
缮	$ddcmd(缮,缮[ujs])	ujsk#序2153
珊	$ddcmd(珊,珊[ujw])	ujwa#序2152
単	$ddcmd(単,単[djxa])	ujxa#序2151
善	$ddcmd(善,善[ujy])	ujyk#序2150
辿	$ddcmd(辿,辿[ujz])	ujze#序2149
帅	$ddcmd(帅,帅[uka])	ukaj#序2148
摔	$ddcmd(摔,摔[ukf])	ukfu#序2147
甩	$ddcmd(甩,甩[ukp])	ukpv#序2146
率	$ddcmd(率,率[lv])	ukwu#序2145
衰	$ddcmd(衰,衰[ukw])	ukwy#序2144
爽	$ddcmd(爽,爽[uld])	uldx#序2143
塽	$ddcmd(塽,塽[ult])	ultx#序2142
霜	$ddcmd(霜,霜[uly])	ulyo#序2141
双	$ddcmd(双,双[ul])	ulyy#序2140
烁	$ddcmd(烁,烁[uoh])	uohd#序2139
鑠	$ddcmd(鑠,鑠[uoj])	uojm#序2138
朔	$ddcmd(朔,朔[uoq])	uoqo#序2137
硕	$ddcmd(硕,硕[uou])	uoua#序2136
说	$ddcmd(说,说[uo])	uoye#序2135
説	$ddcmd(説,説[uoy])	uoye#序2134
拴	$ddcmd(拴,拴[ur])	urfw#序2133
栓	$ddcmd(栓,栓[urm])	urmw#序2132
束	$ddcmd(束,束[uua])	uuan#序2131
赎	$ddcmd(赎,赎[uub])	uubd#序2130
蔬	$ddcmd(蔬,蔬[uuc])	uucv#序2129
殊	$ddcmd(殊,殊[uud])	uudn#序2128
抒	$ddcmd(抒,抒[uuf])	uufa#序2127
庶	$ddcmd(庶,庶[uug])	uugh#序2126
熟	$ddcmd(熟,熟[uuh])	uuhw#序2125
输	$ddcmd(输,输[uui])	uuid#序2124
竖	$ddcmd(竖,竖[uul])	uula#序2123
术	$ddcmd(术,术[uum])	uumd#序2122
暑	$ddcmd(暑,暑[uuo])	uuoo#序2121
鼠	$ddcmd(鼠,鼠[uup])	uupv#序2120
舒	$ddcmd(舒,舒[uur])	uura#序2119
署	$ddcmd(署,署[uus])	uuso#序2118
墅	$ddcmd(墅,墅[uut])	uuta#序2117
属	$ddcmd(属,属[uuu])	uuud#序2116
书	$ddcmd(书,书[uuv])	uuvd#序2115
孰	$ddcmd(孰,孰[uuw])	uuwd#序2114
数	$ddcmd(数,数[uu])	uuwm#序2113
恕	$ddcmd(恕,恕[uux])	uuxn#序2112
述	$ddcmd(述,述[uuz])	uuza#序2111
水	$ddcmd(水,水[uva])	uvan#序2110
税	$ddcmd(税,税[uvh])	uvhe#序2109
睡	$ddcmd(睡,睡[uvo])	uvoa#序2108
说	$ddcmd(说,说[uo])	uvye#序2107
谁	$ddcmd(谁,谁[uvy])	uvyf#序2106
谁	$ddcmd(谁,谁[uvy])	uwyf#序2105
誰	$ddcmd(誰,誰[uvyf])	uwyf#序2104
耍	$ddcmd(耍,耍[uxa])	uxan#序2103
刷	$ddcmd(刷,刷[ux])	uxdu#序2102
吮	$ddcmd(吮,吮[uyk])	uyke#序2101
楯	$ddcmd(楯,楯[dym])	uymo#序2100
瞬	$ddcmd(瞬,瞬[uyo])	uyoa#序2099
顺	$ddcmd(顺,顺[uy])	uypa#序2098
順	$ddcmd(順,順[uyp])	uypa#序2097
舜	$ddcmd(舜,舜[uyv])	uyva#序2096
守	$ddcmd(守,守[uzb])	uzbc#序2095
授	$ddcmd(授,授[uzf])	uzfy#序2094
熟	$ddcmd(熟,熟[uuh])	uzhw#序2093
售	$ddcmd(售,售[uzk])	uzkr#序2092
手	$ddcmd(手,手[uz])	uzpa#序2091
首	$ddcmd(首,首[uzq])	uzqo#序2090
綬	$ddcmd(綬,綬[uzs])	uzsy#序2089
受	$ddcmd(受,受[uzv])	uzvy#序2088
收	$ddcmd(收,收[uzw])	uzwv#序2087
獣	$ddcmd(獣,獣[uzx])	uzxq#序2086
渣	$ddcmd(渣,渣[vad])	vada#序2085
揸	$ddcmd(揸,揸[vaf])	vafa#序2084
扎	$ddcmd(扎,扎[va])	vafv#序2083
炸	$ddcmd(炸,炸[vah])	vaha#序2082
轧	$ddcmd(轧,轧[gai])	vaiv#序2081
铡	$ddcmd(铡,铡[vaj])	vajd#序2080
咋	$ddcmd(咋,咋[vak])	vaka#序2079
栅	$ddcmd(栅,栅[cem])	vama#序2078
眨	$ddcmd(眨,眨[vao])	vaon#序2077
乍	$ddcmd(乍,乍[var])	vara#序2076
诈	$ddcmd(诈,诈[vay])	vaya#序2075
著	$ddcmd(著,著[vcc])	vcco#序2074
召	$ddcmd(召,召[ucd])	vcdk#序2073
找	$ddcmd(找,找[vcf])	vcfg#序2072
照	$ddcmd(照,照[vch])	vcho#序2071
嘲	$ddcmd(嘲,嘲[icko])	vcko#序2070
櫂	$ddcmd(櫂,櫂[vcm])	vcmf#序2069
昭	$ddcmd(昭,昭[vco])	vcok#序2068
爪	$ddcmd(爪,爪[vcp])	vcpn#序2067
罩	$ddcmd(罩,罩[vcs])	vcsu#序2066
朝	$ddcmd(朝,朝[ic])	vcuo#序2065
着	$ddcmd(着,着[vc])	vcyo#序2064
著	$ddcmd(著,著[vcc])	vcyo#序2063
赵	$ddcmd(赵,赵[vcz])	vczx#序2062
寨	$ddcmd(寨,寨[vdb])	vdbm#序2061
择	$ddcmd(择,择[vdf])	vdfa#序2060
债	$ddcmd(债,债[vdr])	vdrb#序2059
侧	$ddcmd(侧,侧[cer])	vdrd#序2058
砦	$ddcmd(砦,砦[vdv])	vdvu#序2057
斋	$ddcmd(斋,斋[vdw])	vdwa#序2056
翟	$ddcmd(翟,翟[diy])	vdyf#序2055
著	$ddcmd(著,著[vcc])	veco#序2054
浙	$ddcmd(浙,浙[ved])	vedj#序2053
折	$ddcmd(折,折[uef])	vefj#序2052
辙	$ddcmd(辙,辙[vei])	veiw#序2051
锗	$ddcmd(锗,锗[vej])	vejo#序2050
哲	$ddcmd(哲,哲[vek])	vekf#序2049
柘	$ddcmd(柘,柘[vem])	vemu#序2048
鷓	$ddcmd(鷓,鷓[ven])	veng#序2047
者	$ddcmd(者,者[vet])	veto#序2046
喆	$ddcmd(喆,喆[veu])	veuk#序2045
着	$ddcmd(着,着[vc])	veyo#序2044
著	$ddcmd(著,著[vcc])	veyo#序2043
遮	$ddcmd(遮,遮[vez])	vezg#序2042
这	$ddcmd(这,这[v])	vezw#序2041
臻	$ddcmd(臻,臻[vfa])	vfah#序2040
贞	$ddcmd(贞,贞[vfb])	vfba#序2039
阵	$ddcmd(阵,阵[vfe])	vfei#序2038
振	$ddcmd(振,振[vff])	vffn#序2037
镇	$ddcmd(镇,镇[vfj])	vfjb#序2036
枕	$ddcmd(枕,枕[vfm])	vfmv#序2035
鴆	$ddcmd(鴆,鴆[vfn])	vfnd#序2034
朕	$ddcmd(朕,朕[vfo])	vfod#序2033
禎	$ddcmd(禎,禎[vfp])	vfpb#序2032
斟	$ddcmd(斟,斟[vfq])	vfqu#序2031
侦	$ddcmd(侦,侦[vfr])	vfrb#序2030
縝	$ddcmd(縝,縝[vfs])	vfsb#序2029
真	$ddcmd(真,真[vf])	vfub#序2028
砧	$ddcmd(砧,砧[vfu])	vfuk#序2027
珍	$ddcmd(珍,珍[vfw])	vfwp#序2026
甄	$ddcmd(甄,甄[vfx])	vfxw#序2025
震	$ddcmd(震,震[vfy])	vfyn#序2024
䟴	$ddcmd(䟴,䟴[vfz])	vfzy#序2023
正	$ddcmd(正,正[vg])	vgav#序2022
整	$ddcmd(整,整[vga])	vgav#序2021
症	$ddcmd(症,症[vgb])	vgbv#序2020
蒸	$ddcmd(蒸,蒸[vgc])	vgch#序2019
争	$ddcmd(争,争[vgd])	vgda#序2018
郑	$ddcmd(郑,郑[vge])	vgeq#序2017
挣	$ddcmd(挣,挣[vgf])	vgfa#序2016
錚	$ddcmd(錚,錚[vgj])	vgja#序2015
睁	$ddcmd(睁,睁[vgo])	vgoa#序2014
狰	$ddcmd(狰,狰[vgq])	vgqa#序2013
征	$ddcmd(征,征[vgr])	vgrv#序2012
箏	$ddcmd(箏,箏[vgv])	vgva#序2011
政	$ddcmd(政,政[vgw])	vgwa#序2010
怔	$ddcmd(怔,怔[vgx])	vgxv#序2009
证	$ddcmd(证,证[vgy])	vgyv#序2008
丈	$ddcmd(丈,丈[vha])	vhan#序2007
账	$ddcmd(账,账[vhb])	vhbn#序2006
涨	$ddcmd(涨,涨[vhd])	vhdn#序2005
障	$ddcmd(障,障[vhe])	vheu#序2004
张	$ddcmd(张,张[vhg])	vhgn#序2003
帐	$ddcmd(帐,帐[vhj])	vhjn#序2002
章	$ddcmd(章,章[vhl])	vhlu#序2001
杖	$ddcmd(杖,杖[vhm])	vhmn#序2000
胀	$ddcmd(胀,胀[vho])	vhon#序1999
长	$ddcmd(长,长[ih])	vhpn#序1998
仗	$ddcmd(仗,仗[vhr])	vhrn#序1997
掌	$ddcmd(掌,掌[vhx])	vhxu#序1996
止	$ddcmd(止,止[via])	viaa#序1995
窒	$ddcmd(窒,窒[vib])	vibt#序1994
芝	$ddcmd(芝,芝[vic])	vicn#序1993
之	$ddcmd(之,之[vi])	vidn#序1992
制	$ddcmd(制,制[vid])	vidp#序1991
职	$ddcmd(职,职[vie])	vieb#序1990
指	$ddcmd(指,指[vif])	vifo#序1989
秩	$ddcmd(秩,秩[vih])	vihn#序1988
蜘	$ddcmd(蜘,蜘[vii])	viik#序1987
帜	$ddcmd(帜,帜[vij])	vijb#序1986
只	$ddcmd(只,只[vik])	vikb#序1985
枝	$ddcmd(枝,枝[vim])	vimy#序1984
姪	$ddcmd(姪,姪[vin])	vint#序1983
智	$ddcmd(智,智[vio])	viou#序1982
质	$ddcmd(质,质[vip])	vipb#序1981
值	$ddcmd(值,值[vir])	virq#序1980
置	$ddcmd(置,置[vis])	visq#序1979
至	$ddcmd(至,至[vit])	vita#序1978
知	$ddcmd(知,知[viu])	viuk#序1977
致	$ddcmd(致,致[viw])	viwa#序1976
志	$ddcmd(志,志[vix])	vixu#序1975
识	$ddcmd(识,识[uiy])	viyb#序1974
趾	$ddcmd(趾,趾[viz])	vizv#序1973
战	$ddcmd(战,战[vj])	vjag#序1972
占	$ddcmd(占,占[vja])	vjak#序1971
蘸	$ddcmd(蘸,蘸[vjc])	vjch#序1970
沾	$ddcmd(沾,沾[vjd])	vjdk#序1969
崭	$ddcmd(崭,崭[vje])	vjej#序1968
斩	$ddcmd(斩,斩[vji])	vjij#序1967
站	$ddcmd(站,站[vjl])	vjlk#序1966
栈	$ddcmd(栈,栈[vjm])	vjmg#序1965
瞻	$ddcmd(瞻,瞻[vjo])	vjoy#序1964
绽	$ddcmd(绽,绽[vjs])	vjsr#序1963
展	$ddcmd(展,展[vju])	vjun#序1962
颤	$ddcmd(颤,颤[ijw])	vjwa#序1961
譫	$ddcmd(譫,譫[vjy])	vjyy#序1960
拽	$ddcmd(拽,拽[vk])	vkfp#序1959
荘	$ddcmd(荘,荘[vlc])	vlcu#序1958
状	$ddcmd(状,状[vld])	vldq#序1957
撞	$ddcmd(撞,撞[vlf])	vlfa#序1956
庄	$ddcmd(庄,庄[vlg])	vlgt#序1955
幢	$ddcmd(幢,幢[ilj])	vlja#序1954
桩	$ddcmd(桩,桩[vlm])	vlmt#序1953
衆	$ddcmd(衆,衆[vlx])	vlxn#序1952
装	$ddcmd(装,装[vl])	vlyd#序1951
桌	$ddcmd(桌,桌[voa])	voam#序1950
著	$ddcmd(著,著[vcc])	voco#序1949
浊	$ddcmd(浊,浊[vod])	vodi#序1948
捉	$ddcmd(捉,捉[vof])	vofz#序1947
灼	$ddcmd(灼,灼[voh])	vohd#序1946
鐲	$ddcmd(鐲,鐲[voj])	voji#序1945
啄	$ddcmd(啄,啄[vok])	vokn#序1944
缴	$ddcmd(缴,缴[jnsw])	vosw#序1943
琢	$ddcmd(琢,琢[vow])	vown#序1942
着	$ddcmd(着,着[vc])	voyo#序1941
著	$ddcmd(著,著[vcc])	voyo#序1940
专	$ddcmd(专,专[vra])	vrad#序1939
赚	$ddcmd(赚,赚[vrb])	vrbn#序1938
顓	$ddcmd(顓,顓[vre])	vrea#序1937
撰	$ddcmd(撰,撰[vrf])	vrfb#序1936
转	$ddcmd(转,转[vr])	vrid#序1935
転	$ddcmd(転,転[vri])	vris#序1934
囀	$ddcmd(囀,囀[vrk])	vrkc#序1933
