阿爸	ooba
苦口婆心	kkpx
客客气气	kkqq
夸夸其谈	kkqt
快去	kkqu
快如	kkru
空空如也	kkry
快速	kks
快速	kksu
快艇	kktk
快说	kkx
空口说白话	kkuh
快事	kkox
快说	kkxo
口口声声	kkuu
快手	kkxz
快照	kkjc
快慰	kkw
空口无凭	kkwp
坑坑洼洼	kkww
可靠性	kkx
口口相传	kkxi
快些	kkxp
快讯	kkxy
快要	kky
快要	kkyc
快意	kkyi
快于	kkyu
快走	kkz
筷子	kkzi
快走	kkzz
狂傲	klo
狂傲	kloc
狂奔	klb
狂暴	klbc
狂奔	klbf
苦乐不均	klbj
狂飙	klbn
矿藏	klc
矿层	klcg
矿藏	klch
旷达	klda
矿灯	kldg
哐当	kldh
狂跌	kldp
矿洞	klds
克罗地亚	kldy
狂风	klf
狂风	klfg
狂放	klfh
匡扶	klfu
狂吠	klfw
矿工	klgs
旷古	klgu
狂欢	klh
狂欢	klhr
狂吼	klhz
狂潮	klq
狂潮	klqc
矿车	klqe
矿场	klqh
矿产	klqj
矿床	klql
刻录机	klj
矿井	kljk
狂叫	kljn
框架	kljx
旷课	klke
框框	klkl
哐啷	kllh
狂乱	kllr
克里姆林宫	klmg
匡谬	klmq
矿难	klnj
狂怒	klnu
狂拼	klp
狂拼	klpb
诓骗	klpm
况且	klqp
矿泉	klqr
矿区	klqu
狂热	klr
狂热	klre
狂人	klrf
旷日	klri
狂涛	kltc
狂徒	kltu
矿砂	klxa
狂胜	klxg
矿石	klox
矿山	klxj
矿渣	klja
匡正	kljg
矿长	kljh
框住	klot
狂妄	klw
狂吻	klwf
狂妄	klwh
矿物	klwu
狂笑	klx
狂喜	klxi
狂想	klxl
狂笑	klxn
狂泻	klxp
狂饮	klyb
狂野	klye
狂言	klyj
诳语	klyu
狂晕	klyy
狂躁	klz
狂躁	klzc
框在	klzd
枯木逢春	kmfi
口蜜腹剑	kmfj
坑蒙拐骗	kmgp
快马加鞭	kmjb
开门揖盗	kmjd
开门见山	kmju
喀麦隆	kml
开幕式	kmu
孔孟之道	kmvd
快马一鞭	kmyb
抗美援朝	kmyi
可能性	knx
肯尼亚	kny
阔别	kob
扩版	kobj
扩编	kobm
阔别	kobp
阔步	kobu
扩大	kod
扩大	koda
扩股	kogu
括号	koh
括号	kohc
括弧	kohu
阔绰	koqo
扩充	koqs
扩建	koj
扩建	kojm
扩军	kojy
阔佬	kol
阔佬	kolc
扩频	kopb
阔气	koq
阔气	koqi
扩容	kor
扩容	kors
扩散	kos
扩散	kosj
阔少	kox
阔少	koxc
扩展	koj
扩招	kojc
扩征	kojg
扩张	kojh
扩展	kojj
扩胸	kox
扩胸	koxs
扩音	koy
扩音	koyb
阔叶	koye
扩增	koz
扩增	kozg
看破红尘	kphi
堪培拉	kpl
开篇伊始	kpyu
空前绝后	kqjh
克勤克俭	kqkj
看起来	kql
矿泉水	kqu
岿然不动	krbd
宽边	krbm
宽带	krd
宽大	krda
宽带	krdd
宽度	krdu
款额	kroe
宽幅	krf
宽泛	krfj
宽幅	krfu
宽广	krgl
髋骨	krgu
宽厚	krh
宽宏	krhs
宽厚	krhz
宽敞	krq
宽敞	krqh
旷日持久	krij
宽绰	krqo
喟然长叹	krit
苦肉计	krj
宽肩	krjm
宽阔	krk
宽阔	krko
款款	krkr
快人快语	krky
宽了	krl
宽了	krle
宽频	krp
宽频	krpb
宽屏	krpk
宽容	krr
宽容	krrs
宽松	krs
宽松	krss
宽体	krt
宽体	krti
款式	krox
宽恕	kros
宽窄	krj
宽窄	krjd
宽展	krjj
宽慰	krw
款物	krwu
宽慰	krww
款项	krx
宽心	krxb
口若悬河	krxh
款项	krxl
宽限	krxm
扣人心弦	krxx
宽裕	kry
款爷	krye
宽衣	kryi
宽延	kryj
宽约	kryt
宽裕	kryu
空白	ksb
空白	ksbd
恐怖	ksbu
空仓	ksc
空仓	ksch
空洞	ksd
孔道	ksdc
空挡	ksdh
空地	ksdi
空洞	ksds
空对	ksdv
空乏	ksfa
空房	ksfh
空泛	ksfj
空腹	ksfu
恐非	ksfw
控告	ksgc
空格	ksge
空港	ksgh
控股	ksgu
恐慌	ksh
恐吓	kshe
空喊	kshj
恐慌	kshl
空幻	kshr
空话	kshx
箜篌	kshz
空出	ksq
空城	ksqg
空床	ksql
空船	ksqr
空出	ksoi
空间	ksj
空寂	ksji
空降	ksjl
控件	ksjm
空姐	ksjp
恐惧	ksju
空军	ksjy
空空	ksk
空壳	kske
空旷	kskl
空空	ksks
空了	ksl
空了	ksle
空栏	kslj
空灵	kslk
空落	kslo
恐龙	ksls
空楼	kslz
空门	ksm
空码	ksma
孔孟	ksmg
孔明	ksmk
孔庙	ksmn
苦思冥想	ksmx
空难	ksn
空难	ksnj
恐怕	ksp
恐怕	kspa
控盘	kspj
空瓶	kspk
空气	ksq
空气	ksqi
空前	ksqm
控球	ksqq
空缺	ksqt
控诉	kssu
空头	kst
空谈	kstj
空调	kstn
倥侗	ksts
客死他乡	kstx
空头	kstz
空手	ksx
空手	ksxz
空着	ksje
控制	ksov
空战	ksjj
哭丧着脸	ksvl
空中	ksjs
空位	ksw
空无	kswu
空位	ksww
可塑性	ksx
空心	ksxb
空隙	ksxi
孔型	ksxk
空想	ksxl
空闲	ksxm
空虚	ksxu
空暇	ksxx
空运	ksy
空余	ksyu
空运	ksyy
空载	kszd
孔子	kszi
空座	kszo
客套话	kth
哭天喊地	kthd
口头禅	kti
开天辟地	ktpd
慷他人之慨	ktrk
空头支票	ktvp
酷爱	kuod
苦熬	kuoc
枯草	kucc
库存	kucy
裤带	kudd
裤裆	kudh
苦胆	kudj
苦短	kudr
苦读	kudu
裤兜	kudz
库房	kuf
裤缝	kufg
库房	kufh
枯槁	kugc
苦干	kugj
苦果	kugo
裤管	kugr
苦工	kugs
枯骨	kugu
苦瓜	kugx
哭喊	kuh
苦海	kuhd
枯涸	kuhe
哭喊	kuhj
枯黄	kuhl
瞌睡虫	kui
裤衩	kuqa
苦差	kuqd
苦楚	kuoi
枯竭	kuj
酷极	kuji
枯井	kujk
裤脚	kujn
枯竭	kujp
苦苦	kuku
哭了	kul
苦辣	kula
苦劳	kulc
哭了	kule
苦力	kuli
哭灵	kulk
苦练	kulm
窟窿	kuls
苦累	kulw
骷髅	kulz
苦闷	kumf
苦命	kumk
枯木	kumu
苦恼	kun
苦恼	kunc
苦难	kunj
库内	kunw
看上去	kuq
哭泣	kuqi
苦劝	kuqr
哭穷	kuqs
裤裙	kuqy
酷热	kur
酷热	kure
苦涩	kuse
哭丧	kush
酷似	kusi
哭诉	kusu
枯藤	kutg
哭啼	kuti
苦痛	kuts
酷图	kutu
裤腿	kutv
苦头	kutz
哭声	kux
哭声	kuxg
酷暑	kuos
苦水	kuxv
枯瘦	kuxz
苦衷	kuj
哭着	kuje
枯枝	kuov
苦战	kujj
裤装	kujl
苦衷	kujs
枯萎	kuw
裤袜	kuwa
口说无凭	kuwp
枯萎	kuww
苦心	kuxb
口是心非	kuxf
酷刑	kuxk
裤线	kuxm
苦笑	kuxn
枯朽	kuxq
酷炫	kuxr
苦学	kuxt
裤腰	kuyc
困兽犹斗	kuyd
枯叶	kuye
苦役	kuyi
苦于	kuyu
枯燥	kuz
枯燥	kuzc
裤子	kuzi
枯坐	kuzo
溃败	kvbd
亏本	kvbf
口诛笔伐	kvbf
跬步	kvbu
枯枝败叶	kvby
窥测	kvce
窥伺	kvci
亏待	kvdd
溃堤	kvdi
愧对	kvdv
匮乏	kvfa
亏负	kvfu
葵花	kvh
亏耗	kvhc
葵花	kvhx
窥见	kvjm
愧疚	kvjq
溃决	kvjt
盔甲	kvjx
亏空	kvks
睽睽	kvkv
溃口	kvkz
亏了	kvl
亏了	kvle
空中楼阁	kvlg
溃烂	kvlj
傀儡	kvlw
扩展名	kvm
苛政猛于虎	kvmh
溃灭	kvmp
愧赧	kvnj
窥破	kvp
窥破	kvpo
亏钱	kvq
刻舟求剑	kvqj
亏钱	kvqm
匮缺	kvqt
岿然	kvrj
脍炙人口	kvrk
亏损	kvs
愧色	kvse
窥伺	kvsi
溃散	kvsj
馈送	kvss
亏损	kvsy
溃逃	kvt
溃逃	kvtc
窥探	kvtj
溃退	kvtv
窥视	kvox
魁梧	kvw
魁梧	kvwu
魁伟	kvww
溃疡	kvy
溃疡	kvyh
愧于	kvyu
馈赠	kvzg
苦中作乐	kvzl
愧怍	kvzo
勘误表	kwb
可望不可即	kwbj
可望而不可即	kwej
科威特	kwt
矿物质	kwv
口无遮拦	kwvl
开玩笑	kwx
孔武有力	kwyl
空无一人	kwyr
狂妄自大	kwzd
开心	kxb
挎包	kxbc
哭笑不得	kxbd
跨步	kxbu
夸大	kxda
垮掉	kxdn
跨度	kxdu
可想而知	kxev
夸父	kxfu
跨过	kxg
跨过	kxgo
胯骨	kxgu
苦心孤诣	kxgy
跨行	kxh
跨海	kxhd
跨行	kxhh
开小差	kxi
跨出	kxoi
科学家	kxj
跨进	kxjb
跨境	kxjk
夸奖	kxjl
苦心积虑	kxjl
胯间	kxjm
跨界	kxjp
苦心经营	kxjy
夸口	kxk
可喜可贺	kxkh
夸夸	kxkx
夸口	kxkz
可惜了	kxl
空穴来风	kxlf
跨栏	kxlj
跨年	kxn
跨年	kxnm
跨期	kxqi
挎枪	kxql
跨区	kxqu
跨入	kxru
苦行僧	kxs
垮塌	kxta
垮台	kxtd
跨省	kxx
跨省	kxxg
夸张	kxj
挎着	kxje
夸张	kxjh
胯下之辱	kxvr
可行性	kxx
胯下	kxxx
跨越	kxy
夸耀	kxyc
跨业	kxye
跨洋	kxyh
跨越	kxyt
夸赞	kxzj
夸嘴	kxzv
捆绑	kyb
坤包	kybc
捆绑	kybh
可遇不可求	kybq
困顿	kyd
宽以待人	kydr
困顿	kydy
困厄	kyoe
困乏	kyfa
捆缚	kyfu
困惑	kyho
开夜车	kyi
昆虫	kyqs
困境	kyjk
开源节流	kyjl
困觉	kyjn
困倦	kyjr
困窘	kyjs
困局	kyju
困苦	kyku
可有可无	kykw
困了	kyl
困了	kyle
昆仑	kyly
昆明	kymk
困难	kyn
困难	kynj
鲲鹏	kyp
鲲鹏	kypg
昆腔	kyql
昆曲	kyqu
困扰	kyr
困扰	kyrc
困死	kysi
困兽	kyxz
困住	kyj
捆扎	kyja
捆着	kyje
捆住	kyot
困于	kyyu
看样子	kyz
捆扎	kyza
口岸	kzo
口岸	kzoj
叩拜	kzbd
口鼻	kzbi
口碑	kzbw
口才	kzcd
口袋	kzd
口袋	kzdd
扣抵	kzdi
扣掉	kzdn
扣动	kzds
口耳	kzor
扣发	kzfa
扣分	kzff
口风	kzfg
口服	kzfu
口感	kzg
口感	kzgj
扣光	kzgl
口供	kzgs
口号	kzh
口号	kzhc
扣还	kzhr
口红	kzhs
扣回	kzhv
扣划	kzhx
扣除	kzq
口吃	kzoq
口传	kzqr
扣除	kzoi
口臭	kzqz
口径	kzj
扣紧	kzjb
叩击	kzji
口径	kzjk
扣减	kzjm
口角	kzjn
口诀	kzjt
叩开	kzkd
口渴	kzke
口快	kzkk
扣款	kzkr
口口	kzkz
口令	kzl
扣篮	kzlj
口令	kzlk
口粮	kzll
扣留	kzlq
抠门	kzm
抠门	kzmf
口沫	kzmo
开宗明义	kzmy
口内	kzn
口内	kznw
口气	kzq
口琴	kzqb
口气	kzqi
口腔	kzql
扣钱	kzqm
扣球	kzqq
扣去	kzqu
口软	kzrr
扣肉	kzrz
口算	kzs
口算	kzsr
口头	kzt
口谈	kztj
口条	kztn
口头	kztz
口水	kzx
扣杀	kzxa
口哨	kzxc
口舌	kzxe
扣上	kzxh
口试	kzox
口述	kzos
口水	kzxv
口授	kzxz
口罩	kzjc
扣着	kzje
口拙	kzjo
口中	kzjs
口味	kzw
口吻	kzwf
口误	kzwu
口味	kzww
口信	kzx
口信	kzxb
叩谢	kzxp
扣下	kzxx
口语	kzy
扣押	kzya
口音	kzyb
口译	kzyi
看在眼里	kzyl
口语	kzyu
扣子	kzz
扣子	kzzi
喇叭	laba
蜡白	labd
蜡笔	labi
拉倒	lad
拉倒	ladc
拉丁	ladk
拉动	lads
拉高	lag
拉高	lagc
拉杆	lagj
拉罐	lagr
拉回	lah
柳暗花明又一村	lahc
蜡黄	lahl
柳暗花明	lahm
拉环	lahr
拉回	lahv
拉扯	laqe
拉长	laqh
拉出	laoi
垃圾	laj
拉近	lajb
垃圾	laji
辣酱	lajl
辣椒	lajn
拉锯	laju
拉架	lajx
拉客	lake
拉拉	lala
拉力	lali
拉链	lalm
拉拢	lals
喇嘛	lam
喇嘛	lama
拉面	lamm
辣妹	lamw
拉尿	lan
拉尿	lann
拉票	lap
拉皮	lapi
拉平	lapk
拉票	lapn
拉起	laq
拉起	laqi
腊肉	lar
蜡染	larj
腊肉	larz
拉萨	las
拉萨	lasa
拉丝	lasi
拉锁	laso
邋遢	lata
蜡台	latd
拉伸	laxf
拉升	laxg
拉屎	laox
拉手	laxz
拉闸	laja
拉着	laje
蜡烛	laot
辣味	law
蜡丸	lawj
辣味	laww
落下	lax
拉稀	laxi
蜡像	laxl
腊月	lay
腊月	layt
蜡油	layz
辣子	lazi
冷冰冰	lbb
淋巴	lbba
拎包	lbbc
邻邦	lbbh
狼狈不堪	lbbk
临别	lbbp
力不从心	lbcx
邻村	lbcy
临到	lbdc
林地	lbdi
临汾	lbff
临风	lbfg
磷肥	lbfw
临高	lbgc
磷光	lbgl
邻国	lbgo
临海	lbh
临海	lbhd
临河	lbhe
磷火	lbho
林场	lbqh
临产	lbqj
临床	lbql
来不及	lbj
临近	lbjb
临机	lbji
鳞茎	lbjk
林间	lbjm
邻角	lbjn
临界	lbjp
邻居	lbju
两败俱伤	lbju
邻家	lbjx
临考	lbkc
林肯	lbkf
磷矿	lbkl
牢不可破	lbkp
乐不可支	lbkv
临来	lbld
琳琅	lblh
林立	lbli
临了	lbln
凛冽	lblp
利比里亚	lbly
临门	lbmf
临摹	lbmo
林木	lbmu
老板娘	lbn
力不能及	lbnj
鳞片	lbp
临盆	lbpf
鳞片	lbpm
了不起	lbq
拎起	lbqi
林泉	lbqr
临去	lbqu
邻人	lbrf
凛然	lbrj
吝啬	lbs
吝啬	lbse
临死	lbsi
磷酸	lbsr
乐不思蜀	lbsu
礼拜天	lbt
临帖	lbtp
临潼	lbts
临头	lbtz
邻舍	lbxe
邻省	lbxg
淋上	lbxh
临时	lbox
力不胜任	lbur
临睡	lbxv
路不拾遗	lbuy
留不住	lbv
鳞爪	lbjc
临阵	lbjf
林芝	lbov
临战	lbjj
鳞状	lbjl
临终	lbjs
狼狈为奸	lbwj
临危	lbww
老百姓	lbx
吝惜	lbxi
临行	lbxk
遴选	lbxr
聊表谢意	lbxy
林荫	lbyb
林业	lbye
林园	lbyr
淋浴	lbyu
林子	lbzi
邻座	lbzo
临走	lbzz
老爸	lcba
劳保	lcbc
老本	lcbf
老板	lcbj
老兵	lcbk
老表	lcbn
老伯	lcbo
乐此不疲	lcbp
老辈	lcbw
立此存照	lccv
老大	lcda
唠叨	lcdc
老弟	lcdi
老店	lcdm
老爹	lcdp
劳动	lcds
劳顿	lcdy
老二	lcor
劳乏	lcfa
牢房	lcfh
劳烦	lcfj
老夫	lcfu
老公	lcg
劳改	lcgd
老歌	lcge
老公	lcgs
牢固	lcgu
老鬼	lcgv
烙痕	lchf
老汉	lchj
老虎	lchu
老化	lchx
老成	lcq
老巢	lcqc
老臣	lcqf
老成	lcqg
老抽	lcqz
牢记	lcji
老将	lcjl
老茧	lcjm
劳教	lcjn
老街	lcjp
劳驾	lcjx
牢靠	lckc
唠嗑	lcke
老款	lckr
劳苦	lcku
姥姥	lclc
老来	lcld
劳力	lcli
老龄	lclk
老练	lclm
牢笼	lcls
劳碌	lclu
劳累	lclw
老妈	lcma
老耄	lcmc
老迈	lcmd
牢门	lcmf
劳模	lcmo
老母	lcmu
老衲	lcna
老娘	lcnl
老年	lcnm
郎才女貌	lcnm
老鸟	lcnn
老婆	lcp
老牌	lcpd
老婆	lcpo
老区	lcq
捞钱	lcqm
老区	lcqu
老人	lcrf
牢骚	lcsc
屡次三番	lcsf
老四	lcsi
劳损	lcsy
老叟	lcsz
老头	lct
老太	lctd
老天	lctm
烙铁	lctp
老土	lctu
老头	lctz
老实	lcx
老少	lcxc
劳神	lcxf
老师	lcox
崂山	lcxj
老说	lcxo
老鼠	lcos
老手	lcxz
老者	lcj
鳞次栉比	lcvb
老者	lcje
落枕	lcjf
老庄	lcjl
零存整取	lcvq
另存为	lcw
老外	lcwd
老翁	lcwg
老挝	lcwo
劳务	lcwu
老兄	lcx
劳心	lcxb
老乡	lcxl
老朽	lcxq
老兄	lcxs
粮草先行	lcxx
烙印	lcyb
老爷	lcye
老矣	lcyi
老眼	lcyj
老鹰	lcyk
老远	lcyr
捞月	lcyt
牢狱	lcyu
老友	lcyz
老早	lcz
老早	lczc
老子	lczi
劳作	lczo
老总	lczs
来吧	ldba
来宾	ldbb
雷打不动	ldbd
漏洞百出	ldbi
另当别论	ldbl
老大不小	ldbx
来此	ldci
来到	lddc
来得	ldde
来电	lddm
劳动法	ldf
来访	ldfh
来犯	ldfj
老大哥	ldg
来稿	ldgc
来过	ldgo
来回	ldh
来函	ldhj
来鸿	ldhs
来回	ldhv
来潮	ldqc
立地成佛	ldif
赖床	ldql
老调重弹	ldit
来得及	ldj
来劲	ldjb
来件	ldjm
离得开	ldk
来客	ldke
来看	ldkj
来了	ldl
来啦	ldla
来临	ldlb
来来	ldld
来了	ldle
来历	ldli
来料	ldln
来路	ldlu
拉丁美洲	ldmv
灵丹妙药	ldmy
来年	ldn
来年	ldnm
赖皮	ldp
赖皮	ldpi
来去	ldq
来钱	ldqm
来去	ldqu
留得青山在	ldqz
领导人	ldr
来人	ldrf
来日	ldri
锒铛入狱	ldry
来岁	lds
来岁	ldsv
李代桃僵	ldtj
来头	ldtz
来生	ldxg
来世	ldox
来说	ldxo
赖谁	ldxw
来者	ldje
赖账	ldjh
来往	ldw
来文	ldwf
来往	ldwh
老大无成	ldwi
来玩	ldwj
流动性	ldx
来信	ldxb
浪得虚名	ldxm
来源	ldy
利大于弊	ldyb
赖以	ldyi
来源	ldyr
老当益壮	ldyv
乱点鸳鸯	ldyy
来由	ldyz
来自	ldz
来自	ldzi
拉丁字母	ldzm
来而不往非礼也	leby
乐道	ledc
乐得	lede
乐观	legr
乐和	leh
乐和	lehe
勒紧	lej
勒紧	lejb
乐凯	lekd
乐乐	lele
勒令	lelk
乐趣	leq
乐趣	lequ
勒索	les
勒索	leso
乐天	let
乐天	letm
乐土	letu
乐事	lex
乐事	leox
乐山	lexj
乐而忘返	lewf
劳而无功	lewg
乐园	ley
乐业	leye
乐意	leyi
乐园	leyr
乐于	leyu
乐子	lez
乐子	lezi
流芳百世	lfbu
龙飞凤舞	lffw
鸾凤和鸣	lfhm
绿肥红瘦	lfhu
龙凤呈祥	lfix
两方面	lfm
流芳千古	lfqg
立方体	lft
两分钟	lfv
罗敷有夫	lfyf
老夫子	lfz
冷傲	lgo
冷傲	lgoc
冷冰	lgb
冷冰	lgbk
冷藏	lgc
冷菜	lgcd
冷藏	lgch
冷淡	lgdj
冷冻	lgds
冷对	lgdv
冷风	lgfg
冷饭	lgfj
龙肝凤脑	lgfn
冷敷	lgfu
冷宫	lgg
冷宫	lggs
冷柜	lggv
冷汗	lgh
冷汗	lghj
冷场	lgq
冷嘲	lgqc
冷场	lgqh
冷静	lgj
冷噤	lgjb
冷寂	lgji
冷静	lgjk
冷箭	lgjm
棱角	lgjn
立竿见影	lgjy
冷酷	lgk
冷酷	lgku
冷了	lgl
冷了	lgle
冷冷	lglg
冷脸	lglm
冷落	lglo
冷门	lgmf
冷面	lgmm
冷漠	lgmo
冷暖	lgn
冷凝	lgnk
冷暖	lgnr
冷僻	lgp
冷僻	lgpi
冷盘	lgpj
冷清	lgq
冷气	lgqi
六根清净	lgqj
冷清	lgqk
冷枪	lgql
冷峭	lgqn
冷泉	lgqr
冷却	lgqt
两个人	lgr
冷热	lgre
冷色	lgs
冷色	lgse
冷缩	lgso
冷烫	lgth
冷天	lgtm
冷水	lgx
冷食	lgox
冷杉	lgxj
冷霜	lgxl
冷水	lgxv
立功赎罪	lguz
两个钟	lgv
冷轧	lgja
立国之本	lgvb
愣着	lgje
愣怔	lgjg
冷战	lgjj
愣住	lgot
棱锥	lgjv
冷笑	lgxn
冷血	lgxt
论功行赏	lgxu
两个月	lgy
冷饮	lgyb
冷眼	lgyj
冷遇	lgyu
两个字	lgz
狼狈	lhb
狼狈	lhbw
浪荡	lhdh
朗读	lhdu
利害得失	lhdu
梨花带雨	lhdy
落荒而逃	lhet
浪费	lhf
浪峰	lhfg
廊坊	lhfh
浪费	lhfw
狼狗	lhgz
狼嚎	lhhc
狼孩	lhhd
浪花	lhhx
浪潮	lhqc
炉火纯青	lhiq
灵魂出窍	lhiq
灵活机动	lhjd
狼藉	lhji
烈火见真金	lhjj
浪尖	lhjm
郎舅	lhjq
郎君	lhjy
老皇历	lhl
朗朗	lhlh
老狐狸	lhli
落花流水	lhlu
癞蛤蟆	lhma
浪漫	lhmj
癞蛤蟆想吃天鹅肉	lhmr
狼皮	lhp
狼皮	lhpi
狼犬	lhqr
狼群	lhqy
浪人	lhr
浪人	lhrf
朗诵	lhs
朗诵	lhss
浪涛	lht
浪涛	lhtc
狼吞	lhty
榔头	lhtz
两回事	lhu
朗声	lhxg
郎中	lhj
郎中	lhjs
朗文	lhwf
狼窝	lhwo
灵活性	lhx
两虎相斗	lhxd
廊下	lhxx
老花眼	lhy
狼牙	lhya
利害攸关	lhyg
狼烟	lhyj
浪涌	lhys
浪语	lhyu
落花有意	lhyy
浪子	lhz
浪子	lhzi
里昂	lioh
篱笆	liba
礼宾	libb
礼包	libc
礼拜	libd
立邦	libh
利弊	libi
里边	libm
离别	libp
立碑	libw
离愁别绪	libx
理财	licd
里层	licg
历次	lici
力挫	lico
力道	lidc
历代	lidd
立等	lidg
理当	lidh
离地	lidi
礼单	lidj
立定	lidk
利多	lido
立冬	lids
力度	lidu
离队	lidv
立法	lif
立法	lifa
立方	lifh
礼服	lifu
蓝筹股	lig
理该	ligd
离岗	ligh
理光	ligl
立国	ligo
立功	ligs
厉鬼	ligv
利好	lihc
厉害	lihd
离合	lihe
力撼	lihj
理会	lihv
礼花	lihx
离婚	lihy
立候	lihz
利差	liqa
历朝	liqc
历程	liqg
立场	liqh
利齿	lioq
理出	lioi
老成持重	liiv
立春	liqy
离愁	liqz
历尽	lijb
六朝金粉	lijf
立即	liji
历经	lijk
丽江	lijl
利剑	lijm
立交	lijn
理解	lijp
历久	lijq
良辰吉日	lijr
立决	lijt
例句	liju
离家	lijx
离开	likd
立刻	like
利空	liks
理亏	likv
里拉	lila
莅临	lilb
历来	lild
离了	lile
粒粒	lili
立领	lilk
力量	lill
历练	lilm
理疗	liln
利落	lilo
里弄	lils
利率	lilv
理论	lily
立马	lima
利民	limb
礼貌	limc
厘米	limi
良辰美景	limj
黎明	limk
里面	limm
罹难	linj
理念	linm
利尿	linn
礼品	lipb
礼炮	lipc
离谱	lipu
理赔	lipw
力气	liqi
理清	liqk
力求	liqq
礼券	liqr
离去	liqu
离群	liqy
离任	lirf
冷嘲热讽	lirf
礼让	lirh
丽日	liri
例如	liru
利润	liry
离骚	lisc
栗色	lise
李四	lisi
离散	lisj
利索	liso
傈僳	lisu
利他	lita
礼堂	lith
立体	liti
力挺	litk
力图	litu
力推	litv
里头	litz
立身	lixf
厉声	lixg
历史	liox
立说	lixo
隶属	lios
利税	lixv
理顺	lixy
利爪	lijc
立着	lije
力争	lijg
理智	liov
力战	lijj
立柱	liot
例外	liwd
力挽	liwj
礼物	liwu
立委	liww
离心	lixb
利息	lixi
理性	lixk
理想	lixl
离线	lixm
离校	lixn
离休	lixq
力学	lixt
立夏	lixx
立业	liye
利益	liyi
立言	liyj
理应	liyk
梨园	liyr
利用	liys
立约	liyt
利于	liyu
理由	liyz
例子	lizi
礼赞	lizj
力作	lizo
立足	lizu
利嘴	lizv
乱臣贼子	lizz
蓝本	ljbf
屡教不改	ljbg
篮板	ljbj
蓝波	ljbo
路见不平	ljbp
屡禁不止	ljbv
屡见不鲜	ljbx
兰草	ljcc
澜沧	ljch
懒得	ljde
拦挡	ljdh
烂掉	ljdn
懒惰	ljdo
滥发	ljfa
廉洁奉公	ljfg
龙驹凤雏	ljfi
老骥伏枥	ljfl
良家妇女	ljfn
栏杆	ljg
栏杆	ljgj
蓝光	ljgl
揽过	ljgo
揽工	ljgs
懒鬼	ljgv
懒汉	ljhj
烂货	ljho
兰花	ljhx
懒猴	ljhz
拉家常	lji
缆车	ljqe
老将出马	ljim
懒虫	ljqs
离家出走	ljiz
老奸巨猾	ljjh
拦击	ljji
懒觉	ljjn
拦截	ljjp
篮筐	ljk
兰考	ljkc
揽客	ljke
滥垦	ljkf
滥砍	ljkj
篮筐	ljkl
烂了	ljle
蓝蓝	ljlj
蓝领	ljlk
拦路	ljlu
褴褛	ljlv
懒猫	ljmc
栏目	ljmu
烂泥	ljni
蓝鸟	ljnn
栏内	ljnw
离经叛道	ljpd
蓝屏	ljpk
烂片	ljpm
立交桥	ljq
篮球	ljqq
篮圈	ljqr
懒人	ljr
懒人	ljrf
揽入	ljru
蓝色	ljse
懒散	ljsj
缆索	ljso
垃圾桶	ljt
篮坛	ljtj
兰亭	ljtk
蓝天	ljtm
蓝图	ljtu
励精图治	ljtv
浪迹天涯	ljty
烂透	ljtz
累计数	lju
滥杀	ljxa
乐极生悲	ljub
缆绳	ljxg
阑珊	ljxj
烂熟	ljos
拦着	ljje
烂账	ljjh
滥占	ljjj
拦住	ljot
兰州	ljjz
拦网	ljwh
阑尾	ljww
蓝线	ljxm
篮协	ljxp
落井下石	ljxu
拦下	ljxx
蓝牙	ljya
拦腰	ljyc
灵机一动	ljyd
滥用	ljys
揽月	ljyt
懒于	ljyu
篮子	ljz
烂仔	ljzd
篮子	ljzi
廉洁自律	ljzl
拦阻	ljzu
烂醉	ljzv
乱箭攒心	ljzx
令爱	lkod
另案	lkoj
领班	lkb
领班	lkbj
领兵	lkbk
灵便	lkbm
另册	lkce
另存	lkcy
领导	lkdc
领带	lkdd
铃铛	lkdh
领地	lkdi
灵丹	lkdj
伶仃	lkdk
零点	lkdm
灵动	lkds
零度	lkdu
领队	lkdv
另附	lkf
零分	lkff
另附	lkfu
灵感	lkg
劳苦功高	lkgg
灵感	lkgj
灵怪	lkgk
灵光	lkgl
领馆	lkgr
零工	lkgs
灵活	lkh
领海	lkhd
领航	lkhh
灵活	lkho
令狐	lkhu
领会	lkhv
零花	lkhx
灵魂	lkhy
灵车	lkqe
凌晨	lkqf
领唱	lkqh
凌迟	lkoq
灵床	lkql
领巾	lkjb
灵机	lkji
领奖	lkjl
零件	lkjm
领教	lkjn
领结	lkjp
灵柩	lkjq
凌驾	lkjx
领军	lkjy
另开	lkkd
领空	lkks
领口	lkkz
另类	lkl
滥砍滥伐	lklf
令郎	lklh
凌厉	lkli
灵灵	lklk
零落	lklo
凌乱	lklr
玲珑	lkls
领略	lklt
另类	lklw
灵敏	lkmb
另觅	lkmi
陵墓	lkmu
另谋	lkmz
岭南	lknj
凌虐	lknt
令牌	lkp
领跑	lkpc
令牌	lkpd
另辟	lkpi
伶俜	lkpk
冷空气	lkq
陵寝	lkqb
灵气	lkqi
零钱	lkqm
灵巧	lkqn
领取	lkqu
令人	lkrf
凌弱	lkro
凌辱	lkru
零散	lksj
零碎	lksv
聆听	lkt
灵台	lktd
灵堂	lkth
聆听	lktk
灵通	lkts
领土	lktu
领头	lktz
铃声	lkx
另设	lkxe
铃声	lkxg
零食	lkox
零售	lkxz
另找	lkjc
领着	lkje
灵长	lkjh
