一個	yrt go
都安縣	dou on yvn
杜奧巴	dou ou ba
都柏林	dou pak lrm
都龐嶺	dou poj lij
倒賠	dou pui
杜莎夫人	dou sa fu yrn
道山學海	dou san hok hoi
搗實	dou srd
杜塞	dou srk
杜塞道夫	dou srk dou fu
堵塞費	dou srk fri
杜塞爾多夫	dou srk yi do fu
都什麼年代了	dou srm mo nin doi liu
鍍鋅鐵	dou srn tid
倒手	dou sru
倒藪	dou sru
到手軟	dou sru yvn
倒屎	dou si
都市病	dou si bej
到時到候	dou si dou hru
都市化地區	dou si fa dei k;i
倒屎咁早	dou si grm zou
都市美型男	dou si mei yij nam
杜氏腺	dou si sin
杜氏腺體	dou si sin tri
都市日報	dou si yrt bou
都市傳奇	dou si zvn kei
稻城	dou sij
稻城縣	dou sij yvn
倒鎖	dou so
道所存者乃師所存者	dou so cvn ze nai si so cvn ze
導數	dou sou
賭數	dou sou
倒寫	dou se
倒瀉	dou se
倒瀉籮蟹	dou se lo hai
到死	dou sei
堵死	dou sei
搗石屎	dou sek si
度叔	dou suk
賭船	dou svn
倒水	dou s;i
倒相	dou s;j
杜尚別	dou s;j bid
悼襄王	dou s;j woj
蹈常襲故	dou s;j zap gu
杜荀鶴	dou s;n hok
倒坍	dou tan
倒塔咁早	dou tap grm zou
倒替	dou tri
倒褪	dou trn
渡頭	dou tru
稻田鷚	dou tin lru
稻田葦鶯	dou tin wri rj
道台	dou toi
倒位	dou wri
都尉	dou wri
倒運	dou wrn
都勻	dou wrn
都勻市	dou wrn si
賭窩	dou wo
島弧	dou wu
都會美型男	dou wui mei yij nam
都會傳奇	dou wui zvn kei
道人	dou yrn
導入期	dou yrp kei
倒休	dou yru
道友	dou yru
搗衣	dou yi
杜爾伯特	dou yi bak drk
杜爾伯特蒙古族自治縣	dou yi bak drk muj gu zuk zi zi yvn
杜爾伯特縣	dou yi bak drk yvn
道爾頓	dou yi d;n
杜伊斯堡	dou yi si bou
導液管	dou yik gun
倒煙	dou yin
妒賢忌能	dou yin gei nrj
到現在	dou yin zoi
刀葉	dou yip
導熱性	dou yit sij
倒夜香	dou ye h;j
刀魚	dou yv
導語	dou yv
杜宇	dou yv
蠹魚	dou yv
蠹魚子	dou yv zi
道縣	dou yvn
道院	dou yvn
倒懸之苦	dou yvn zi fu
倒懸之急	dou yvn zi grp
倒懸之危	dou yvn zi jri
杜月笙	dou yvt srj
倒陽	dou y;j
道碴	dou za
杜集	dou zap
杜集區	dou zap k;i
刀仔	dou zri
賭仔	dou zri
刀仔鋸大樹	dou zri g; dai sv
道真仡佬族苗族自治縣	dou zrn go lou zuk miu zuk zi zi yvn
道真縣	dou zrn yvn
道真自治縣	dou zrn zi zi yvn
賭咒發誓	dou zru fat sri
賭資	dou zi
道指	dou zi
刀字邊	dou zi bin
道之所存師之所存	dou zi so cvn si zi so cvn
導致死亡	dou zi sei moj
刀子嘴巴豆腐心	dou zi z;i ba dru fu srm
刀子嘴豆腐心	dou zi z;i dru fu srm
倒睫	dou zid
蠹政	dou zij
杜漸防萌	dou zim foj mrj
倒噍	dou ziu
刀俎	dou zo
倒座兒	dou zo yi
道藏	dou zoj
倒裝句	dou zoj g;i
倒灶	dou zou
倒竈	dou zou
杜仲	dou zuj
蠹眾木折	dou zuj muk zid
蠹蛀	dou zv
倒轉頭	dou zvn tru
倒序	dou z;i
倒敘	dou z;i
倒像	dou z;j
倒帳	dou z;j
倒賬	dou z;j
倒嚼	dou z;k
嘟著嘴	dou z;k z;i
爹哋	de di
嗲吊	de diu
嗲嗲渧	de de dri
嗲嗲吊	de de diu
爹娘	de n;j
地鱉	dei bid
地表水	dei biu s;i
地波	dei bo
地保	dei bou
地埗	dei bou
地布	dei bou
地產霸權	dei can ba kvn
地產大亨	dei can dai hrj
地層學	dei crj hok
地磁場	dei ci c;j
地塹	dei cim
地錢	dei cin
地速	dei cuk
地膽	dei dam
地底	dei dri
地底下	dei dri ha
地調	dei diu
地動儀	dei duj yi
地對地	dei d;i dei
地對空	dei d;i huj
地對空導彈	dei d;i huj dou dan
地方法院	dei foj fat yvn
地方官職位	dei foj gun zik wri
地方國營	dei foj xok yij
地方戲	dei foj hei
地方性	dei foj sij
地方性斑疹傷寒	dei foj sij ban crn s;j hon
地方稅	dei foj s;i
地方停車	dei foj tij ce
地方自治	dei foj zi zi
地方主義	dei foj zv yi
地庫	dei fu
地岬	dei gap
地景	dei gij
地檢署	dei gim cv
地角天涯	dei gok tin jai
地瓜面	dei xa min
地滾球	dei xrn kru
地下情	dei ha cij
地下莖	dei ha gij
地下核爆炸	dei ha hrt bau za
地下核試驗	dei ha hrt si yim
地下鐵路	dei ha tit lou
地下通道	dei ha tuj dou
地峽	dei hap
地殼運動	dei hok wrn duj
地勤人員	dei krn yrn yvn
地球磁場	dei kru ci c;j
地球大氣	dei kru dai hei
地球化學	dei kru fa hok
地球科學	dei kru fo hok
地球軌道	dei kru xri dou
地球物理	dei kru mrt lei
地球物理學	dei kru mrt lei hok
地球日	dei kru yrd
地球人	dei kru yrn
地祇	dei kei
地區差價	dei k;i ca ga
地區衝突	dei k;i cuj drd
地區法院	dei k;i fat yvn
地區經濟	dei k;i gij zri
地拉那	dei lai na
地力	dei lik
地廬	dei lou
地爐	dei lou
地牢商場	dei lou s;j c;j
地理極	dei lei gik
地理學家	dei lei hok ga
地理緯度	dei lei wri dou
地利人和	dei lei yrn wo
地壟	dei luj
地鄰	dei l;n
地畝	dei mru
地踎	dei mru
地踎館	dei mru gun
地面部隊	dei min bou d;i
地面層	dei min crj
地面化	dei min fa
地面灌溉	dei min gun koi
地面核爆炸	dei min hrt bau za
地面氣壓	dei min hei ad
地面控制	dei min huj zri
地面零點	dei min lij dim
地面水	dei min s;i
地排車	dei pai ce
地陪	dei pui
地盤工人	dei pun guj yrn
地三鮮	dei sam sin
地西泮	dei sri pun
地塞米松	dei srk mri cuj
地心吸力	dei srm krp lik
地心緯度	dei srm wri dou
地史	dei si
地書	dei sv
地水	dei s;i
地水先生	dei s;i sin saj
地上	dei s;j
地毯式轟炸	dei tan sik xrj za
地毯拖鞋	dei tan to hai
地頭蟲	dei tru cuj
地拖	dei to
地台	dei toi
地躺拳	dei toj kvn
地圖冊	dei tou cak
地圖集	dei tou zap
地滑	dei wad
地糊	dei wu
地窨	dei yrm
地窨子	dei yrm zi
地兒	dei yi
地熱電站	dei yit din zam
地熱發電廠	dei yit fat din coj
地熱能	dei yit nrj
地熱資源	dei yit zi yvn
地緣政治	dei yvn zij zi
地緣政治學	dei yvn zij zi hok
地緣戰略	dei yvn zin l;k
地羊	dei y;j
地震波	dei zrn bo
地震帶	dei zrn dai
地震局	dei zrn guk
地震學	dei zrn hok
地震學家	dei zrn hok ga
地震區	dei zrn k;i
地震烈度	dei zrn lit dou
地震活動帶	dei zrn wut duj dai
地震儀	dei zrn yi
地震預報	dei zrn yv bou
地震中	dei zrn zuj
地質學	dei zrt hok
地質學家	dei zrt hok ga
地質力學	dei zrt lik hok
地質年表	dei zrt nin biu
地質年代表	dei zrt nin doi biu
地址的轉換	dei zi dik zvn wun
地址解析協議	dei zi gai sik hip yi
地積	dei zik
地積單	dei zik dan
地氈	dei zin
地接	dei zip
地藏	dei zoj
地藏菩薩	dei zoj pou sad
地藏王菩薩	dei zoj woj pou sad
地租收入	dei zou sru yrp
地中海貧血	dei zuj hoi prn hvd
地軸	dei zuk
地主隊	dei zv d;i
地主家庭	dei zv ga tij
地主階級	dei zv gai krp
掟煲	dej bou
掟煲費	dej bou fri
釘錘	dej c;i
頂閥	dej frd
訂費	dej fri
埞方	dej foj
定方	dej foj
訂房	dej foj
頂架	dej ga
訂購者	dej gru ze
釘蓋	dej goi
頂桿	dej gon
頂夾	dej gep
訂合同	dej hrp tuj
釘橋	dej kiu
釘螺	dej lo
釘牢	dej lou
頂面	dej min
頂帽	dej mou
釘耙	dej pa
釘鈀	dej pa
釘牌	dej pai
頂棒	dej paj
頂夸克	dej qa hrk
釘梢	dej sau
釘死	dej sei
掟死狗	dej sei gru
訂書釘	dej sv dej
釘書釘	dej sv dej
訂書機	dej sv gei
釘書機	dej sv gei
訂書針	dej sv zrm
釘書針	dej sv zrm
釘頭	dej tru
掟彎	dej wan
訂位	dej wri
訂閲	dej yvd
釘仔	dej zri
釘咗	dej zo
訂裝	dej zoj
趯更	dek gaj
笛卡兒	dek ka yi
笛卡兒座標制	dek ka yi zo biu zri
趯路	dek lou
糴米	dek mri
笛膜	dek mok
笛沙格	dek sa gak
動Ｌ	duj Ｌ
東阿	duj a
東亞峰會	duj a fuj wui
東亞銀行	duj a jrn hoj
東亞石䳭	duj a sek zik
東亞運動會	duj a wrn duj wui
東阿縣	duj a yvn
東巴文化	duj ba mrn fa
東北亞	duj brk a
東北部	duj brk bou
東北大學	duj brk dai hok
東北方	duj brk foj
東北平原	duj brk pij yvn
東北三省	duj brk sam saj
動賓式	duj brn sik
冬不拉	duj brt lai
凍冰冰	duj bij bij
東便	duj bin
東邊兒	duj bin yi
董必武	duj bit mou
東坡區	duj bo k;i
東坡肉	duj bo yuk
東坡肘子	duj bo zru zi
東寶	duj bou
東寶區	duj bou k;i
東部時間	duj bou si gan
冬病夏治	duj bej ha zi
東半球	duj bun kru
洞察一切	duj cat yrt cri
凍親	duj crn
動詞重疊	duj ci cuj dip
動詞結構	duj ci git kru
洞徹	duj cid
動情激素	duj cij gik sou
動情期	duj cij kei
動情素	duj cij sou
冬青樹	duj cij sv
東倉里	duj coj lei
東涌站	duj cuj zam
凍穿	duj cvn
東川	duj cvn
東川區	duj cvn k;i
東昌	duj c;j
東昌府	duj c;j fu
東昌府區	duj c;j fu k;i
東昌區	duj c;j k;i
冬大過年	duj dai xo nin
東德	duj drk
東突厥斯坦	duj drt kvt si tan
東突厥斯坦解放組織	duj drt kvt si tan gai foj zou zik
東突厥斯坦伊斯蘭運動	duj drt kvt si tan yi si lan wrn duj
東突組織	duj drt zou zik
動點	duj dim
東躲西閃	duj do sri sim
動蕩	duj doj
棟篤笑	duj duk siu
東歐平原	duj ru pij yvn
冬粉	duj frn
凍房	duj foj
東方阿閦佛	duj foj a cuk frd
東方白鸛	duj foj bak gun
東方斑鵖	duj foj ban gip
東方報業集團	duj foj bou yip zap tvn
東方青龍	duj foj cij luj
東方大葦鶯	duj foj dai wri rj
洞房花燭夜	duj foj fa zuk ye
東方嘰咋柳鶯	duj foj gei za lru rj
東方鴴	duj foj hrj
東方航空	duj foj hoj huj
東方黎族自治縣	duj foj lri zuk zi zi yvn
東方馬腦炎病毒	duj foj ma nou yim bej duk
東方文明	duj foj mrn mij
東方明珠電視塔	duj foj mij zv din si tap
東方明珠塔	duj foj mij zv tap
東方狍	duj foj pau
東方三博士	duj foj sam bok si
東方市	duj foj si
東方人	duj foj yrn
東方日報	duj foj yrt bou
東方之珠	duj foj zi zv
凍啡	duj fei
東非大地塹	duj fei dai dei cim
東非大裂谷	duj fei dai lit guk
東非共同體	duj fei guj tuj tri
東豐	duj fuj
董奉	duj fuj
東風區	duj fuj k;i
東風螺	duj fuj lo
東風射馬耳	duj fuj se ma yi
東豐縣	duj fuj yvn
東加	duj ga
東家唔打打西家	duj ga m da da sri ga
冬耕	duj gaj
洞鑒	duj gam
凍膠	duj gau
東交民巷	duj gau mrn hoj
董雞	duj gri
東京大學	duj gij dai hok
東京帝國大學	duj gij dri xok dai hok
東京都	duj gij dou
東京塔	duj gij tap
東京灣	duj gij wan
動見觀瞻	duj gin gun zim
董建華	duj gin wa
東江	duj goj
東港	duj goj
東港區	duj goj k;i
東港市	duj goj si
東港鎮	duj goj zrn
動覺	duj gok
動肝火	duj gon fo
冬菇	duj gu
冬宮	duj guj
懂局	duj guk
東觀漢記	duj gun hon gei
東莞市	duj gun si
冬瓜豆腐	duj xa dru fu
冬瓜盅	duj xa zuj
東歸	duj xri
東君	duj xrn
凍滾水	duj xrn s;i
凍過水	duj xo s;i
東光縣	duj xoj yvn
東疆	duj g;j
冬閑	duj han
洞口縣	duj hru yvn
東興	duj hij
東興區	duj hij k;i
東興市	duj hij si
東協	duj hip
東河	duj ho
東河鄉	duj ho h;j
東河區	duj ho k;i
東海大學	duj hoi dai hok
東海大橋	duj hoi dai kiu
東海岸	duj hoi jon
東海艦隊	duj hoi lam d;i
東海縣	duj hoi yvn
冬烘	duj hoj
東漢末	duj hon mud
東漢末年	duj hon mut nin
動氣	duj hei
戙起牀板	duj hei coj ban
洞孔	duj huj
東鄉縣	duj h;j yvn
東鄉族	duj h;j zuk
東鄉族自治縣	duj h;j zuk zi zi yvn
東吳大學	duj j dai hok
凍硬	duj jaj
懂眼	duj jan
東嶽	duj jok
東溝	duj kru
東溝鎮	duj kru zrn
戙企水魚	duj kei s;i yv
侗劇	duj kek
東區	duj k;i
東區海底隧道	duj k;i hoi dri s;i dou
東區走廊	duj k;i zru loj
東蘭	duj lan
東蘭縣	duj lan yvn
冬甩	duj lrd
東麗	duj lri
東麗區	duj lri k;i
凍檸茶	duj lij ca
東陵區	duj lij k;i
動力反應堆	duj lik fan yij d;i
動力火車	duj lik fo ce
動力機	duj lik gei
動力系統	duj lik hri tuj
動力學	duj lik hok
東遼	duj liu
東遼縣	duj liu yvn
東羅馬帝國	duj lo ma dri xok
東龍洲	duj luj zru
棟梁	duj l;j
動量詞	duj l;j ci
東鱗西爪	duj l;n sri zau
東茅草蓋	duj mau cou goi
東密	duj mrd
動脈弓	duj mrk guj
動脈粥樣硬化	duj mrk zuk y;j jaj fa
動問	duj mrn
東密德蘭	duj mrt drk lan
動物毒素	duj mrt duk sou
動物分類	duj mrt frn l;i
動物界	duj mrt gai
動物學家	duj mrt hok ga
動物農場	duj mrt nuj c;j
動物性	duj mrt sij
動物性名詞	duj mrt sij mij ci
動物性飼料	duj mrt sij zi liu
動物油	duj mrt yru
動物脂肪	duj mrt zi foj
動物莊園	duj mrt zoj yvn
東明	duj mij
動名詞	duj mij ci
東明縣	duj mij yvn
東緬高原	duj min gou yvn
懂門兒	duj mun yi
東南亞國	duj nam a xok
東南亞國家聯盟	duj nam a xok ga lvn mrj
東南亞國協	duj nam a xok hip
東南亞聯盟	duj nam a lvn mrj
東南部	duj nam bou
東南方	duj nam foj
東南西北中	duj nam sri brk zuj
動能車	duj nrj ce
東寧	duj nij
凍檸水	duj nij s;i
東寧縣	duj nij yvn
東安	duj on
東安區	duj on k;i
東安縣	duj on yvn
冬奧會	duj ou wui
動魄	duj pak
動魄驚心	duj pak gij srm
東平	duj pij
動平衡	duj pij hrj
東平縣	duj pij yvn
東沙	duj sa
東沙群島	duj sa qrn dou
東三省	duj sam saj
冬山	duj san
東山口	duj san hru
冬山鄉	duj san h;j
東山鄉	duj san h;j
東山區	duj san k;i
東山縣	duj san yvn
硐室	duj srd
東勢	duj sri
東西半球	duj sri bun kru
東西德	duj sri drk
東西方文化	duj sri foj mrn fa
東西寬	duj sri fun
東勢鄉	duj sri h;j
東西湖	duj sri wu
東西湖區	duj sri wu k;i
東勢鎮	duj sri zrn
東西周	duj sri zru
動手腳	duj sru g;k
東施傚顰	duj si hau prn
東勝	duj sij
東勝區	duj sij k;i
東石	duj sek
東石鄉	duj sek h;j
凍水	duj s;i
東隧	duj s;i
動態存儲器	duj tai cvn cv hei
動態更新	duj tai grj srn
動態鏈接庫	duj tai lin zip fu
動態網頁	duj tai moj yip
東太平洋	duj tai pij y;j
東太平洋隆起	duj tai pij y;j luj hei
動態圖形	duj tai tou yij
動態影像	duj tai yij z;j
動態助詞	duj tai zo ci
洞頭	duj tru
東頭村	duj tru cvn
洞頭縣	duj tru yvn
東條英機	duj tiu yij gei
東台	duj toi
東台市	duj toi si
東土	duj tou
凍土層	duj tou crj
東兔西烏	duj tou sri wu
東討西征	duj tou sri zij
東屯區	duj tvn k;i
東華東院	duj wa duj yvn
東華三院	duj wa sam yvn
東華醫院	duj wa yi yvn
冬運會	duj wrn wui
東王公	duj woj guj
東胡	duj wu
東湖區	duj wu k;i
東烏珠穆沁旗	duj wu zv muk srm kei
侗人	duj yrn
東引	duj yrn
東印度公司	duj yrn dou guj si
東引鄉	duj yrn h;j
動人心弦	duj yrn srm yvn
東一榔頭西一棒子	duj yrt loj tru sri yrt paj zi
東伊運	duj yi wrn
東營區	duj yij k;i
東營市	duj yij si
東掩西遮	duj yim sri ze
東現漢紀	duj yin hon gei
凍容	duj yuj
東涌	duj yuj
東涌線	duj yuj sin
凍肉	duj yuk
棟宇	duj yv
東源	duj yvn
東源縣	duj yvn yvn
東洋鬼	duj y;j xri
東洋鬼子	duj y;j xri zi
東陽市	duj y;j si
東洋話	duj y;j wa
董陽孜	duj y;j zi
洞若觀火	duj y;k gun fo
冬蟄	duj zrd
東洲	duj zru
東洲區	duj zru k;i
東至	duj zi
洞子	duj zi
冬至點	duj zi dim
冬字頭	duj zi tru
東至縣	duj zi yvn
東征西討	duj zij sri tou
東征西怨	duj zij sri yvn
動植物分類	duj zik mrt frn l;i
東直門	duj zik mun
動輒得咎	duj zip drk gru
東中國海	duj zuj xok hoi
董仲舒	duj zuj sv
東主	duj zv
動嘴	duj z;i
動嘴皮	duj z;i pei
動嘴皮兒	duj z;i pei yi
動嘴皮子	duj z;i pei zi
獨霸一方	duk ba yrt foj
篤爆	duk bau
督標	duk biu
篤波	duk bo
篤病	duk bej
擉背脊	duk bui zek
督背脊	duk bui zek
篤背脊	duk bui zek
督察大隊	duk cat dai d;i
督察小組	duk cat siu zou
毒蕈	duk crm
獨裁政權	duk coi zij kvn
毒草名	duk cou mej
篤穿	duk cvn
獨出一時	duk c;t yrt si
獨膽	duk dam
獨膽英雄	duk dam yij huj
篤底	duk dri
獨島	duk dou
獨獨	duk duk
獨斷獨行	duk dvn duk hrj
獨放異彩	duk foj yi coi
獨夫	duk fu
獨夫民賊	duk fu mrn cak
獨家村	duk ga cvn
毒感	duk grm
讀經	duk gij
督建	duk gin
獨個	duk go
獨角鯨	duk gok kij
獨孤求敗	duk gu kru bai
獨沽一味	duk gu yrt mei
督龜	duk xri
獨居石	duk g;i sek
獨具隻眼	duk g;i zek jan
獨腳戲	duk g;k hei
獨腳跳	duk g;k tiu
獨係	duk hri
獨行俠	duk hrj hrp
獨行其是	duk hrj kei si
篤厚	duk hru
讀口黃	duk hru woj
毒害劑量	duk hoi zri l;j
篤學	duk hok
毒氣彈	duk hei dan
毒牙	duk ja
毒瓦斯	duk ja si
篤眼篤鼻	duk jan duk bei
毒顎	duk jok
讀卡器	duk kat hei
獨攬大權	duk lam dai kvn
獨攬市場	duk lam si c;j
獨立報	duk lap bou
獨立國	duk lap xok
獨立國家聯合體	duk lap xok ga lvn hrp tri
獨立門戶	duk lap mun wu
獨立選民	duk lap svn mrn
獨立宣言	duk lap svn yin
獨立戰爭	duk lap zin zrj
獨立中文筆會	duk lap zuj mrn brt wui
獨立鑽石	duk lap zvn sek
毒力	duk lik
毒理學	duk lei hok
獨龍江	duk luj goj
讀賣新聞	duk mai srn mrn
讀萬卷書行萬里路	duk man gvn sv haj man lei lou
讀默	duk mrk
獨幕劇	duk mok kek
黷武	duk mou
獨木不成林	duk muk brt sij lrm
獨木舟水球	duk muk zru s;i kru
毒奶	duk nai
毒奶粉	duk nai frn
毒男	duk nam
篤愛	duk oi
獨辟蹊徑	duk pik hri gij
讀破	duk po
讀破句	duk po g;i
讀破字膽	duk po zi dam
讀譜	duk pou
獨山	duk san
獨山縣	duk san yvn
獨山子	duk san zi
獨山子區	duk san zi k;i
獨生子女政策	duk srj zi n;i zij cak
讀心術	duk srm s;d
獨秀	duk sru
篤守	duk sru
讀屎片	duk si pin
獨市生意	duk si saj yi
篤誠	duk sij
獨食	duk sik
獨食難肥	duk sik nan fei
毒腺	duk sin
篤數	duk sou
讀寫能力	duk se nrj lik
讀死書	duk sei sv
獨屬	duk suk
讀書機	duk sv gei
讀書會	duk sv wui
獨睡	duk s;i
篤信好學	duk s;n hou hok
獨體	duk tri
獨體字	duk tri zi
讀頭	duk tru
讀壞詩書包壞腳	duk wai si sv bau wai g;k
獨一	duk yrd
讀音錯誤	duk yrm co j
獨人秀	duk yrn sru
毒莠定	duk yru dij
獨二代	duk yi doi
毒蠅傘	duk yij san
獨贏	duk yej
獨語	duk yv
獨語句	duk yv g;i
獨院兒	duk yvn yi
督責	duk zak
毒爪	duk zau
毒劑彈	duk zri dan
毒劑震檢	duk zri zrn gim
毒資	duk zi
篤摯	duk zi
獨在異鄉為異客	duk zoi yi h;j wri yi hak
讀者來信	duk ze loi s;n
讀者文摘	duk ze mrn zak
讀者群	duk ze qrn
毒株	duk zv
篤專	duk zvn
獨尊儒術	duk zvn yv s;d
獨酌	duk z;k
短板	dvn ban
短波長	dvn bo c;j
緞布	dvn bou
斷層線	dvn crj sin
短程線	dvn cij sin
短切切	dvn cit cid
段錯誤	dvn co j
短傳	dvn cvn
段荃法	dvn cvn fad
斷搶	dvn c;j
短打	dvn da
短打扮	dvn da ban
斷擔挑	dvn dam tiu
端的	dvn dik
短多	dvn do
短度闊封	dvn dou fut fuj
斷斷	dvn dvn
端飯	dvn fan
短訓班	dvn frn ban
短火	dvn fo
端方	dvn foj
斷乎	dvn fu
端架子	dvn ga zi
短簡	dvn gan
短歌	dvn go
斷港絕潢	dvn goj zvt woj
斷估	dvn gu
端系統	dvn hri tuj
斷行	dvn hrj
短欠	dvn him
短空	dvn huj
短靴	dvn h;
端五	dvn j
斷瓦殘垣	dvn ja can wun
段祺瑞	dvn kei s;i
短期融資	dvn kei yuj zi
斷窮根	dvn kuj grn
短距起落飛機	dvn k;i hei lok fei gei
端賴	dvn lai
端粒	dvn lrp
端粒脢	dvn lrp mui
短褸	dvn lru
煅煉	dvn lin
鍛煉	dvn lin
鍛練	dvn lin
煅爐	dvn lou
端量	dvn l;j
緞紋織	dvn mrn zik
斷滅	dvn mid
端面	dvn min
斷滅論	dvn mit l;n
短尾鴉雀	dvn mei a z;k
短尾賊鷗	dvn mei cak ru
短尾矮袋鼠	dvn mei ri doi sv
短尾鷯鶥	dvn mei liu mei
短尾信天翁	dvn mei s;n tin yuj
短尾鸌	dvn mei wok
短尾鸚鵡	dvn mei yij mou
短尾鷦鶥	dvn mei ziu mei
短命鬼	dvn mej xri
短命種	dvn mej zuj
端木賜	dvn muk ci
端尿	dvn niu
段氏	dvn si
端屎	dvn si
短時儲存	dvn si cv cvn
短時語音記憶	dvn si yv yrm gei yik
煅成末	dvn sij mud
斷食	dvn sik
端線	dvn sin
短少	dvn siu
段數	dvn sou
煅石膏	dvn sek gou
端緒	dvn s;i
斷頭台	dvn tru toi
鍛鐵	dvn tid
斷腿	dvn t;i
短腿獵犬	dvn t;i lip hvn
斷魂椒	dvn wrn ziu
短衣	dvn yi
短衣幫	dvn yi boj
短耳鴞	dvn yi hiu
斷弦	dvn yin
端然	dvn yin
端硯	dvn yin
斷獄	dvn yuk
段玉裁	dvn yuk coi
短薳	dvn yvn
端陽節	dvn y;j zid
短債	dvn zai
端站	dvn zam
端州	dvn zru
端州區	dvn zru k;i
短袖衫	dvn zru sam
斷袖之癖	dvn zru zi pik
短指	dvn zi
短至	dvn zi
端子	dvn zi
短趾鵰	dvn zi diu
緞織	dvn zik
端坐	dvn zo
短中抽長	dvn zuj cru c;j
短中取長	dvn zuj c;i c;j
短敍	dvn z;i
短嘴豆雁	dvn z;i dru jan
短嘴金絲燕	dvn z;i grm si yin
短嘴山椒鳥	dvn z;i san ziu niu
奪偶	dvt jru
兌換率	d;i  wun l;d
對不上	d;i brt s;j
隊啤	d;i be
對比聯想	d;i bei lvn s;j
對比色	d;i bei sik
對比溫度	d;i bei wrn dou
對杯	d;i bui
對苯醌	d;i bun qrn
對茬兒	d;i ca yi
對襯	d;i crn
對親	d;i crn
對刺	d;i ci
對稱空間	d;i cij huj gan
對稱美	d;i cij mei
對稱破缺	d;i cij po kvd
對稱性	d;i cij sij
對稱軸	d;i cij zuk
隊草	d;i cou
對衝基金	d;i cuj gei grm
對出	d;i c;d
對得住	d;i drk zv
對敵者	d;i dik ze
對地	d;i dei
對頂角	d;i dej gok
對對子	d;i d;i zi
對火	d;i fo
對課	d;i fo
對方付費電話	d;i foj fu fri din wa
對方付款電話	d;i foj fu fun din wa
對價	d;i ga
堆金積玉	d;i grm zik yuk
對勁兒	d;i gij yi
對講電話	d;i goj din wa
堆高車	d;i gou ce
堆高機	d;i gou gei
對工	d;i guj
對工兒	d;i guj yi
㨃鬼	d;i xri
對句	d;i g;i
對蝦科	d;i ha fo
對撼	d;i hrm
對口詞	d;i hru ci
對口徑	d;i hru gij
對口相聲	d;i hru s;j sij
對口型	d;i hru yij
對空火器	d;i huj fo hei
對胸衫	d;i huj sam
對空射擊	d;i huj se gik
對偶多面體	d;i jru do min tri
對偶性	d;i jru sij
對外經濟貿易大學	d;i joi gij zri mru yik dai hok
對外關係	d;i joi xan hri
對外聯絡部	d;i joi lvn lok bou
對外貿易經濟合作部	d;i joi mru yik gij zri hrp zok bou
對摳	d;i kru
對抗煸動	d;i koj bin duj
對抗賽	d;i koj coi
對抗者	d;i koj ze
隊冧	d;i lrm
對流層	d;i lru crj
對流層頂	d;i lru crj dej
對落	d;i lok
堆龍德慶	d;i luj drk hij
堆龍德慶縣	d;i luj drk hij yvn
堆壘	d;i l;i
堆壘數論	d;i l;i sou l;n
對唔住	d;i m zv
對罵	d;i ma
對馬	d;i ma
對馬島	d;i ma dou
對馬海峽	d;i ma hoi hap
對埋	d;i mai
對么	d;i mo
對望	d;i moj
對美	d;i mei
隊尾	d;i mei
對味兒	d;i mei yi
對案	d;i on
對氨基苯丙酮	d;i on gei bun bij tuj
堆案盈几	d;i on yij gei
對生	d;i srj
堆芯	d;i srm
對心	d;i srm
對心兒	d;i srm yi
對消	d;i siu
對數函數	d;i sou ham sou
對上	d;i s;j
對談	d;i tam
碓頭	d;i tru
對頭人	d;i tru yrn
堆填	d;i tin
堆填區	d;i tin k;i
對話課	d;i wa fo
對胃口	d;i wri hru
對日	d;i yrd
對映	d;i yij
對映體	d;i yij tri
對映異構	d;i yij yi kru
對映異構體	d;i yij yi kru tri
對乙酰氨基酚	d;i yvt sin on gei frn
對症發藥	d;i zij fat y;k
對證命名	d;i zij mij mij
堆積木	d;i zik muk
對照表	d;i ziu biu
對撞	d;i zoj
對撞機	d;i zoj gei
對帳	d;i z;j
對酌	d;i z;k
對著幹	d;i z;k gon
對著和尚罵賊禿	d;i z;k wo s;j ma cak tuk
啄地	d;j dei
啄啄糖	d;j d;j toj
啄花鳥	d;k fa niu
涿鹿縣	d;k luk yvn
剁手黨	d;k sru doj
啄羊鸚鵡	d;k y;j yij mou
涿州市	d;k zru si
蹲便器	d;n bin hei
蹲膘	d;n biu
蹲廁	d;n ci
鈍翅葦鶯	d;n ci wri rj
頓挫抑揚	d;n co yik y;j
蹲大牢	d;n dai lou
敦化	d;n fa
敦化市	d;n fa si
蹲苦窯	d;n fu yiu
蹲伏	d;n fuk
敦款	d;n fun
鈍角	d;n gok
噸公里	d;n guj lei
蹲踞	d;n g;i
敦刻爾克	d;n hrk yi hrk
頓河	d;n ho
頓開茅塞	d;n hoi mau srk
頓號	d;n hou
敦豪快遞	d;n hou fai dri
敦豪快遞公司	d;n hou fai dri guj si
噸級	d;n krp
蹲牢	d;n lou
蹲馬步	d;n ma bou
敦睦	d;n muk
頓涅茨克	d;n nip ci hrk
頓涅斯克	d;n nip si hrk
噸數	d;n sou
燉煌	d;n woj
敦煌市	d;n woj si
敦煌石窟	d;n woj sek frd
矮半截	ri bun zid
矮醜窮	ri cru kuj
矮凳	ri drj
矮躉	ri drn
矮凸凸	ri drt drd
矮腯腯	ri drt drd
矮𠱂𠱂	ri drt drd
矮地茶	ri dei ca
矮墩墩	ri d;n d;n
矮矮細細	ri ri sri sri
