一个	yrt go
硬打硬	jaj da jaj
硬碟	jaj dip
硬顶跑车	jaj dej pau ce
硬胶	jaj gau
硬健	jaj gin
硬件平台	jaj gin pij toi
硬干	jaj gon
硬颈	jaj gej
硬灌	jaj gun
硬倔倔	jaj xrt xrt
硬骨鱼	jaj xrt yv
硬核	jaj hrt
硬系	jaj hri
硬壳果	jaj hok xo
硬桥硬马	jaj kiu jaj ma
硬领	jaj lij
硬来	jaj loi
硬目标	jaj muk biu
硬皮	jaj pei
硬晒舦	jaj sai tai
硬晒軚	jaj sai tai
硬身	jaj srn
硬食	jaj sik
硬式磁碟机	jaj sik ci dip gei
硬石膏	jaj sek gou
硬体	jaj tri
硬糖	jaj toj
硬推	jaj t;i
硬挣	jaj zrj
硬纸	jaj zi
硬纸板	jaj zi ban
硬脂酸	jaj zi svn
硬脂酸钙	jaj zi svn koi
硬正	jaj zij
硬净	jaj zij
硬席	jaj zik
额比河	jak bei ho
逆次次	jak ci ci
额窦	jak dru
额定值	jak dij zik
额菲尔士	jak fei yi si
额菲尔士峰	jak fei yi si fuj
额非尔士峰	jak fei yi si fuj
额吉	jak grt
额骨	jak xrt
额外性	jak joi sij
额敏	jak mrn
额敏县	jak mrn yvn
逆意	jak yi
额尔齐斯河	jak yi cri si ho
额尔金	jak yi grm
额尔古纳	jak yi gu nap
额尔古纳河	jak yi gu nap ho
额尔古纳市	jak yi gu nap si
额尔古纳右旗	jak yi gu nap yru kei
额尔古纳左旗	jak yi gu nap zo kei
额叶	jak yip
额济纳	jak zri nap
额济纳地区	jak zri nap dei k;i
额济纳河	jak zri nap ho
额济纳旗	jak zri nap kei
岩滨鹬	jam brn wrt
癌病	jam bej
岩巉	jam cam
岩层	jam crj
岩仓	jam coj
岩床	jam coj
岩仓使节团	jam coj si zit tvn
岩洞	jam duj
岩鸽	jam gap
啱偈	jam gri
岩径	jam gij
啱口味	jam hru mei
啱好	jam hou
啱去	jam h;i
啱牙	jam ja
啱啱	jam jam
岩岩巉巉	jam jam cam cam
岩岩巉巉	jam jam cam cam
啱啱好	jam jam hou
啱啱线	jam jam sin
啱ｋｅｙ	jam ki
啱倾	jam kij
岩壑	jam kok
岩流圈	jam lru hvn
岩鹭	jam lou
岩雷鸟	jam l;i niu
岩沙海葵毒素	jam sa hoi qri duk sou
啱晒	jam sai
啱使	jam sri
啱心水	jam srm s;i
啱身	jam srn
岩手	jam sru
岩手县	jam sru yvn
岩屑	jam sit
啱食	jam sik
啱先	jam sin
岩石	jam sek
岩石层	jam sek crj
岩石学	jam sek hok
岩石圈	jam sek hvn
啱睇	jam tri
啱听	jam tij
岩土体	jam tou tri
啱饮	jam yrm
岩燕	jam yin
岩穴	jam yvt
岩羊	jam y;j
啱咀形	jam z;i yij
啱嘴形	jam z;i yij
岩浆岩	jam z;j jam
岩浆流	jam z;j lru
啱ｆｅｅｌ	jamｆｅｅｌ
眼压	jan at
眼白白	jan bak bak
眼不见心不烦	jan brt gin srm brt fan
眼不见为干净	jan brt gin wri gon zej
眼不转睛	jan brt zvn zij
眼柄	jan bej
眼岔	jan ca
眼馋肚饱	jan cam tou bau
眼眵	jan ci
眼浅	jan cin
眼超超	jan ciu ciu
眼赤	jan cek
眼虫	jan cuj
眼虫藻	jan cuj zou
眼穿肠断	jan cvn c;j dvn
眼大大	jan dai dai
眼大睇过笼	jan dai tri xo luj
眼大睇过龙	jan dai tri xo luj
眼底下	jan dri ha
眼凸凸	jan drt drt
眼定定	jan dij dij
眼点	jan dim
眼电图	jan din tou
雁荡	jan doj
眼动	jan duj
眼动记录	jan duj gei luk
眼动技术	jan duj gei s;t
眼毒	jan duk
眼花花	jan fa fa
眼瞓	jan frn
眼火爆	jan fo bau
眼火标	jan fo biu
眼科学	jan fo hok
眼科医生	jan fo yi srj
眼房	jan foj
眼房水	jan foj s;i
眼风	jan fuj
雁峰	jan fuj
雁峰区	jan fuj k;i
眼阔肚窄	jan fut tou zak
眼格	jan gak
眼甘甘	jan grm grm
眼紧	jan grn
眼见得	jan gin drk
眼见为实耳听为虚	jan gin wri srt yi tij wri h;i
眼盖	jan goi
雁江	jan goj
雁江区	jan goj k;i
眼角高	jan gok gou
眼角膜	jan gok mok
眼干症	jan gon zij
眼镜猴	jan gej hru
眼镜片	jan gej pin
眼镜铺	jan gej pou
眼公仔	jan guj zri
眼观六路耳听八方	jan gun luk lou yi tij bat foj
眼观四处耳听八方	jan gun sei cv yi tij bat foj
眼观四面耳听八方	jan gun sei min yi tij bat foj
眼掘掘	jan xrt xrt
雁过拔毛	jan xo brt mou
眼过劳	jan xo lou
眼光短	jan xoj dvn
眼光光	jan xoj xoj
眼瞎耳聋	jan hrt yi luj
颜厚	jan hru
颜厚有忸怩	jan hru yru nuk nei
眼圈红了	jan hvn huj liu
眼枷	jan ka
眼距宽	jan k;i fun
眼矋矋	jan lri lri
眼露杀气	jan lou sat hei
眼利	jan lei
眼睩睩	jan luk luk
眼泪水	jan l;i s;i
眼泪横流	jan l;i waj lru
眼里容不得沙子	jan l;i yuj brt drk sa zi
眼唔见为伶俐	jan m gin wri lij lei
眼纹噪鹛	jan mrn cou mei
眼纹黄山雀	jan mrn woj san z;k
颜面扫地	jan min sou dei
雁杳鱼沉	jan miu yv crm
眼毛	jan mou
眼尾	jan mei
眼眉毛	jan mei mou
眼眉毛长	jan mei mou c;j
眼眉跳	jan mei tiu
眼蒙	jan muj
眼蒙蒙	jan muj muj
眼皮哭肿	jan pei huk zuj
眼皮子	jan pei zi
眼皮子浅	jan pei zi cin
雁山	jan san
雁山区	jan san k;i
眼梢	jan sau
眼神不好	jan srn brt hou
眼神不济	jan srn brt zri
眼湿湿	jan srp srp
眼时	jan si
眼成穿	jan sij cvn
颜色笔	jan sik brt
眼色素层黑色素瘤	jan sik sou crj hrk sik sou lru
眼线笔	jan sin brt
眼线液	jan sin yik
颜射	jan se
眼水	jan s;i
眼坦坦	jan tan tan
雁塔区	jan tap k;i
颜体	jan tri
眼跳	jan tiu
眼跳动	jan tiu duj
眼挑针	jan tiu zrm
眼肚	jan tou
眼核	jan wrt
颜回	jan wui
眼挹毛	jan yrp mou
眼翕毛	jan yrp mou
眼炎	jan yim
眼冤	jan yvn
眼缘	jan yvn
颜渊	jan yvn
眼𥇢𥇢	jan zam zam
眼斩斩	jan zam zam
眼眨眨	jan zam zam
眼仔	jan zri
眼仔碌碌	jan zri luk luk
颜真卿	jan zrn hij
眼证	jan zij
眼睛吃冰淇淋	jan zij hek bij kei lrm
眼睛生响头顶	jan zij saj h;j tru dej
眼睫毛	jan zit mou
眼中刺	jan zuj ci
眼珠儿	jan zv yi
餲堪堪	jat hrm hrm
熬出头	jau c;t tru
淆底	jau dri
咬定牙根	jau dij ja grn
咬定牙关	jau dij ja xan
熬更守夜	jau gaj sru ye
咬甲癖	jau gap pik
咬紧牙根	jau grn ja grn
咬痕	jau hrn
𢯎痕	jau hrn
咬口	jau hru
咬口唇	jau hru s;n
洨河	jau ho
咬钩	jau jru
咬啮	jau jit
淆乱	jau lvn
咬粮	jau l;j
咬唔入	jau m yrp
殽晒框	jau sai qaj
咬舌自尽	jau sit zi z;n
咬唇妆	jau s;n zoj
咬人狗儿不露齿	jau yrn gru yi brt lou ci
咬一啖	jau yrt dam
咬耳朵	jau yi do
咬耳仔	jau yi zri
咬啮	jau yit
咬弦	jau yin
淆杂	jau zap
咬嚼	jau z;k
咬着耳朵	jau z;k yi do
魏伯阳	jri bak y;j
伪币	jri bri
危迫	jri bik
危辞耸听	jri ci suj tij
伪朝	jri ciu
矮凳仔	jri drj zri
魏德迈	jri drk mai
蚁窦	jri dru
蚁斗蜗争	jri dru wo zrj
蚁多搂死象	jri do lru sei z;j
伪代码	jri doi ma
魏都	jri dou
魏都区	jri dou k;i
危地马拉人	jri dei ma lai yrn
伪顶	jri dej
危笃	jri duk
鮨科	jri fo
伪科学	jri fo hok
魏格纳	jri gak nap
伪经	jri gij
危径	jri gij
魏京生	jri gij srj
艺伎	jri gei
伪基百科	jri gei bak fo
倪桂珍	jri xri zrn
危惧	jri g;i
危险警告灯	jri him gij gou drj
危害评价	jri hoi pij ga
倪匡	jri hoj
魏巍	jri jri
危危乎	jri jri fu
𠼮求	jri kru
诣阙	jri kvt
蚁𨅬噉	jri lan grm
蚁䴕	jri lit
魏玛	jri ma
蚁民	jri mrn
魏文帝	jri mrn dri
诣门	jri mun
艺圃	jri pou
危困	jri qrn
巍山彝族回族自治县	jri san yi zuk wui zuk zi zi yvn
巍山县	jri san yvn
矮细	jri sri
魏收	jri sru
睨视	jri si
危性	jri sij
伪饰	jri sik
伪善者	jri sin ze
伪书	jri sv
魏书	jri sv
蚁酸	jri svn
艺术学院	jri s;t hok yvn
艺术片	jri s;t pin
艺术体操	jri s;t tri cou
艺术造街	jri s;t zou gai
艺术中心	jri s;t zuj srm
伪托	jri tok
倪柝声	jri tok sij
危途	jri tou
蚁丘	jri yru
危而不持	jri yi brt ci
诣谒	jri yit
危言危行	jri yin jri hrj
危如累卵	jri yv l;i l;n
危如朝露	jri yv ziu lou
魏源	jri yvn
魏县	jri yvn
危若朝露	jri y;k ziu lou
矮仔	jri zri
矮仔多计	jri zri do gri
倪嗣冲	jri zi cuj
伪迹	jri zik
伪造品	jri zou brn
伪造者	jri zou ze
艺者	jri ze
危重病人	jri zuj bej yrn
魏忠贤	jri zuj yin
蚁族	jri zuk
魏晋南北朝	jri z;n nam brk ciu
吟沉	jrm crm
扲荷包	jrm ho bau
吟吟沉沉	jrm jrm crm crm
揞脉	jrm mrk
揞住	jrm zv
揞住嘴笑	jrm zv z;i siu
银白杨	jrn bak y;j
银包	jrn bau
银箔	jrn bok
银保	jrn bou
龈病	jrn bej
银杯	jrn bui
银本位	jrn bun wri
银本位制	jrn bun wri zri
龈擦音	jrn cat yrm
奀雌雌	jrn ci ci
韧黐黐	jrn ci ci
银枞	jrn cuj
银鲳	jrn c;j
银丹	jrn dan
银点	jrn dim
银鸥	jrn ru
银辉	jrn fri
银晃晃	jrn foj foj
龈辅音	jrn fu yrm
银胶菊	jrn gau guk
银鸡	jrn gri
银阁寺	jrn gok zi
䟴高	jrn gou
银脚带	jrn g;k dai
银行业	jrn hrj yip
银喉长尾山雀	jrn hru c;j mei san z;k
银河星云	jrn ho sij wrn
银海	jrn hoi
银海区	jrn hoi k;i
银行簿	jrn hoj bou
银行担保	jrn hoj dam bou
银行对账单	jrn hoj d;i z;j dan
银行业务	jrn hoj yip mou
银红	jrn huj
银胸阔嘴鸟	jrn huj fut z;i niu
银熊奖	jrn huj z;j
银芽	jrn ja
䟴䟴脚	jrn jrn g;k
印印脚	jrn jrn g;k
龈颚音	jrn jok yrm
龈腭音	jrn jok yrm
银脸长尾山雀	jrn lim c;j mei san z;k
银莲花	jrn lin fa
银両	jrn l;j
银亮	jrn l;j
奀妹	jrn mui
银粘	jrn nim
奀袅袅	jrn niu niu
龈脓肿	jrn nuj zuj
银瓶	jrn pij
奀皮	jrn pei
韧皮	jrn pei
韧皮部	jrn pei bou
银盘	jrn pun
银矿湾	jrn qoj wan
奀细	jrn sri
奀瘦	jrn sru
银丝卷	jrn si gvn
银丝族	jrn si zuk
银狮奖	jrn si z;j
奀星	jrn sij
银线湾	jrn sin wan
银屑病	jrn sit bej
银鳕鱼	jrn svt yv
银坛	jrn tan
韧体	jrn tri
奀挑鬼命	jrn tiu xri mij
奀袅鬼命	jrn tiu xri mej
银苔	jrn toi
龈音	jrn yrm
银耳噪鹛	jrn yi cou mei
银耳相思鸟	jrn yi s;j si niu
龈炎	jrn yim
银燕	jrn yin
银叶	jrn yip
银鱼	jrn yv
鄞县	jrn yvn
银圆	jrn yvn
银洋	jrn y;j
银样镴枪头	jrn y;j lap c;j tru
奀仔	jrn zri
银仔	jrn zri
银制	jrn zri
银质奖	jrn zrt z;j
鄞州	jrn zru
银州	jrn zru
鄞州区	jrn zru k;i
银州区	jrn zru k;i
银纸	jrn zi
银主盘	jrn zv pun
银匠	jrn z;j
罨烂	jrp lan
噏三噏四	jrp sam jrp sei
岌头	jrp tru
圪垯	jrt dat
兀凳	jrt drj
矻矻	jrt jrt
扤扤摇	jrt jrt yiu
杌陧	jrt nip
阢陧	jrt nip
扤失	jrt srt
扤实	jrt srt
扤死猫	jrt sei mau
兀臬	jrt yit
兀臲	jrt yit
兀鹰	jrt yij
屹然	jrt yin
兀鹫	jrt zru
牛Ｂ	jru Ｂ
牛轭	jru ak
牛白腩	jru bak nam
牛百叶	jru bak yip
牛蒡	jru boj
牛屄	jru bei
牛比	jru bei
牛鼻子	jru bei zi
牛背鹭	jru bui lou
牛脖子	jru but zi
牛池湾	jru ci wan
牛草肚	jru cou tou
牛肠	jru c;j
吽哣	jru dru
牛痘病	jru dru bej
牛刀小试	jru dou siu si
钩端螺旋体病	jru dvn lo svn tri bej
牛顿力学	jru d;n lik hok
钩花	jru fa
偶犯	jru fan
勾缝	jru fuj
牛筋草	jru grn cou
偶极	jru gik
偶见	jru gin
牛腱	jru gin
牛角包	jru gok bau
牛角挂书	jru gok xa sv
牛角面包	jru gok min bau
牛角椒	jru gok ziu
牛皋	jru gou
牛高马大	jru gou ma dai
牛记	jru gei
牛颈	jru gej
牛牯	jru gu
勾股定理	jru gu dij lei
牛公	jru guj
耦居	jru g;i
偶函数	jru ham sou
牛河	jru ho
牛海绵状脑病	jru hoi min zoj nou bej
吽牙	jru ja
钩稽	jru kri
钩稽	jru kri
钩扣	jru kru
牛桥	jru kiu
牛骥同槽	jru kei tuj cou
牛骥同皂	jru kei tuj zou
勾拳	jru kvn
勾栏	jru lan
勾阑	jru lan
牛栏	jru lan
勾留	jru lru
牛力	jru lik
勾佬	jru lou
牛脷	jru lei
牛脷酥	jru lei sou
勾联	jru lvn
偶联反应	jru lvn fan yij
耦联晶体管	jru lvn zij tri gun
牛唔饮水点揿得牛头低	jru m yrm s;i dim grm drk jru tru dri
牛唔饮水唔揿得牛头低	jru m yrm s;i m grm drk jru tru dri
牛尾	jru mei
牛乸	jru na
牛奶糖	jru nai toj
牛年	jru nin
牛年马月	jru nin ma yvt
牛扒	jru pa
牛排餐厅	jru pai can tej
牛排馆	jru pai gun
牛柏叶	jru pak yip
钩编	jru pin
牛皮菜	jru pei coi
牛皮灯笼	jru pei drj luj
牛皮胶	jru pei gau
牛脾气	jru pei hei
牛皮色	jru pei sik
牛皮纸	jru pei zi
勾三搭四	jru sam dap sei
牛山濯濯	jru san zok zok
牛膝	jru srt
牛心	jru srm
钩心斗角	jru srm dru gok
牛膝草	jru srt cou
牛溲马勃	jru sru ma but
牛舌	jru sit
牛性	jru sij
牛性子	jru sij zi
勾销	jru siu
牛潭尾	jru tam mei
偶蹄	jru tri
偶蹄类	jru tri l;i
偶蹄目	jru tri muk
牛头	jru tru
牛头伯劳	jru tru bak lou
牛头裤	jru tru fu
牛头㹴	jru tru grj
牛头梗	jru tru grj
牛头角	jru tru gok
钩头篙	jru tru gou
牛头犬	jru tru hvn
牛头唔搭马嘴	jru tru m dap ma z;i
牛肚	jru tou
牛蛙	jru wa
勾划	jru wak
牛王	jru woj
牛王妹	jru woj mui
牛磺酸	jru woj svn
牛王头	jru woj tru
偶一	jru yrt
牛一	jru yrt
牛饮	jru yrm
偶人	jru yrn
勾人	jru yrn
偶一为之	jru yrt wri zi
牛油戟	jru yru gik
牛油果	jru yru xo
牛衣对泣	jru yi d;i yrp
牛蝇	jru yij
偶然事件	jru yin si gin
勾玉	jru yuk
牛肉炒河	jru yuk cau ho
牛肉肠	jru yuk c;j
牛肉干	jru yuk gon
牛肉面	jru yuk min
牛肉汤面	jru yuk toj min
牛肉丸	jru yuk yvn
耦语	jru yv
牛乳饼	jru yv bej
偶语弃市	jru yv hei si
牛丸	jru yvn
耦园	jru yvn
牛羊	jru y;j
牛什	jru zap
牛轧糖	jru zat toj
吽仔	jru zri
牛仔布	jru zri bou
牛仔骨	jru zri xrt
牛仔帽	jru zri mou
牛仔片	jru zri pin
钩针	jru zrm
牛治	jru zi
牛至	jru zi
牛精	jru zij
牛𦟌	jru zin
牛噍牡丹	jru ziu mau dan
牛嚼牡丹	jru ziu mau dan
牛只	jru zek
牛脊肉	jru zek yuk
钩住	jru zv
钩嘴林䴗	jru z;i lrm xik
钩嘴圆尾鹱	jru z;i yvn mei wok
牛樟	jru z;j
偶像化	jru z;j fa
偶像剧	jru z;j kek
偶像崇拜	jru z;j suj bai
牛津大学	jru z;n dai hok
牛津群	jru z;n qrn
啮牙	jit ja
俄巴底亚书	jo ba dri a sv
卧不安	jo brt on
峨边彝族自治县	jo bin yi zuk zi zi yvn
峨边县	jo bin yvn
俄备得	jo bei drk
卧舱	jo coj
鹅春石	jo c;n sek
鹅春形	jo c;n yij
疴蛋	jo dan
鹅蛋形	jo dan yij
俄底浦斯	jo dri pou si
俄底浦斯情结	jo dri pou si cij git
我的	jo dik
俄狄浦斯	jo dik pou si
我哋	jo dei
我地	jo dei
我哋嘅	jo dei ge
我哋自己	jo dei zi gei
卧佛	jo frt
卧虎	jo fu
饿狗抢屎	jo gru c;j si
鹅肝	jo gon
鹅膏蕈	jo gou crm
鹅膏蕈素	jo gou crm sou
我嘅	jo ge
鹅公喉	jo guj hru
峨冠博带	jo gun bok dai
饿鬼投胎	jo xri tru toi
饿过饥	jo xo gei
卧果儿	jo xo yi
俄国人	jo xok yrn
卧具	jo g;i
鹅行鸭步	jo hrj ap bou
俄克拉何马	jo hrk lai ho ma
俄克拉何马城	jo hrk lai ho ma sij
俄克拉何马州	jo hrk lai ho ma zru
蛾喉	jo hru
鹅喉羚	jo hru lij
俄亥俄	jo hoi jo
俄亥俄州	jo hoi jo zru
讹误	jo j
皒皒	jo jo
我靠	jo kau
俄勒冈	jo lak goj
俄勒冈州	jo lak goj zru
我勒个去	jo lrk go h;i
俄罗斯帝国	jo lo si dri xok
俄罗斯方块	jo lo si foj fai
俄罗斯联邦	jo lo si lvn boj
俄罗斯联邦国歌	jo lo si lvn boj xok go
俄罗斯轮盘	jo lo si l;n pun
俄罗斯人	jo lo si yrn
俄罗斯族	jo lo si zuk
我来自潮州	jo loi zi ciu zru
饿狼	jo loj
卧龙大熊猫保护区	jo luj dai huj mau bou wu k;i
卧龙岗	jo luj goj
卧龙区	jo luj k;i
卧龙自然保护区	jo luj zi yin bou wu k;i
俄联邦	jo lvn boj
鹅銮鼻	jo lvn bei
蛾类	jo l;i
我唔知	jo m zi
讹谬	jo mru
蛾摩拉	jo mo lai
蛾眉皓齿	jo mei hou ci
峨眉乡	jo mei h;j
峨嵋拳	jo mei kvn
峨眉柳莺	jo mei lru rj
峨嵋山	jo mei san
峨嵋山市	jo mei san si
峨眉山市	jo mei san si
峨嵋鹟莺	jo mei yuj rj
娥眉月	jo mei yvt
蛾眉月	jo mei yvt
娥眉洲	jo mei zru
鹅莓	jo mui
卧内	jo noi
我爱你	jo oi nei
讹骗	jo pin
饿殍	jo piu
饿莩	jo piu
饿莩遍野	jo piu pin ye
饿殍载道	jo piu zoi dou
饿莩载道	jo piu zoi dou
峨山彝族自治县	jo san yi zuk zi zi yvn
峨山县	jo san yvn
卧薪尝胆	jo srn s;j dam
饿死老婆熏臭屋	jo sei lou po frn cru uk
俄塔社	jo tap se
饿肚子	jo tou zi
卧推	jo t;i
卧位	jo wri
我人	jo yrn
讹人	jo yrn
俄尔	jo yi
俄而	jo yi
讹字	jo zi
我自己	jo zi gei
俄中	jo zuj
俄中朝	jo zuj ciu
我醉欲眠	jo z;i yuk min
鹅掌楸	jo z;j cru
外办	joi ban
外八字脚	joi bat zi g;k
外八字腿	joi bat zi t;i
呆笨	joi brn
外便	joi bin
外边儿	joi bin yi
外邦人	joi boj yrn
外埔	joi bou
外埔乡	joi bou h;j
外部连接	joi bou lin zip
外部链接	joi bou lin zip
外差	joi ca
外插	joi cap
外层空间	joi crj huj gan
外错角	joi co gok
外斜肌	joi ce gei
外场人	joi c;j yrn
外出访问	joi c;t foj mrn
外出血	joi c;t hvt
外丹	joi dan
外搭程式	joi dap cij sik
外底	joi dri
外典写作	joi din se zok
外岛	joi dou
呆钝	joi d;n
外分泌腺	joi frn bei sin
外科学	joi fo hok
外科手术	joi fo sru s;t
外科医生	joi fo yi srj
外放	joi foj
外父	joi fu
外稃	joi fu
外父咁外	joi fu grm joi
外宽内忌	joi fun noi gei
外嫁	joi ga
外加附件	joi ga fu gin
外嫁女	joi ga n;i
外加剂	joi ga zri
外交庇护	joi gau bei wu
外交大臣	joi gau dai srn
外交特权	joi gau drk kvn
外交风波	joi gau fuj bo
外交界	joi gau gai
外交关系理事会	joi gau xan hri lei si wui
外交学院	joi gau hok yvn
外交豁免权	joi gau kut min kvn
外交手腕	joi gau sru wun
外交事务	joi gau si mou
外交使节	joi gau si zit
呆根	joi grn
外径	joi gij
外激素	joi gik sou
外江佬	joi goj lou
外刚内柔	joi goj noi yru
外高加索	joi gou ga sok
外观设计	joi gun cit gri
外挂程式	joi xa cij sik
外骨骼	joi xrt gak
外国公司	joi xok guj si
外国旅游者	joi xok l;i yru ze
外国媒体	joi xok mui tri
外郭城	joi xok sij
外国投资者	joi xok tru zi ze
外国话	joi xok wa
外国人居住证明	joi xok yrn g;i zv zij mij
外国游客	joi xok yru hak
外国资本	joi xok zi bun
碍口	joi hru
碍口识羞	joi hru sik sru
外显子	joi hin zi
外乡人	joi h;j yrn
外眼角	joi jan gok
硙硙	joi joi
外寇	joi kru
外力作用	joi lik zok yuj
外来词	joi loi ci
外来货	joi loi fo
外来物种	joi loi mrt zuj
外来妹	joi loi mui
外来成语	joi loi sij yv
外来投资	joi loi tru zi
外来人	joi loi yrn
外来语	joi loi yv
外劳	joi lou
外路	joi lou
外文系	joi mrn hri
碍面子	joi min zi
外母	joi mou
外鹜	joi mou
外务部	joi mou bou
外母乸	joi mou na
外务省	joi mou saj
外务员	joi mou yvn
外蒙古	joi muj gu
碍难	joi nan
碍难从命	joi nan cuj mij
呆扳手	joi pan sru
外袍	joi pou
外胚层	joi pui crj
外省人	joi saj yrn
外甥女婿	joi srj n;i sri
外甥媳妇	joi srj sik fu
外手	joi sru
外事处	joi si cv
外泄	joi sit
外小腿	joi siu t;i
外孙女儿	joi svn n;i yi
外孙子	joi svn zi
外水	joi s;i
外商独资企业	joi s;j duk zi kei yip
外商直接投资	joi s;j zik zip tru zi
外太公	joi tai guj
外太空	joi tai huj
外太婆	joi tai po
外推法	joi t;i fat
外踝	joi wa
碍胃口	joi wri hru
瑷珲	joi wrn
外汇市场	joi wui si c;j
呆会儿	joi wui yi
外阴部	joi yrm bou
外耳道	joi yi dou
外爷	joi ye
外源	joi yvn
外侧沟	joi zrk kru
外侧裂	joi zrk lit
外侧裂周区	joi zrk lit zru k;i
外侧裂周围	joi zrk lit zru wri
外质膜	joi zrt mok
外积	joi zik
外籍劳工	joi zik lou guj
外籍人士	joi zik yrn si
外接圆	joi zip yvn
外照射	joi ziu se
外在超越	joi zoi ciu yvt
昂藏	joj coj
戆督	joj duk
昂奋	joj frn
戆鸠	joj gru
戆鸠仔	joj gru zri
戆居	joj g;i
戆居居	joj g;i g;i
戆居佬	joj g;i lou
昂昂	joj joj
昂昂溪	joj joj kri
昂昂溪区	joj joj kri k;i
昂利	joj lei
昂纳克	joj nap hrk
昂坪	joj pij
昂坪３６０	joj pij３６０
昂山	joj san
昂山素姬	joj san sou gei
昂山素季	joj san sou xri
戆丧	joj soj
昂船洲	joj svn zru
戆头戆脑	joj tru joj nou
昂仁	joj yrn
昂仁县	joj yrn yvn
戆直	joj zik
颚部	jok bou
岳池	jok ci
岳池县	jok ci yvn
岳得尔歌	jok drk yi go
鄂霍次克海	jok fok ci hrk hoi
乐府诗集	jok fu si zap
岳家	jok ga
乐经	jok gij
颚骨	jok xrt
乐句	jok g;i
恶亨亨	jok hrj hrj
乐学者	jok hok ze
颚龈音	jok jrn yrm
颚裂	jok lit
腭裂	jok lit
鳄梨	jok lei
鳄龙	jok luj
岳麓	jok luk
岳麓区	jok luk k;i
岳麓山	jok luk san
岳麓书院	jok luk sv yvn
乐律	jok l;t
鄂伦春自治旗	jok l;n c;n zi zi kei
岳普湖	jok pou wu
岳普湖县	jok pou wu yvn
岳西	jok sri
岳西县	jok sri yvn
鄂城	jok sij
鄂城区	jok sij k;i
鳄蜥	jok sik
岳塘	jok toj
岳塘区	jok toj k;i
鄂托克	jok tok hrk
鄂托克前旗	jok tok hrk cin kei
鄂托克旗	jok tok hrk kei
鄂温克语	jok wrn hrk yv
鄂温克族	jok wrn hrk zuk
鄂温克族自治旗	jok wrn hrk zuk zi zi kei
鄂尔多斯高原	jok yi do si gou yvn
鄂尔多斯沙漠	jok yi do si sa mok
鄂尔多斯市	jok yi do si si
鳄鱼夹	jok yv gap
鳄鱼眼泪	jok yv jan l;i
鳄鱼泪	jok yv l;i
鳄鱼潭	jok yv tam
鳄鱼头	jok yv tru
鳄鱼头老衬底	jok yv tru lou crn dri
岳阳地区	jok y;j dei k;i
岳阳楼	jok y;j lru
岳阳楼记	jok y;j lru gei
岳阳楼区	jok y;j lru k;i
岳阳市	jok y;j si
岳阳县	jok y;j yvn
鄂州	jok zru
鄂州市	jok zru si
恶作	jok zok
岳丈	jok z;j
岸标	jon biu
鳌抃	jou bin
敖贝得	jou bui drk
鳌背负山	jou bui fu san
敖德萨	jou drk sat
熬稃	jou fu
熬膏	jou gou
敖广	jou xoj
敖汉	jou hon
敖汉旗	jou hon kei
獒犬	jou hvn
傲睨	jou jri
傲立	jou lap
傲慢与偏见	jou man yv pin gin
敖顺	jou s;n
熬头儿	jou tru yi
傲人	jou yrn
敖游	jou yru
敖闰	jou y;n
傲自	jou zi
螯肢	jou zi
鏊子	jou zi
卡巴莱	ka ba loi
卡巴斯基	ka ba si gei
卡宾枪	ka brn c;j
卡波西氏肉瘤	ka bo sri si yuk lru
卡波耶拉	ka bo ye lai
卡布其诺	ka bou kei nok
卡布奇诺	ka bou kei nok
卡布其诺咖啡	ka bou kei nok ga fe
卡脖子	ka but zi
卡秋莎	ka cru sa
卡达	ka dat
喀哒	ka dat
卡弹	ka dan
咔哒声	ka dat sej
卡特彼勒公司	ka drk bei lrk guj si
卡迪夫	ka dik fu
卡到阴	ka dou yrm
卡地亚	ka dei a
卡顿	ka d;n
卡方	ka foj
卡夫	ka fu
咔叽	ka gei
髂骨	ka xrt
卡口	ka hru
卡瓦格博峰	ka ja gak bok fuj
佧佤族	ka ja zuk
卡昂	ka joj
咔咔声	ka ka sej
卡其	ka kei
卡罅	ka la
喀啦喀啦	ka la ka la
卡拉布里亚	ka lai bou lei a
卡拉比拉	ka lai bei lai
卡拉胶	ka lai gau
卡拉季奇	ka lai xri kei
卡拉卡斯	ka lai ka si
卡拉奇那	ka lai kei na
卡拉马佐夫兄弟	ka lai ma zo fu hij dri
卡拉姆昌德	ka lai mou c;j drk
卡拉什尼科夫	ka lai srp nei fo fu
卡罗利纳	ka lo lei nap
卡洛驰	ka lok ci
卡骆驰	ka lok ci
卡洛娜	ka lok na
卡洛斯	ka lok si
卡乐星	ka lok sij
卡利亚里	ka lei a lei
卡利多尼亚	ka lei do nei a
卡利科	ka lei fo
卡利卡特	ka lei ka drk
卡文迪什	ka mrn dik srp
卡美拉	ka mei lai
卡美洛	ka mei lok
卡梅伦	ka mui l;n
卡门贝	ka mun bui
卡门柏乳酪	ka mun pak yv lok
卡纳达语	ka nap dat yv
卡纳塔克邦	ka nap tap hrk boj
卡纳维拉尔角	ka nap wri lai yi gok
卡纳维尔角	ka nap wri yi gok
卡内基	ka noi gei
卡内基梅隆大学	ka noi gei mui luj dai hok
卡奴	ka nou
卡尼丁	ka nei dij
卡侬	ka nuj
卡帕	ka pak
卡盘	ka pun
卡萨诺瓦	ka sat nok ja
