一下	yi xx
摇篮曲	yc lj qu
摇身一变	yc uf yi bm
摊位游戏	tj ww yz xi
摊派	tj pd
摒弃	bk qi
摘发	vd fa
摘牌	vd pd
摘编	vd bm
摩尼	mo ni
摩托艇	mo to tk
摩挲	mo sa
摩挲	mo so
摩顶放踵	mo dk fh vs
摸门钉	mo mf dk
摸黑	mo hw
摹写	mo xp
撑竿跳	ig gj tn
撒播	sa bo
撕下	si xx
撞啱	vl nj
撞啱	vl yj
撞彩	vl cd
撞手神	vl uz uf
撞板	vl bj
撞火	vl ho
撞聋	vl ls
撞邪	vl xp
撞邪	vl ye
撤出	ie iu
撤消	ie xn
撩是斗非	ln ui dz fw
撬墙脚	qn ql jn
播客	bo ke
播种机	bo vs ji
播音员	bo yb yr
播音室	bo yb ui
撰稿	vr gc
撰稿人	vr gc rf
撰著	vr vu
撺掇	cr do
撼动	hj ds
撼天动地	hj tm ds di
擂鼓	lw gu
操作员	cc zo yr
操作系统	cc zo xi ts
操行	cc xk
擒青	qb qk
擗炮	pi bc
擗炮	pi pc
擘大口	bo da kz
擘大口	bo dd kz
擘面	bo mm
擝	mg
擦纸胶	ca vi jn
攀枝花	pj vi hx
支书	vi uu
支农	vi ns
支前	vi qm
支吾	vi wu
支委	vi ww
支委会	vi ww hv
支应	vi yk
支支整整	vi vi vg vg
支整	vi vg
支架	vi jx
支流	vi lq
支点	vi dm
支离	vi li
支线	vi xm
支边	vi bm
支部	vi bu
支队	vi dv
收买人命	uz md rf mk
收买佬	uz md lc
收兵	uz bk
收割机	uz ge ji
收发	uz fa
收场	uz ih
收复	uz fu
收审	uz uf
收尾	uz ww
收工	uz gs
收录机	uz lu ji
收支	uz vi
收档	uz dh
收汇	uz hv
收治	uz vi
收爹	uz dp
收科	uz ke
收紧	uz jb
收纳	uz na
收编	uz bm
收缴	uz jn
收藏家	uz ch jx
收集	uz ji
收音	uz yb
改任	gd rf
改型	gd xk
改天换地	gd tm hr di
改弦更张	gd xm gg vh
改称	gd ig
改编	gd bm
改选	gd xr
攻克	gs ke
攻关	gs gr
攻击机	gs ji ji
攻势	gs ui
攻坚	gs jm
攻坚战	gs jm vj
攻城掠地	gs ig lt de
攻城掠地	gs ig lt di
攻苦食淡	gs ku si dj
攻苦食淡	gs ku ui dj
攻苦食淡	gs ku yi dj
攻陷	gs xm
放声气	fh ug qi
放大器	fh da qi
放大镜	fh da jk
放射性	fh ue xk
放射线	fh ue xm
放数	fh uu
放映机	fh yk ji
放晴	fh qk
放火	fh ho
放牛娃	fh nq wa
放疗	fh ln
放眼	fh yj
放眼世界	fh yj ui jp
放空	fh ks
放缓	fh hr
放置	fh vi
放胆	fh dj
放风	fh fg
放飞机	fh fw ji
政事	vg ui
政企	vg qi
政企不分	vg qi bu ff
政体	vg ti
政党	vg dh
政出多门	vg iu do mf
政务	vg wu
政区	vg qu
政局	vg ju
政府军	vg fu jy
政敌	vg di
政权	vg qr
政治家	vg vi jx
政治局	vg vi ju
政治犯	vg vi fj
政治课	vg vi ke
政治部	vg vi bu
政法	vg fa
政界	vg jp
政纪	vg ji
政绩	vg ji
政要	vg yc
政见	vg jm
政论	vg ly
政通人和	vg ts rf he
故事片	gu ui pm
故人	gu rf
故剑情深	gu jm qk uf
故园	gu yr
故旧不弃	gu jq bu qi
故道	gu dc
故都	gu du
故里	gu li
效仿	xn fh
效忠	xn vs
敌伪	di ww
敌占区	di vj qu
敌国	di go
敌意	di yi
敌我矛盾	di wo mc dy
敌方	di fh
敌机	di ji
敌视	di ui
救世主	jq ui vu
救亡	jq wh
救困扶危	jq ky fu ww
救急	jq ji
救护车	jq hu ie
救护队	jq hu dv
救活	jq ho
救济粮	jq ji ll
救济金	jq ji jb
救生圈	jq ug qr
救生艇	jq ug tk
救生衣	jq ug yi
教主	jn vu
教义	jn yi
教书匠	jn uu jl
教具	jn ju
教头	jn tz
教委	jn ww
教学法	jn xt fa
教学片	jn xt pm
教学相长	jn xt xl vh
教室	jn ui
教导员	jn dc yr
教工	jn gs
教廷	jn tk
教条主义	jn tn vu yi
教法	jn fa
教父	jn fu
教益	jn yi
教研	jn yj
教研室	jn yj ui
教科书	jn ke uu
教科文	jn ke wf
教练员	jn lm yr
教练机	jn lm ji
教职员工	jn vi yr gs
教职工	jn vi gs
教育学	jn yu xt
教育家	jn yu jx
教育局	jn yu ju
教育部	jn yu bu
教诲	jn hv
教鞭	jn bm
教龄	jn lk
敞亮	ih ll
敢死队	gj si dv
散仔	sj zd
散仔	sj zi
散失	sj ui
散居	sj ju
散收收	sj uz uz
散文家	sj wf jx
散文诗	sj wf ui
散档	sj dh
散纸	sj vi
散记	sj ji
敦实	dy ui
敬献	jk xm
敬畏	jk ww
敬礼	jk li
敬老慈幼	jk lc ci yz
敬老院	jk lc yr
敬重	jk vs
数万	uu wj
数亿	uu yi
数以百计	uu yi bd ji
数位	uu ww
数十	uu ui
数千	uu qm
数周	uu vz
数学家	uu xt jx
数学课	uu xt ke
数家	uu jx
数尾	uu ww
数据库	uu ju ku
数数	uu uu
数次	uu ci
数理化	uu li hx
数量级	uu ll ji
敲诈勒索	qn va le so
敲门砖	qn mf vr
整党	vg dh
整古做怪	vg gu zo gk
整地	vg di
整整吓	vg vg he
整整吓	vg vg xx
整整齐齐	vg vg qi qi
整机	vg ji
整治	vg vi
整流	vg lq
整编	vg bm
整色水	vg se uv
整色水	vg ud uv
整风	vg fg
整齐划一	vg qi hx yi
敷料	fu ln
敷设	fu ue
文不加点	wf bu jx dm
文丛字顺	wf cs zi uy
文传	wf ir
文体	wf ti
文具盒	wf ju he
文化人	wf hx rf
文化宫	wf hx gs
文化界	wf hx jp
文化部	wf hx bu
文化馆	wf hx gr
文史	wf ui
文告	wf gc
文娱	wf yu
文学界	wf xt jp
文山会海	wf uj hv hd
文工团	wf gs tr
文戏	wf xi
文教	wf jn
文教局	wf jn ju
文明礼貌	wf mk li mc
文武	wf wu
文法	wf fa
文理	wf li
文联	wf lm
文艺界	wf yi jp
文苑	wf yr
文豪	wf hc
斋啡	vd fw
斐然	fw rj
斑痕	bj hf
斑白	bj bd
斗士	dz ui
斗室	dz ui
斗拱	dz gs
斗智	dz vi
斗木	dz mu
斗车	dz ie
料峭	ln qn
斜坡	xp po
斜风细雨未雨绸缪	xp fg xi yu ww yu iz mn
斜风细雨未雨绸缪	xp fg xi yu ww yu iz mq
斜风细雨未雨绸缪	xp fg xi yu ww yu iz mz
斥资	ii zi
斧子	fu zi
斩下眼	vj xx yj
斩六将	vj lq jl
斩到一颈血	vj dc yi gg xp
斩到一颈血	vj dc yi gg xt
斩到一颈血	vj dc yi jk xp
斩到一颈血	vj dc yi jk xt
斩料	vj ln
斩眉斩眼	vj mw vj yj
斩眼	vj yj
斩缆	vj lj
斩脚趾避沙虫	vj jn vi bi ua is
断代史	dr dd ui
断估	dr gu
断头	dr tz
断尾	dr ww
断炊	dr iv
断线	dr xm
断肢	dr vi
断语	dr yu
断路	dr lu
斯坦利	si tj li
斯大林	si da lb
斯文淡定	si wf dj dk
新事	xb ui
新人	xb rf
新人新事	xb rf xb ui
新任	xb rf
新兴	xb xk
新兵	xb bk
新军	xb jy
新净	xb jk
新办	xb bj
新华书店	xb hx uu dm
新华社	xb hx ue
新县	xb xm
新四军	xb si jy
新址	xb vi
新城	xb ig
新奇士	xb ji ui
新奇士	xb qi ui
新娘子	xb nl zi
新式	xb ui
新意	xb yi
新成	xb ig
新教	xb jn
新星	xb xk
新村	xb cy
新法	xb fa
新生	xb ug
新生事物	xb ug ui wu
新纪元	xb ji yr
新老交替	xb lc jn ti
新苗	xb mn
新蓝	xb lj
新西兰	xb xi lj
新诗	xb ui
新近	xb jb
新进	xb jb
新郎	xb lh
新郎哥	xb lh ge
新闻界	xb wf jp
新闻稿	xb wf gc
新风	xb fg
新鲜事	xb xm ui
新鲜滚热辣	xb xm gy re la
方便之门	fh bm vi mf
方便面	fh bm mm
方城	fh ig
方子	fh zi
方家	fh jx
方形	fh xk
方方正正	fh fh vg vg
方方面面	fh fh mm mm
方法论	fh fa ly
方程式	fh ig ui
方面军	fh mm jy
施乐	ui le
施乐	ui yt
施压	ui ya
施放	ui fh
施政	ui vg
施施然	ui ui rj
施用	ui ys
施肥	ui fw
施行	ui xk
旁观者	ph gr ve
旅伴	lv bj
旅游团	lv yz tr
旅游地	lv yz di
旅游者	lv yz ve
旅游鞋	lv yz xp
旅行社	lv xk ue
旋即	xr ji
旋涡	xr wo
旌旗	jk qi
族长	zu vh
旗下	qi xx
旗子	qi zi
旗帜	qi vi
旗帜鲜明	qi vi xm mk
旗手	qi uz
旗杆	qi gj
旗舰	qi jm
无不	wu bu
无为	wu ww
无价之宝	wu jx vi bc
无党派	wu dh pd
无则加勉	wu ze jx mm
无力	wu li
无可比拟	wu ke bi ni
无可非议	wu ke fw yi
无宁	wu nk
无尽	wu jb
无序	wu xu
无庸讳言	wu ys hv yj
无异	wu yi
无忌	mo ji
无忌	wu ji
无意	wu yi
无所不知	wu so bu vi
无政府	wu vg fu
无故	wu gu
无暇	wu xx
无期	wu qi
无机	wu ji
无比	wu bi
无济于事	wu ji yu ui
无烟	wu yj
无烟煤	wu yj mw
无畏	wu ww
无的放矢	wu di fh ui
无益	wu yi
无知	wu vi
无礼	wu li
无神论	wu uf ly
无私无畏	wu si wu ww
无端白事	mo dr bd ui
无端白事	wu dr bd ui
无端端	mo dr dr
无端端	wu dr dr
无线	wu xm
无线电波	wu xm dm bo
无色	wu se
无花果	wu hx go
无视	wu ui
无记名	wu ji mk
无际	wu ji
无须	wu xu
既便	ji bm
既便	ji pm
既往	ji wh
既是	ji ui
既有	ji yz
既能	ji ng
日光灯	ri gl dg
日全食	ri qr ui
日出而作	ri iu er zo
日复一日	ri fu yi ri
日影西斜	ri yk xi xp
日暮途穷	ri mu tu qs
日甚一日	ri uf yi ri
日程表	ri ig bn
日立	ri li
日营	ri yk
日落西山	ri lo xi uj
日间	ri jm
日食	ri ui
日高三尺	ri gc sj ii
旧习	jq xi
旧事	jq ui
旧体诗	jq ti ui
旧址	jq vi
旧宅	jq vd
旧式	jq ui
旧时	jq ui
旧物	jq wu
旧病复发	jq bk fu fa
旧调重弹	jq dn is tj
旧货	jq ho
旧阵时	jq vf ui
旨意	vi yi
早唞	zc dz
早唞	zc tc
早市	zc ui
早排	zc pd
早泄	zc xp
早稻	zc dc
早走早着	zc zz zc vc
早走早着	zc zz zc ve
早走早着	zc zz zc vo
旭日东升	xu ri ds ug
旯旮	la ga
旱冰	hj bk
旱情	hj qk
旱烟	hj yj
旱田	hj tm
旱船	hj ir
旱象	hj xl
旱路	hj lu
时不再来	ui bu zd ld
时不时	ui bu ui
时事	ui ui
时代华纳	ui dd hx na
时令	ui lk
时值	ui vi
时兴	ui xk
时分	ui ff
时势	ui ui
时宜	ui yi
时局	ui ju
时差	ui ia
时常	ui ih
时序	ui xu
时弊	ui bi
时政	ui vg
时效	ui xn
时新	ui xb
时时	ui ui
时机	ui ji
时紧时松	ui jb ui ss
时节	ui jp
时评	ui pk
时运	ui yy
时钟	ui vs
时间差	ui jm ia
时限	ui xm
时隔	ui ge
时鲜	ui xm
旷野	kl ye
旺季	wh ji
昂居	ah ju
昂然	ag rj
昆仑山	ky ly uj
昆剧	ky ju
昆山	ky uj
昆山片玉	ky uj pm yu
昆明市	ky mk ui
昌平	ih pk
昌盛	ih ug
明丽	mk li
明代	mk dd
明令	mk lk
明净	mk jk
明基	mk ji
明德惟馨	mk de ww xb
明斯克	mk si ke
明晃晃	mk hl hl
明晰	mk xi
明理	mk li
明码	mk ma
昒昕	hu xb
易事	yi ui
易于	yi yu
易得	yi de
易得	yi dw
易经	yi jk
易趣	yi qu
易过借火	yi go jp ho
星云	xk yy
星体	xk ti
星夜	xk ye
星星点灯	xk xk dm dg
星星点点	xk xk dm dm
星期一	xk qi yi
星期三	xk qi sj
星期五	xk qi wu
星期六	xk qi lq
星期四	xk qi si
星期日	xk qi ri
星移斗转	xk yi dz vr
星级	xk ji
星罗棋布	xk lo qi bu
星际	xk ji
映像	yk xl
映射	yk ue
映月读书	yk yt du uu
映月读书	yk yt dz uu
映照	yk vc
映雪读书	yk xt du uu
映雪读书	yk xt dz uu
春华秋实	iy hx qq ui
春回大地	iy hv da de
春回大地	iy hv da di
春回大地	iy hv dd de
春回大地	iy hv dd di
春意正浓	iy yi vg ns
春晚	iy wj
春灌	iy gr
春色满圆	iy se mj yr
春色满圆	iy ud mj yr
春花秋月	iy hx qq yt
春蚓秋蛇	iy yb qq ue
春雷滚滚	iy lw gy gy
春风化雨	iy fg hx yu
昧心	mw xb
昨日黄花	zo ri hl hx
昭然	vc rj
昭示	vc ui
昭阳	vc yh
是以	ui yi
是的	ui de
昳丽	dp li
昳丽	yi li
显出	xm iu
显微	xm ww
显灵	xm lk
显眼	xm yj
显示屏	xm ui pk
显要	xm yc
显露	xm lu
晋升	jb ug
晋城	jb ig
晋江	jb jl
晋级	jb ji
晌午	uh wu
晏衍	yj yj
晏觉	yj jn
晏觉	yj jt
晒命	ud mk
晒士	ud ui
晕酡酡	yy to to
晚些	wj xp
晚婚	wj hy
晚稻	wj dc
晚节	wj jp
晚辈	wj bw
晚黑	wj hw
晦涩	hv se
晨光绚丽	if gl xr li
晨星	if xk
晨雾弥漫	if wu mi mj
普京	pu jk
普及本	pu ji bf
普及率	pu ji lv
普快	pu kk
普金	pu jb
普鲁士	pu lu ui
景仰	jk yh
景况	jk kl
景气	jk qi
景泰蓝	jk td lj
景点	jk dm
景致	jk vi
景轰	jk hs
景颇族	jk po zu
晴空	qk ks
晶体	jk ti
晶圆	jk yr
晶片	jk pm
晶莹	jk yk
智利	vi li
智力	vi li
智取	vi qu
智育	vi yu
暂住	zj vu
暑气	uu qi
暑热	uu re
暖气片	nr qi pm
暖粒粒	nr li li
暖融融	nr rs rs
暗室不欺	an ui bu qi
暴利	bc li
暴发	bc fa
暴发户	bc fa hu
暴政	bc vg
暴涨	bc vh
暴雨如注	bc yu ru vu
暴风雨	bc fg yu
暴风雪	bc fg xt
暴风骤雨	bc fg vz yu
曚昽	mg ls
曲棍球	qu gy qq
曲调	qu dn
曲轴	qu vz
曲阜	qu fu
曲靖	qu qk
更生	gg ug
更衣室	gg yi ui
更难	gg nj
曹雪芹	cc xt qb
最不安的饭局	zv bu an de fj ju
最不安的饭局	zv bu an di fj ju
最不花钱的白吃	zv bu hx qm de bd ii
最不花钱的白吃	zv bu hx qm di bd ii
最安静的地方	zv an jk de de fh
最安静的地方	zv an jk de di fh
最安静的地方	zv an jk di de fh
最安静的地方	zv an jk di di fh
最宝贵的话	zv bc gv de hx
最宝贵的话	zv bc gv di hx
最悲惨的世界	zv bw cj de ui jp
最悲惨的世界	zv bw cj di ui jp
最惠国	zv hv go
最爱面子的人	zv ai mm zi de rf
最爱面子的人	zv ai mm zi di rf
最肮脏的财产	zv ah zh de cd ij
最肮脏的财产	zv ah zh di cd ij
月中	yt vs
月全食	yt qr ui
月历	yt li
月夜	yt ye
月宫	yt gs
月明星稀	yt mk xk xi
有为	yz ww
有事	yz ui
有交易	yz jn yi
有余	yz yu
有几何	yz ji he
有分数	yz ff uu
有则改之无则加勉	yz ze gd vi mo ze jx mm
有则改之无则加勉	yz ze gd vi wu ze jx mm
有利于	yz li yu
有力	yz li
有咗	yz zo
有型有款	yz xk yz kr
有增无减	yz zg wu jm
有声气	yz ug qi
有头无尾	yz tz wu ww
有如	yz ru
有始无终	yz ui wu vs
有幸	yz xk
有底	yz di
有形	yz xk
有心人	yz xb rf
有志者事竟成	yz vi ve ui jk ig
有悖于	yz bw yu
有情	yz qk
有意	yz yi
有意无意	yz yi wu yi
有成	yz ig
有所不同	yz so bu ts
有所作为	yz so zo ww
有方	yz fh
有时	yz ui
有时候	yz ui hz
有期	yz qi
有机	yz ji
有机体	yz ji ti
有机物	yz ji wu
有板有眼	yz bj yz yj
有毛有翼	yz mc yz yi
有源	yz yr
有点	yz dm
有理	yz li
有理冇理	yz li mc li
有理有据	yz li yz ju
有生力量	yz ug li ll
有用	yz ys
有益	yz yi
有着数	yz vc uu
有着数	yz ve uu
有着数	yz vo uu
有神论	yz uf ly
有章可循	yz vh ke xy
有线	yz xm
有线电	yz xm dm
有罪	yz zv
有胆有识	yz dj yz ui
有误	yz wu
有说有笑	yz uo yz xn
有赖于	yz ld yu
有路数	yz lu uu
有轨	yz gv
有鉴于此	yz jm yu ci
有限	yz xm
服侍	fu ui
服刑	fu xk
服务业	fu wu ye
服务员	fu wu yr
服务器	fu wu qi
服待	fu dd
服毒	fu du
服气	fu qi
服膺	fu yk
服输	fu uu
朗讯	lh xy
望天打卦	wh tm da gx
望望	wh wh
望洋	wh yh
朝乾夕惕	vc qm xi ti
朝圣	ic ug
朝头早	ic tz zc
朝头早	vc tz zc
朝政	ic vg
朝晖	vc hv
朝鲜族	ic xm zu
期中	qi vs
期满	qi mj
木乃伊	mu nd yi
木兰	mu lj
木口木面	mu kz mu mm
木嘴	mu zv
木头车	mu tz ie
木头车	mu tz ju
木床	mu il
木版	mu bj
木独	mu du
木质	mu vi
木鱼	mu yu
未了	ww ln
未决	ww jt
未完	ww wj
未成	ww ig
未有耐	ww yz nd
未知	ww vi
未经	ww jk
未遭	ww zc
末期	mo qi
末班车	mo bj ie
本世纪	bf ui ji
本义	bf yi
本体	bf ti
本原	bf yr
本县	bf xm
本地姜唔辣	bf de jl wu la
本地姜唔辣	bf di jl wu la
本市	bf ui
本本	bf bf
本来面目	bf ld mm mu
本源	bf yr
本溪	bf xi
本相	bf xl
本科生	bf ke ug
本职	bf vi
术语	uu yu
朱德	vu de
朱熹	vu xi
机井	ji jk
机位	ji ww
机体	ji ti
机关报	ji gr bc
机关枪	ji gr ql
机具	ji ju
机务	ji wu
机动	ji ds
机动性	ji ds xk
机动车	ji ds ie
机器人	ji qi rf
机型	ji xk
机头	ji tz
机心	ji xb
机时	ji ui
机智	ji vi
机枪	ji ql
机械化	ji xp hx
机械厂	ji xp ih
机械手	ji xp uz
机油	ji yz
机理	ji li
机电	ji dm
机种	ji vs
机箱	ji xl
机群	ji qy
机翼	ji yi
机耕	ji gg
机能	ji ng
机要	ji yc
机警	ji jk
机身	ji uf
机车	ji ie
机载	ji zd
机长	ji ih
机长	ji vh
机顶盒	ji dk he
杀人犯	ua rf fj
杀伤力	ua uh li
杀手锏	ua uz jm
杀敌致果	ua di vi go
杀机	ua ji
杀猪宰羊	ua vu zd yh
杂剧	za ju
杂草丛生	za cc cs ug
杂记	za ji
杂货店	za ho dm
权位	qr ww
权力	qr li
权威性	qr ww xk
杆子	gj zi
杆菌	gj jy
李先念	li xm nm
李商隐	li uh yb
李嘉诚	li jx ig
李四光	li si gl
李大钊	li da vc
李子	li zi
李宁	li nk
李敖	li ao
李时珍	li ui vf
李清照	li qk vc
李白	li bd
李逵	li kv
李鹏	li pg
杏仁	xk rf
村头	cy tz
杜志民	du vi mb
杜若	du ro
束缚	uu fu
束身自好	uu uf zi hc
杠铃	gh lk
条型码	tn xk ma
条条框框	tn tn kl kl
条气唔顺	tn qi wu uy
条理	tn li
条纹	tn wf
来京	ld jk
来势	ld ui
来势汹汹	ld ui xs xs
来意	ld yi
来来往往	ld ld wh wh
来源于	ld yr yu
来袭	ld xi
来讲	ld jl
来踪去迹	ld zs qu ji
杨树	yh uu
杭州市	hh vz ui
杯子	bw zi
杰出	jp iu
松人	ss rf
松劲	ss jb
松化	ss hx
松骨	ss gu
松鼠	ss uu
板书	bj uu
板块	bj kk
板子	bj zi
板报	bj bc
板斧	bj fu
板胡	bj hu
板蓝根	bj lj gf
板车	bj ie
板载	bj zd
极乐	ji le
极光	ji gl
极其	ji qi
极具	ji ju
极刑	ji xk
极力	ji li
极化	ji hx
极地	ji di
极好	ji hc
极度	ji du
极易	ji yi
构件	gz jm
枉法	wh fa
枉费	wh fw
枕住	vf vu
枕戈待旦	vf ge dd dj
枕木	vf mu
林产	lb ij
林区	lb qu
林带	lb dd
林檎	lb qb
林海	lb hd
林海雪原	lb hd xt yr
林荫道	lb yb dc
果农	go ns
果占	go vj
果园飘香	go yr pn xl
果实累累	go ui lw lw
果实饱满	go ui bc mj
果木	go mu
果栏	go lj
果酒	go jq
枝叶	vi ye
枝头	vi tz
枝干	vi gj
枝杈	vi ia
枝条	vi tn
枝节	vi jp
枣树	zc uu
枧液	jm ye
枧粉	jm ff
枨鸡	ig ji
枪声	ql ug
枪弹	ql dj
枪战	ql vj
枪支	ql vi
枪杆子	ql gj zi
枯水	ku uv
架世	jx ui
架势	jx ui
架次	jx ci
架设	jx ue
枸橘	gz ju
枸橼	gz yr
枸橼	ju yr
柏树	bd uu
柏油	bd yz
染料	rj ln
柔媚	rz mw
柠檬酸	nk mg sr
查勘	ia kj
查号台	ia hc td
查哨	ia uc
查对	ia dv
查禁	ia jb
查访	ia fh
柬埔寨	jm bu vd
柬埔寨	jm pu vd
柱子	vu zi
柱石	vu ui
柳传志	lq ir vi
柳传志	lq vr vi
柳体	lq ti
柴可夫	id ke fu
柴台	id td
柴哇哇	id wa wa
柴油机	id yz ji
柿子	ui zi
标准件	bn vy jm
标准化	bn vy hx
标准普尔	bn vy pu er
标参	bn cj
标参	bn uf
标号	bn hc
标明	bn mk
标牌	bn pd
标示	bn ui
标青	bn qk
栈道	vj dc
栉风沐雨	vi fg mu yu
栋梁之才	ds ll vi cd
栏河	lj he
树大根深	uu da gf uf
树枝	uu vi
树桩	uu vl
树种	uu vs
树脂	uu vi
树身	uu uf
栖息	qi xi
栖栖	qi qi
栖栖	qi xi
栖栖	xi qi
栖栖	xi xi
栖身	qi uf
栖迟	qi ii
栖迟	xi ii
栝楼	gx lz
栝楼	ko lz
栝楼	tm lz
校务	xn wu
校区	jn ou
校区	jn qu
校区	xn ou
校区	xn qu
校址	xn vi
校官	xn gr
校徽	xn hv
校方	xn fh
校样	jn yh
校正	jn vg
校规	xn gv
栲栳	kc lc
样书	yh uu
样机	yh ji
核减	he jm
核动力	he ds li
核反应	he fj yk
核反应堆	he fj yk dv
核威胁	he ww xp
核子	he zi
核实	he ui
核弹头	he dj tz
核战争	he vj vg
核潜艇	he qm tk
核燃料	he rj ln
核物理	he wu li
核电	he dm
核电站	he dm vj
核糖	he th
核试验	he ui yj
核酸	he sr
根据地	gf ju di
根本性	gf bf xk
格子	ge zi
格律	ge lv
格格	ge ge
格陵兰	ge lk lj
格鲁吉亚	ge lu ji ya
栽植	zd vi
栽种	zd vs
桂花	gv hx
桃李	tc li
桄榔	gl lh
桑梓	sh zi
桑榆暮景	sh yu mu jk
桔子	ju zi
桔槔	jp gc
桔槔	ju gc
桔红色	jp hs se
桔红色	jp hs ud
桔红色	ju hs se
桔红色	ju hs ud
桥头堡	qn tz bc
桥涵	qn hj
桥溜	qn lq
桥身	qn uf
桫椤	so lo
梅花	mw hx
梅花鹿	mw hx lu
梅菜	mw cd
梅雨	mw yu
梆子	bh zi
梗房	gg fh
梗阻	gg zu
梦乡	mg xl
梦秋	mg qq
梨子	li zi
梨树	li uu
梯形	ti xk
梯次	ti ci
梯级	ti ji
梳子	uu zi
梳芙	uu fu
梵蒂冈	fj di gh
梼昧	dc mw
梼昧	iz mw
梼昧	tc mw
梼杌	dc wu
梼杌	iz wu
梼杌	tc wu
检举	jm ju
检字法	jm zi fa
检察	jm ia
检察员	jm ia yr
检察官	jm ia gr
检察长	jm ia vh
检察院	jm ia yr
检疫	jm yi
检阅	jm yt
棉农	mm ns
棉布	mm bu
棉田	mm tm
棉纱	mm ua
棉衣	mm yi
棉衲	mm na
棋友	qi yz
棋圣	qi ug
棋坛	qi tj
棋子	qi zi
棋盘	qi pj
棋类	qi lw
棋艺	qi yi
棋迷	qi mi
棹忌	vc ji
棹忌	vo ji
棺木	gr mu
植保	vi bc
植树	vi uu
植树造林	vi uu zc lb
植株	vi vu
植物园	vi wu yr
植物学	vi wu xt
植物油	vi wu yz
椎间盘	vv jm pj
椰丝	ye si
椰子	ye zi
椰菜花	ye cd hx
楔子	xp zi
楠木	nj mu
楹联	yk lm
楼堂馆所	lz th gr so
楼宇	lz yu
楼板	lz bj
概莫能外	gd mo ng wd
概貌	gd mc
榆林	yu lb
榆树	yu uu
榜首	bh uz
榴弹炮	lq dj pc
樗蒲	iu pu
模拟器	mo ni qi
模棱	mo lg
模模糊糊	mo mo hu hu
横丫肠	hg ya ih
横梁	hg ll
横眉立目	hg mw li mu
横行	hg xk
横街窄巷	hg jp vd hh
横街窄巷	hg jp vd xl
樽枳	zy vi
橄榄绿	gj lj lv
橘子	ju zi
橙子	ig zi
橡皮艇	xl pi tk
檐蛇	yj ue
欠薪	qm xb
欠账	qm vh
次之	ci vi
次品	ci pb
次大陆	ci da lu
次子	ci zi
次次	ci ci
次第	ci di
次长	ci ih
次长	ci vh
欢声雷动	hr ug lw ds
欢宴	hr yj
欢欢喜喜	hr hr xi xi
欢欣	hr xb
欢歌笑语	hr ge xn yu
欢蹦乱跳	hr bg lr tn
欢迎会	hr yk hv
欣喜	xb xi
欣悉	xb xi
欧阳询	ou yh xy
欸乃	ai nd
欸乃	ei nd
欸乃	vd nd
欺压	qi ya
款子	kr zi
款待	kr dd
歇业	xp ye
歇暑	xp uu
歇歇	xp xp
歇脚	xp jn
歉意	qm yi
歉收	qm uz
歉疚	qm jq
歌剧	ge ju
歌剧院	ge ju yr
歌星	ge xk
歌舞剧	ge wu ju
歌舞团	ge wu tr
止境	vi jk
止痛	vi ts
正中	vg vs
正义	vg yi
正义凛然	vg yi lb rj
正事	vg ui
正值	vg vi
正剧	vg ju
正副	vg fu
正史	vg ui
正名	vg mk
正告	vg gc
正嘢	vg ye
正大	vg da
正常值	vg ih vi
正当防卫	vg dh fh ww
正房	vg fh
正教	vg jn
正方形	vg fh xk
正是	vg ui
正气	vg qi
正气凛然	vg qi lb rj
正法	vg fa
正点	vg dm
正电子	vg dm zi
正确性	vg qt xk
正职	vg vi
正规军	vg gv jy
正规化	vg gv hx
正视	vg ui
正解	vg jp
正解	vg xp
正误	vg wu
正负	vg fu
正路	vg lu
正身	vg uf
正轨	vg gv
此事	ci ui
此地无银	ci de mo yb
此地无银	ci de wu yb
此地无银	ci di mo yb
此地无银	ci di wu yb
此致	ci vi
此行	ci xk
此言	ci yj
此项	ci xl
步入	bu ru
步步	bu bu
步步登高	bu bu dg gc
步行	bu xk
步调一致	bu dn yi vi
步长	bu ih
武力	wu li
武士	wu ui
武威	wu ww
武官	wu gr
武将	wu jl
武戏	wu xi
武断	wu dr
武昌	wu ih
武术	wu uu
武汉市	wu hj ui
武生	wu ug
武艺	wu yi
武装部	wu vl bu
歧义	qi yi
歧视	qi ui
歧途	qi tu
歪理	wd li
死亡线	si wh xm
死人	si rf
死估估	si gu gu
死地	si di
死死下	si si xx
死死气	si si qi
死气喉	si qi hz
死牛一便颈	si nq yi bm gg
死牛一便颈	si nq yi bm jk
死牛一便颈	si nq yi pm gg
死牛一便颈	si nq yi pm jk
死硬	si yk
死蛇烂蟮	si ue lj uj
死蛇烂鳝	si ue lj uj
死蠢	si iy
死记	si ji
死鸡撑饭盖	si ji ig fj gd
歼击	jm ji
歼击机	jm ji ji
歼敌	jm di
歼灭战	jm mp vj
残余	cj yu
残垣断壁	cj yr dr bi
残害	cj hd
残局	cj ju
残疾人	cj ji rf
残联	cj lm
残部	cj bu
残酷无情	cj ku wu qk
残阳	cj yh
残阳如血	cj yh ru xp
残阳如血	cj yh ru xt
殖民地	vi mb di
殡仪馆	bb yi gr
殷墟	yb xu
殷实	yb ui
殷殷	yb yb
毁弃	hv qi
毁灭性	hv mp xk
毅然	yi rj
毋宁	wu nk
毋庸	wu ys
母带	mu dd
母本	mu bf
母语	mu yu
每位	mw ww
每台	mw td
