一下	yixx
摇篮曲	ylqu
摇身一变	yuyb
摊位游戏	twyx
摊派	tjpd
摒弃	bkqi
摘发	vdfa
摘牌	vdpd
摘编	vdbm
摩尼	moni
摩托艇	mttk
摩挲	mosa
摩挲	moso
摩顶放踵	mdfv
摸门钉	mmdk
摸黑	mohw
摹写	moxp
撑竿跳	igtn
撒播	sabo
撕下	sixx
撞啱	vlnj
撞啱	vlyj
撞彩	vlcd
撞手神	vuuf
撞板	vlbj
撞火	vlho
撞聋	vlls
撞邪	vlxp
撞邪	vlye
撤出	ieiu
撤消	iexn
撩是斗非	ludf
撬墙脚	qqjn
播客	boke
播种机	bvji
播音员	byyr
播音室	byui
撰稿	vrgc
撰稿人	vgrf
撰著	vrvu
撺掇	crdo
撼动	hjds
撼天动地	htdd
擂鼓	lwgu
操作员	czyr
操作系统	czxt
操行	ccxk
擒青	qbqk
擗炮	pibc
擗炮	pipc
擘大口	bdkz
擘面	bomm
擦纸胶	cvjn
攀枝花	pvhx
支书	viuu
支农	vins
支前	viqm
支吾	viwu
支委	viww
支委会	vwhv
支应	viyk
支支整整	vvvv
支整	vivg
支架	vijx
支流	vilq
支点	vidm
支离	vili
支线	vixm
支边	vibm
支部	vibu
支队	vidv
收买人命	umrm
收买佬	umlc
收兵	uzbk
收割机	ugji
收发	uzfa
收场	uzih
收复	uzfu
收审	uzuf
收尾	uzww
收工	uzgs
收录机	ulji
收支	uzvi
收档	uzdh
收汇	uzhv
收治	uzvi
收爹	uzdp
收科	uzke
收紧	uzjb
收纳	uzna
收编	uzbm
收缴	uzjn
收藏家	ucjx
收集	uzji
收音	uzyb
改任	gdrf
改型	gdxk
改天换地	gthd
改弦更张	gxgv
改称	gdig
改编	gdbm
改选	gdxr
攻克	gske
攻关	gsgr
攻击机	gjji
攻势	gsui
攻坚	gsjm
攻坚战	gjvj
攻城掠地	gild
攻苦食淡	gksd
攻苦食淡	gkud
攻苦食淡	gkyd
攻陷	gsxm
放声气	fuqi
放大器	fdqi
放大镜	fdjk
放射性	fuxk
放射线	fuxm
放数	fhuu
放映机	fyji
放晴	fhqk
放火	fhho
放牛娃	fnwa
放疗	fhln
放眼	fhyj
放眼世界	fyuj
放空	fhks
放缓	fhhr
放置	fhvi
放胆	fhdj
放风	fhfg
放飞机	ffji
政事	vgui
政企	vgqi
政企不分	vqbf
政体	vgti
政党	vgdh
政出多门	vidm
政务	vgwu
政区	vgqu
政局	vgju
政府军	vfjy
政敌	vgdi
政权	vgqr
政治家	vvjx
政治局	vvju
政治犯	vvfj
政治课	vvke
政治部	vvbu
政法	vgfa
政界	vgjp
政纪	vgji
政绩	vgji
政要	vgyc
政见	vgjm
政论	vgly
政通人和	vtrh
故事片	gupm
故人	gurf
故剑情深	gjqu
故园	guyr
故旧不弃	gjbq
故道	gudc
故都	gudu
故里	guli
效仿	xnfh
效忠	xnvs
敌伪	diww
敌占区	dvqu
敌国	digo
敌意	diyi
敌我矛盾	dwmd
敌方	difh
敌机	diji
敌视	diui
救世主	juvu
救亡	jqwh
救困扶危	jkfw
救急	jqji
救护车	jhie
救护队	jhdv
救活	jqho
救济粮	jjll
救济金	jjjb
救生圈	juqr
救生艇	jutk
救生衣	juyi
教主	jnvu
教义	jnyi
教书匠	jujl
教具	jnju
教头	jntz
教委	jnww
教学法	jxfa
教学片	jxpm
教学相长	jxxv
教室	jnui
教导员	jdyr
教工	jngs
教廷	jntk
教条主义	jtvy
教法	jnfa
教父	jnfu
教益	jnyi
教研	jnyj
教研室	jyui
教科书	jkuu
教科文	jkwf
教练员	jlyr
教练机	jlji
教职员工	jvyg
教职工	jvgs
教育学	jyxt
教育家	jyjx
教育局	jyju
教育部	jybu
教诲	jnhv
教鞭	jnbm
教龄	jnlk
敞亮	ihll
敢死队	gsdv
散仔	sjzd
散仔	sjzi
散失	sjui
散居	sjju
散收收	suuz
散文家	swjx
散文诗	swui
散档	sjdh
散纸	sjvi
散记	sjji
敦实	dyui
敬献	jkxm
敬畏	jkww
敬礼	jkli
敬老慈幼	jlcy
敬老院	jlyr
敬重	jkvs
数万	uuwj
数亿	uuyi
数以百计	uybj
数位	uuww
数十	uuui
数千	uuqm
数周	uuvz
数学家	uxjx
数学课	uxke
数家	uujx
数尾	uuww
数据库	ujku
数数	uuuu
数次	uuci
数理化	ulhx
数量级	ulji
敲诈勒索	qvls
敲门砖	qmvr
整党	vgdh
整古做怪	vgzg
整地	vgdi
整整吓	vvhe
整整吓	vvxx
整整齐齐	vvqq
整机	vgji
整治	vgvi
整流	vglq
整编	vgbm
整色水	vsuv
整色水	vuuv
整风	vgfg
整齐划一	vqhy
敷料	fuln
敷设	fuue
文不加点	wbjd
文丛字顺	wczu
文传	wfir
文体	wfti
文具盒	wjhe
文化人	whrf
文化宫	whgs
文化界	whjp
文化部	whbu
文化馆	whgr
文史	wfui
文告	wfgc
文娱	wfyu
文学界	wxjp
文山会海	wuhh
文工团	wgtr
文戏	wfxi
文教	wfjn
文教局	wjju
文明礼貌	wmlm
文武	wfwu
文法	wffa
文理	wfli
文联	wflm
文艺界	wyjp
文苑	wfyr
文豪	wfhc
斋啡	vdfw
斐然	fwrj
斑痕	bjhf
斑白	bjbd
斗士	dzui
斗室	dzui
斗拱	dzgs
斗智	dzvi
斗木	dzmu
斗车	dzie
料峭	lnqn
斜坡	xppo
斜风细雨未雨绸缪	xfxm
斥资	iizi
斧子	fuzi
斩下眼	vxyj
斩六将	vljl
斩到一颈血	vdyx
斩料	vjln
斩眉斩眼	vmvy
斩眼	vjyj
斩缆	vjlj
斩脚趾避沙虫	vjvi
断代史	ddui
断估	drgu
断头	drtz
断尾	drww
断炊	driv
断线	drxm
断肢	drvi
断语	dryu
断路	drlu
斯坦利	stli
斯大林	sdlb
斯文淡定	swdd
新事	xbui
新人	xbrf
新人新事	xrxu
新任	xbrf
新兴	xbxk
新兵	xbbk
新军	xbjy
新净	xbjk
新办	xbbj
新华书店	xhud
新华社	xhue
新县	xbxm
新四军	xsjy
新址	xbvi
新城	xbig
新奇士	xjui
新奇士	xqui
新娘子	xnzi
新式	xbui
新意	xbyi
新成	xbig
新教	xbjn
新星	xbxk
新村	xbcy
新法	xbfa
新生	xbug
新生事物	xuuw
新纪元	xjyr
新老交替	xljt
新苗	xbmn
新蓝	xblj
新西兰	xxlj
新诗	xbui
新近	xbjb
新进	xbjb
新郎	xblh
新郎哥	xlge
新闻界	xwjp
新闻稿	xwgc
新风	xbfg
新鲜事	xxui
新鲜滚热辣	xxgl
方便之门	fbvm
方便面	fbmm
方城	fhig
方子	fhzi
方家	fhjx
方形	fhxk
方方正正	ffvv
方方面面	ffmm
方法论	ffly
方程式	fiui
方面军	fmjy
施乐	uile
施乐	uiyt
施压	uiya
施放	uifh
施政	uivg
施施然	uurj
施用	uiys
施肥	uifw
施行	uixk
旁观者	pgve
旅伴	lvbj
旅游团	lytr
旅游地	lydi
旅游者	lyve
旅游鞋	lyxp
旅行社	lxue
旋即	xrji
旋涡	xrwo
旌旗	jkqi
族长	zuvh
旗下	qixx
旗子	qizi
旗帜	qivi
旗帜鲜明	qvxm
旗手	qiuz
旗杆	qigj
旗舰	qijm
无不	wubu
无为	wuww
无价之宝	wjvb
无党派	wdpd
无则加勉	wzjm
无力	wuli
无可比拟	wkbn
无可非议	wkfy
无宁	wunk
无尽	wujb
无序	wuxu
无庸讳言	wyhy
无异	wuyi
无忌	moji
无忌	wuji
无意	wuyi
无所不知	wsbv
无政府	wvfu
无故	wugu
无暇	wuxx
无期	wuqi
无机	wuji
无比	wubi
无济于事	wjyu
无烟	wuyj
无烟煤	wymw
无畏	wuww
无的放矢	wdfu
无益	wuyi
无知	wuvi
无礼	wuli
无神论	wuly
无私无畏	wsww
无端白事	mdbu
无端白事	wdbu
无端端	mddr
无端端	wddr
无线	wuxm
无线电波	wxdb
无色	wuse
无花果	whgo
无视	wuui
无记名	wjmk
无际	wuji
无须	wuxu
既便	jibm
既便	jipm
既往	jiwh
既是	jiui
既有	jiyz
既能	jing
日光灯	rgdg
日全食	rqui
日出而作	riez
日复一日	rfyr
日影西斜	ryxx
日暮途穷	rmtq
日甚一日	ruyr
日程表	ribn
日立	rili
日营	riyk
日落西山	rlxu
日间	rijm
日食	riui
日高三尺	rgsi
旧习	jqxi
旧事	jqui
旧体诗	jtui
旧址	jqvi
旧宅	jqvd
旧式	jqui
旧时	jqui
旧物	jqwu
旧病复发	jbff
旧调重弹	jdit
旧货	jqho
旧阵时	jvui
旨意	viyi
早唞	zcdz
早唞	zctc
早市	zcui
早排	zcpd
早泄	zcxp
早稻	zcdc
早走早着	zzzv
旭日东升	xrdu
旯旮	laga
旱冰	hjbk
旱情	hjqk
旱烟	hjyj
旱田	hjtm
旱船	hjir
旱象	hjxl
旱路	hjlu
时不再来	ubzl
时不时	ubui
时事	uiui
时代华纳	udhn
时令	uilk
时值	uivi
时兴	uixk
时分	uiff
时势	uiui
时宜	uiyi
时局	uiju
时差	uiia
时常	uiih
时序	uixu
时弊	uibi
时政	uivg
时效	uixn
时新	uixb
时时	uiui
时机	uiji
时紧时松	ujus
时节	uijp
时评	uipk
时运	uiyy
时钟	uivs
时间差	ujia
时限	uixm
时隔	uige
时鲜	uixm
旷野	klye
旺季	whji
昂居	ahju
昂然	agrj
昆仑山	kluj
昆剧	kyju
昆山	kyuj
昆山片玉	kupy
昆明市	kmui
昌平	ihpk
昌盛	ihug
明丽	mkli
明代	mkdd
明令	mklk
明净	mkjk
明基	mkji
明德惟馨	mdwx
明斯克	mske
明晃晃	mhhl
明晰	mkxi
明理	mkli
明码	mkma
昒昕	huxb
易事	yiui
易于	yiyu
易得	yide
易得	yidw
易经	yijk
易趣	yiqu
易过借火	ygjh
星云	xkyy
星体	xkti
星夜	xkye
星星点灯	xxdd
星星点点	xxdd
星期一	xqyi
星期三	xqsj
星期五	xqwu
星期六	xqlq
星期四	xqsi
星期日	xqri
星移斗转	xydv
星级	xkji
星罗棋布	xlqb
星际	xkji
映像	ykxl
映射	ykue
映月读书	yydu
映照	ykvc
映雪读书	yxdu
春华秋实	ihqu
春回大地	ihdd
春意正浓	iyvn
春晚	iywj
春灌	iygr
春色满圆	ismy
春色满圆	iumy
春花秋月	ihqy
春蚓秋蛇	iyqu
春雷滚滚	ilgg
春风化雨	ifhy
昧心	mwxb
昨日黄花	zrhh
昭然	vcrj
昭示	vcui
昭阳	vcyh
是以	uiyi
是的	uide
昳丽	dpli
昳丽	yili
显出	xmiu
显微	xmww
显灵	xmlk
显眼	xmyj
显示屏	xupk
显要	xmyc
显露	xmlu
晋升	jbug
晋城	jbig
晋江	jbjl
晋级	jbji
晌午	uhwu
晏衍	yjyj
晏觉	yjjn
晏觉	yjjt
晒命	udmk
晒士	udui
晕酡酡	ytto
晚些	wjxp
晚婚	wjhy
晚稻	wjdc
晚节	wjjp
晚辈	wjbw
晚黑	wjhw
晦涩	hvse
晨光绚丽	igxl
晨星	ifxk
晨雾弥漫	iwmm
普京	pujk
普及本	pjbf
普及率	pjlv
普快	pukk
普金	pujb
普鲁士	plui
景仰	jkyh
景况	jkkl
景气	jkqi
景泰蓝	jtlj
景点	jkdm
景致	jkvi
景轰	jkhs
景颇族	jpzu
晴空	qkks
晶体	jkti
晶圆	jkyr
晶片	jkpm
晶莹	jkyk
智利	vili
智力	vili
智取	viqu
智育	viyu
暂住	zjvu
暑气	uuqi
暑热	uure
暖气片	nqpm
暖粒粒	nlli
暖融融	nrrs
暗室不欺	aubq
暴利	bcli
暴发	bcfa
暴发户	bfhu
暴政	bcvg
暴涨	bcvh
暴雨如注	byrv
暴风雨	bfyu
暴风雪	bfxt
暴风骤雨	bfvy
曚昽	mgls
曲棍球	qgqq
曲调	qudn
曲轴	quvz
曲阜	qufu
曲靖	quqk
更生	ggug
更衣室	gyui
更难	ggnj
曹雪芹	cxqb
最不安的饭局	zbaj
最不花钱的白吃	zbhi
最安静的地方	zajf
最宝贵的话	zbgh
最悲惨的世界	zbcj
最惠国	zhgo
最爱面子的人	zamr
最肮脏的财产	zazi
月中	ytvs
月全食	yqui
月历	ytli
月夜	ytye
月宫	ytgs
月明星稀	ymxx
有为	yzww
有事	yzui
有交易	yjyi
有余	yzyu
有几何	yjhe
有分数	yfuu
有则改之无则加勉	yzgm
有利于	ylyu
有力	yzli
有咗	yzzo
有型有款	yxyk
有增无减	yzwj
有声气	yuqi
有头无尾	ytww
有如	yzru
有始无终	yuwv
有幸	yzxk
有底	yzdi
有形	yzxk
有心人	yxrf
有志者事竟成	yvvi
有悖于	ybyu
有情	yzqk
有意	yzyi
有意无意	yywy
有成	yzig
有所不同	ysbt
有所作为	yszw
有方	yzfh
有时	yzui
有时候	yuhz
有期	yzqi
有机	yzji
有机体	yjti
有机物	yjwu
有板有眼	ybyy
有毛有翼	ymyy
有源	yzyr
有点	yzdm
有理	yzli
有理冇理	ylml
有理有据	ylyj
有生力量	yull
有用	yzys
有益	yzyi
有着数	yvuu
有神论	yuly
有章可循	yvkx
有线	yzxm
有线电	yxdm
有罪	yzzv
有胆有识	ydyu
有误	yzwu
有说有笑	yuyx
有赖于	ylyu
有路数	yluu
有轨	yzgv
有鉴于此	yjyc
有限	yzxm
服侍	fuui
服刑	fuxk
服务业	fwye
服务员	fwyr
服务器	fwqi
服待	fudd
服毒	fudu
服气	fuqi
服膺	fuyk
服输	fuuu
朗讯	lhxy
望天打卦	wtdg
望望	whwh
望洋	whyh
朝乾夕惕	vqxt
朝圣	icug
朝头早	itzc
朝头早	vtzc
朝政	icvg
朝晖	vchv
朝鲜族	ixzu
期中	qivs
期满	qimj
木乃伊	mnyi
木兰	mulj
木口木面	mkmm
木嘴	muzv
木头车	mtie
木头车	mtju
木床	muil
木版	mubj
木独	mudu
木质	muvi
木鱼	muyu
未了	wwln
未决	wwjt
未完	wwwj
未成	wwig
未有耐	wynd
未知	wwvi
未经	wwjk
未遭	wwzc
末期	moqi
末班车	mbie
本世纪	buji
本义	bfyi
本体	bfti
本原	bfyr
本县	bfxm
本地姜唔辣	bdjl
本市	bfui
本本	bfbf
本来面目	blmm
本源	bfyr
本溪	bfxi
本相	bfxl
本科生	bkug
本职	bfvi
术语	uuyu
朱德	vude
朱熹	vuxi
机井	jijk
机位	jiww
机体	jiti
机关报	jgbc
机关枪	jgql
机具	jiju
机务	jiwu
机动	jids
机动性	jdxk
机动车	jdie
机器人	jqrf
机型	jixk
机头	jitz
机心	jixb
机时	jiui
机智	jivi
机枪	jiql
机械化	jxhx
机械厂	jxih
机械手	jxuz
机油	jiyz
机理	jili
机电	jidm
机种	jivs
机箱	jixl
机群	jiqy
机翼	jiyi
机耕	jigg
机能	jing
机要	jiyc
机警	jijk
机身	jiuf
机车	jiie
机载	jizd
机长	jiih
机长	jivh
机顶盒	jdhe
杀人犯	urfj
杀伤力	uuli
杀手锏	uujm
杀敌致果	udvg
杀机	uaji
杀猪宰羊	uvzy
杂剧	zaju
杂草丛生	zccu
杂记	zaji
杂货店	zhdm
权位	qrww
权力	qrli
权威性	qwxk
杆子	gjzi
杆菌	gjjy
李先念	lxnm
李商隐	luyb
李嘉诚	ljig
李四光	lsgl
李大钊	ldvc
李子	lizi
李宁	link
李敖	liao
李时珍	luvf
李清照	lqvc
李白	libd
李逵	likv
李鹏	lipg
杏仁	xkrf
村头	cytz
杜志民	dvmb
杜若	duro
束缚	uufu
束身自好	uuzh
杠铃	ghlk
条型码	txma
条条框框	ttkk
条气唔顺	tqwu
条理	tnli
条纹	tnwf
来京	ldjk
来势	ldui
来势汹汹	luxx
来意	ldyi
来来往往	llww
来源于	lyyu
来袭	ldxi
来讲	ldjl
来踪去迹	lzqj
杨树	yhuu
杭州市	hvui
杯子	bwzi
杰出	jpiu
松人	ssrf
松劲	ssjb
松化	sshx
松骨	ssgu
松鼠	ssuu
板书	bjuu
板块	bjkk
板子	bjzi
板报	bjbc
板斧	bjfu
板胡	bjhu
板蓝根	blgf
板车	bjie
板载	bjzd
极乐	jile
极光	jigl
极其	jiqi
极具	jiju
极刑	jixk
极力	jili
极化	jihx
极地	jidi
极好	jihc
极度	jidu
极易	jiyi
构件	gzjm
枉法	whfa
枉费	whfw
枕住	vfvu
枕戈待旦	vgdd
枕木	vfmu
林产	lbij
林区	lbqu
林带	lbdd
林檎	lbqb
林海	lbhd
林海雪原	lhxy
林荫道	lydc
果农	gons
果占	govj
果园飘香	gypx
果实累累	gull
果实饱满	gubm
果木	gomu
果栏	golj
果酒	gojq
枝叶	viye
枝头	vitz
枝干	vigj
枝杈	viia
枝条	vitn
枝节	vijp
枣树	zcuu
枧液	jmye
枧粉	jmff
枨鸡	igji
枪声	qlug
枪弹	qldj
枪战	qlvj
枪支	qlvi
枪杆子	qgzi
枯水	kuuv
架世	jxui
架势	jxui
架次	jxci
架设	jxue
枸橘	gzju
枸橼	gzyr
枸橼	juyr
柏树	bduu
柏油	bdyz
染料	rjln
柔媚	rzmw
柠檬酸	nmsr
查勘	iakj
查号台	ihtd
查哨	iauc
查对	iadv
查禁	iajb
查访	iafh
柬埔寨	jbvd
柬埔寨	jpvd
柱子	vuzi
柱石	vuui
柳传志	livi
柳传志	lvvi
柳体	lqti
柴可夫	ikfu
柴台	idtd
柴哇哇	iwwa
柴油机	iyji
柿子	uizi
标准件	bvjm
标准化	bvhx
标准普尔	bvpe
标参	bncj
标参	bnuf
标号	bnhc
标明	bnmk
标牌	bnpd
标示	bnui
标青	bnqk
栈道	vjdc
栉风沐雨	vfmy
栋梁之才	dlvc
栏河	ljhe
树大根深	udgu
树枝	uuvi
树桩	uuvl
树种	uuvs
树脂	uuvi
树身	uuuf
栖息	qixi
栖栖	qiqi
栖栖	qixi
栖栖	xiqi
栖栖	xixi
栖身	qiuf
栖迟	qiii
栖迟	xiii
栝楼	gxlz
栝楼	kolz
栝楼	tmlz
校务	xnwu
校区	jnou
校区	jnqu
校区	xnou
校区	xnqu
校址	xnvi
校官	xngr
校徽	xnhv
校方	xnfh
校样	jnyh
校正	jnvg
校规	xngv
栲栳	kclc
样书	yhuu
样机	yhji
核减	hejm
核动力	hdli
核反应	hfyk
核反应堆	hfyd
核威胁	hwxp
核子	hezi
核实	heui
核弹头	hdtz
核战争	hvvg
核潜艇	hqtk
核燃料	hrln
核物理	hwli
核电	hedm
核电站	hdvj
核糖	heth
核试验	huyj
核酸	hesr
根据地	gjdi
根本性	gbxk
格子	gezi
格律	gelv
格格	gege
格陵兰	gllj
格鲁吉亚	gljy
栽植	zdvi
栽种	zdvs
桂花	gvhx
桃李	tcli
桄榔	gllh
桑梓	shzi
桑榆暮景	symj
桔子	juzi
桔槔	jpgc
桔槔	jugc
桔红色	jhse
桔红色	jhud
桥头堡	qtbc
桥涵	qnhj
桥溜	qnlq
桥身	qnuf
桫椤	solo
梅花	mwhx
梅花鹿	mhlu
梅菜	mwcd
梅雨	mwyu
梆子	bhzi
梗房	ggfh
梗阻	ggzu
梦乡	mgxl
梦秋	mgqq
梨子	lizi
梨树	liuu
梯形	tixk
梯次	tici
梯级	tiji
梳子	uuzi
梳芙	uufu
梵蒂冈	fdgh
梼昧	dcmw
梼昧	izmw
梼昧	tcmw
梼杌	dcwu
梼杌	izwu
梼杌	tcwu
检举	jmju
检字法	jzfa
检察	jmia
检察员	jiyr
检察官	jigr
检察长	jivh
检察院	jiyr
检疫	jmyi
检阅	jmyt
棉农	mmns
棉布	mmbu
棉田	mmtm
棉纱	mmua
棉衣	mmyi
棉衲	mmna
棋友	qiyz
棋圣	qiug
棋坛	qitj
棋子	qizi
棋盘	qipj
棋类	qilw
棋艺	qiyi
棋迷	qimi
棹忌	vcji
棹忌	voji
棺木	grmu
植保	vibc
植树	viuu
植树造林	vuzl
植株	vivu
植物园	vwyr
植物学	vwxt
植物油	vwyz
椎间盘	vjpj
椰丝	yesi
椰子	yezi
椰菜花	ychx
楔子	xpzi
楠木	njmu
楹联	yklm
楼堂馆所	ltgs
楼宇	lzyu
楼板	lzbj
概莫能外	gmnw
概貌	gdmc
榆林	yulb
榆树	yuuu
榜首	bhuz
榴弹炮	ldpc
樗蒲	iupu
模拟器	mnqi
模棱	molg
模模糊糊	mmhh
横丫肠	hyih
横梁	hgll
横眉立目	hmlm
横行	hgxk
横街窄巷	hjvh
横街窄巷	hjvx
樽枳	zyvi
橄榄绿	gllv
橘子	juzi
橙子	igzi
橡皮艇	xptk
檐蛇	yjue
欠薪	qmxb
欠账	qmvh
次之	civi
次品	cipb
次大陆	cdlu
次子	cizi
次次	cici
次第	cidi
次长	ciih
次长	civh
欢声雷动	huld
欢宴	hryj
欢欢喜喜	hhxx
欢欣	hrxb
欢歌笑语	hgxy
欢蹦乱跳	hblt
欢迎会	hyhv
欣喜	xbxi
欣悉	xbxi
欧阳询	oyxy
欸乃	aind
欸乃	eind
欸乃	vdnd
欺压	qiya
款子	krzi
款待	krdd
歇业	xpye
歇暑	xpuu
歇歇	xpxp
歇脚	xpjn
歉意	qmyi
歉收	qmuz
歉疚	qmjq
歌剧	geju
歌剧院	gjyr
歌星	gexk
歌舞剧	gwju
歌舞团	gwtr
止境	vijk
止痛	vits
正中	vgvs
正义	vgyi
正义凛然	vylr
正事	vgui
正值	vgvi
正剧	vgju
正副	vgfu
正史	vgui
正名	vgmk
正告	vggc
正嘢	vgye
正大	vgda
正常值	vivi
正当防卫	vdfw
正房	vgfh
正教	vgjn
正方形	vfxk
正是	vgui
正气	vgqi
正气凛然	vqlr
正法	vgfa
正点	vgdm
正电子	vdzi
正确性	vqxk
正职	vgvi
正规军	vgjy
正规化	vghx
正视	vgui
正解	vgjp
正解	vgxp
正误	vgwu
正负	vgfu
正路	vglu
正身	vguf
正轨	vggv
此事	ciui
此地无银	cdmy
此地无银	cdwy
此致	civi
此行	cixk
此言	ciyj
此项	cixl
步入	buru
步步	bubu
步步登高	bbdg
步行	buxk
步调一致	bdyv
步长	buih
武力	wuli
武士	wuui
武威	wuww
武官	wugr
武将	wujl
武戏	wuxi
武断	wudr
武昌	wuih
武术	wuuu
武汉市	whui
武生	wuug
武艺	wuyi
武装部	wvbu
歧义	qiyi
歧视	qiui
歧途	qitu
歪理	wdli
死亡线	swxm
死人	sirf
死估估	sggu
死地	sidi
死死下	ssxx
死死气	ssqi
死气喉	sqhz
死牛一便颈	snyg
死牛一便颈	snyj
死硬	siyk
死蛇烂蟮	sulu
死蛇烂鳝	sulu
死蠢	siiy
死记	siji
死鸡撑饭盖	sjig
歼击	jmji
歼击机	jjji
歼敌	jmdi
歼灭战	jmvj
残余	cjyu
残垣断壁	cydb
残害	cjhd
残局	cjju
残疾人	cjrf
残联	cjlm
残部	cjbu
残酷无情	ckwq
残阳	cjyh
残阳如血	cyrx
殖民地	vmdi
殡仪馆	bygr
殷墟	ybxu
殷实	ybui
殷殷	ybyb
毁弃	hvqi
毁灭性	hmxk
毅然	yirj
毋宁	wunk
毋庸	wuys
母带	mudd
母本	mubf
母语	muyu
每位	mwww
每台	mwtd
每期	mwqi
每每	mwmw
每隔	mwge
毒气	duqi
毒霸	duba
比价	bijx
比例尺	blii
比值	bivi
比划	bihx
比如说	bruo
比尔	bier
比拟	bini
比翼齐飞	byqf
比试	biui
毕业生	byug
毕加索	bjso
毕恭毕敬	bgbj
毕生	biug
毕节	bijp
毙命	bimk
毛公仔	mgzd
毛公仔	mgzi
毛坯	mcpi
毛纺	mcfh
毛线	mcxm
毛衣	mcyi
毡房	vjfh
毫不利己	hblj
毫不犹豫	hbyy
毫不留情	hblq
毫不相干	hbxg
毫克	hcke
毫无例外	hwlw
毫无疑义	hwyy
毯子	tjzi
毵毵	sjsj
氍毹	quuu
氏族	uizu
民主党派	mvdp
民力	mbli
民品	mbpb
民团	mbtr
民委	mbww
民盟	mbmg
民进	mbjb
民革	mbge
气冲牛斗	qind
气力	qili
气动	qids
气势	qiui
气咳	qike
气垫	qidm
气壮如牛	qvrn
气宇轩昂	qyxa
气性	qixk
气愤	qiff
气昂昂	qaag
气概	qigd
气泡	qipc
气管	qigr
气管炎	qgyj
气罗气喘	qlqi
气象台	qxtd
气贯长虹	qgih
气阀	qifa
气韵	qiyy
氛围	ffww
氢弹	qkdj
氤氲	ybyy
氧化物	yhwu
氮气	djqi
氰化	qkhx
水产品	uipb
水仙花	uxhx
水兵	uvbk
水利局	ulju
水力	uvli
水势	uvui
水印	uvyb
水合物	uhwu
水喉铁	uhtp
水坑	uvkg
水坝	uvba
水墨画	umhx
水尾	uvww
水师	uvui
水平如镜	uprj
水彩画	uchx
水性	uvxk
水情	uvqk
水手	uvuz
水文	uvwf
水文站	uwvj
水旱	uvhj
水星	uvxk
水晶宫	ujgs
水柱	uvvu
水汪汪	uwwh
水流湍急	ultj
水浇地	ujdi
水深	uvuf
水渠	uvqu
水火	uvho
水灵灵	ullk
水电局	udju
水电站	udvj
水皮	uvpi
水磨	uvmo
水箱	uvxl
水粉画	ufhx
水系	uvxi
水肿	uvvs
水蒸气	uvqi
水蛋	uvdj
水警	uvjk
水道	uvdc
水陆	uvlu
水面	uvmm
水饺	uvjn
水龙	uvls
永世	ysui
永中	ysvs
永久性	yjxk
永垂不朽	yibx
汁液	viye
汁都捞埋	vdlm
求全	qqqr
求援	qqyr
求是	qqui
求知	qqvi
求知欲	qvyu
汇价	hvjx
汇合	hvhe
汇报会	hbhv
汇款单	hkdj
汉书	hjuu
汉代	hjdd
汉城	hjig
汉堡包	hbbc
汉奸	hjjm
汉子	hjzi
汉文	hjwf
汉白玉	hbyu
汍澜	wjlj
汗牛充栋	hnid
汛情	xyqk
江北	jlbw
江民	jlmb
江水	jluv
江苏省	jsug
江西省	jxug
江陵	jllk
池子	iizi
污水	wuuv
污水渠	wuqu
污泥浊水	wnvu
污秽	wuhv
污糟邋遢	wzlt
污蔑	wump
污辱	wuru
汤姆	thmu
汩汩	gugu
汩没	gumo
汩没	gumw
汩没	yumo
汩没	yumw
汪延	whyj
汪洋大海	wydh
汲水	jiuv
汽化	qihx
汽笛	qidi
汽车站	qivj
汽轮机	qlji
沁人肺腑	qrff
沁阳	qbyh
沃尔玛	wema
沃达丰	wdfg
沄沄	yyyy
沆瀣	hhxp
沈从文	ucwf
沈阳市	uyui
沉没	ifmo
沉甸甸	iddm
沉积	ifji
沉郁	ifyu
沓正	davg
沓正	tavg
沙俄	uaee
沙地	uadi
沙场	uaih
沙子	uazi
沙市	uaui
沙文主义	uwvy
沙沙	uaua
沙沙滚	uugy
沙河粉	uhff
沙洲	uavz
沙石	uaui
沙砾	uali
沙胆	uadj
沙茶酱	uijl
没什么	mume
没命	mwmk
没治	mwvi
沥青	liqk
沦陷区	lxqu
沧浪	chlh
沧海横流	chhl
沪剧	huju
沮洳	juru
河北省	hbug
河南省	hnug
河堤	hedi
河套	hetc
河山	heuj
河水	heuv
河滩	hetj
河神	heuf
河谷	hegu
河面	hemm
沸水	fwuv
油井	yzjk
油嘴	yzzv
油坊	yzfh
油墨	yzmo
油多	yzdo
油彩	yzcd
油桶	yzts
油气	yzqi
油水	yzuv
油污	yzwu
油滑	yzhx
油漆	yzqi
油灯	yzdg
油烟	yzyj
油画	yzhx
油矿	yzkl
油管	yzgr
油箱	yzxl
油类	yzlw
油罐	yzgr
油耗	yzhc
油脂	yzvi
油船	yzir
油角	yzjn
油角	yzjt
油路	yzlu
治外法权	vwfq
治学	vixt
治愈	viyu
治本	vibf
治标	vibn
治罪	vizv
沼气	vcqi
沼泽地	vzdi
沾满	vjmj
沿江	yjjl
沿袭	yjxi
沿边	yjbm
沿革	yjge
泄欲	xpyu
泉源	qryr
泔水	gjuv
法书	fauu
法事	faui
法典	fadm
法制	favi
法力	fali
法子	fazi
法家	fajx
法师	faui
法拉利	flli
法政	favg
法文	fawf
法新社	fxue
法权	faqr
法理	fali
法纪	faji
