双星	aabj
吸盘	ojns
别家	ojnx
咱家	ojnx
别字	ojnz
蹑手蹑脚	ojod
吸吮	ojog
听听	ojoj
呼呼	ojoj
喊叫	ojol
唾骂	ojoo
别号	ojot
吸附	ojpt
别国	ojqe
哺乳期	ojqv
别解	ojrd
吸湿	ojsb
唾液	ojsd
吸溜	ojsg
听清	ojsl
响马	ojst
唾沫	ojst
响彻	ojst
吃不消	ojsw
别传	ojtf
吃不开	ojth
听候	ojti
听凭	ojtj
听任	ojtj
听政	ojtl
别再	ojtn
唾手可得	ojts
咱俩	ojtt
足不出户	ojud
呼出	ojue
响雷	ojuq
吸食	ojvd
喊着	ojvf
吃不准	ojvt
听命	ojvt
别针	ojvx
嗅觉	ojwn
别绪	ojwy
别克	ojxo
唯我独尊	ojxv
呼救	ojxx
听者	ojyb
听懂	ojyh
别情	ojyl
吹牛皮	okja
哭笑不得	okjs
中长跑	okol
跳蚤	olad
跑题	olbt
足月	oldi
跺脚	oldl
踪迹	oldm
路旁	oldn
跳高	oldo
嘴脸	oldv
吃斋	oldx
跃然	oldy
蹦迪	oldz
叫春	olev
跟班	oley
趿拉	olfd
叫魂	olfg
踏进	olfn
跌打	olft
跌势	olfx
吃掉	olfy
足矣	olgl
跳台	olgo
吃草	olhb
吃菜	olhj
跌落	olhs
跳荡	olhs
吃药	olhw
叫苦	olhx
吃透	olhz
吃请	olil
吹鼓手	oljf
跪拜	oljf
跃升	oljh
啖以重利	oljh
蹦床	oljm
吐血	oljq
吃重	oljt
叫座	oljv
咋办	oljv
吐痰	oljx
咋舌	oljx
嘴边	oljz
中青年	ollc
踏青	olld
叫声	olld
跃增	ollv
吃素	ollw
路标	olmf
吃相	olmg
蹦极	olmj
叫板	olmj
跨栏	olmv
跌宕	olnc
吃完	olnf
叫门	olni
跑官	olnp
跳闸	olnq
跌穿	olnv
吃穿	olnv
足见	olnw
吐字	olnz
叫嚷	olod
唉声叹气	olok
蹊跷	olol
叫嚣	oloo
叫唤	olor
叫号	olot
喀麦隆	olpa
叫阵	olpc
路障	olpd
叫屈	olpu
跃居	olpx
趾甲	olqi
吃罪	olqn
路基	olqv
嘴角	olri
嘴馋	olrl
跳梁	olsd
哧溜	olsg
吃水	olsi
跨海	olsl
叫驴	olst
叫住	oltd
跌到	oltg
足可	olto
跌倒	oltt
跌价	oltv
跪下	olty
足下	olty
吃下	olty
叫醒	olub
吐出	olue
跳出	olue
跨出	olue
路霸	oluh
吐露	oluo
跟前	olvd
吃食	olvd
足金	olvi
吃人	olvi
跑道	olvj
距今	olvj
吃准	olvt
跟从	olvv
蹿红	olwi
跳绳	olwo
叫绝	olwr
践约	olws
跟风	olwx
跨过	olxd
跳过	olxd
吃过	olxd
蹲在	olxi
叫卖	olxj
路数	olxr
路灯	olxt
另起炉灶	olxx
吃劲	olzi
路费	olzs
呆账	ombk
中枢神经	omjw
呆板	ommj
吵嘴	omol
吸尘器	omoo
呆滞	omsh
中小型	omth
别树一帜	omtn
吵醒	omub
中小企业	omvw
中小学生	omwj
中小学校	omwm
呆子	omzi
中央处理器	onao
中央电视台	onbg
吊车	onci
咬紧牙关	oncv
中间商	ondn
中宣部	ondo
吊扇	ondp
喧腾	ondv
中间环节	oneh
喧扰	onfx
趵突泉	ongs
吊带	onhn
中央书记处	onja
中坚力量	onjb
只字不提	onjf
嗣后	onjj
哈密瓜	onjj
路见不平	onjt
吃官司	onjt
吊装	onkl
跌宕起伏	onlt
吊桥	onmj
只见树木，不见森林	onmm
嘘寒问暖	onnb
喧闹	onnd
喧阗	onnx
喧嚷	onod
喧嚣	onoo
味同嚼蜡	onoq
吃闲饭	onrl
中间派	onsj
吊顶	ontj
中央政治局	ontp
喧天	onty
中央人民广播电台	onvg
中间人	onvi
吊线	onwf
吊灯	onxt
喧宾夺主	onyd
哪门子	onzi
患难	ooat
呜呼哀哉	oodl
串通	oodn
吃喝玩乐	ooec
跌跌撞撞	ooff
哑口无言	oofi
哼哈二将	oofk
品茗	oohd
品茶	oohv
唯唯诺诺	ooii
哭诉	ooij
品评	ooit
咒语	ooiw
品貌	oojg
喃喃自语	ooji
器重	oojt
踌躇不前	oojv
口口相传	oomt
串门	ooni
吵吵闹闹	oonn
踏踏实实	oonn
哭喊	oooj
哭叫	oool
吵吵嚷嚷	oooo
哭哭啼啼	oooo
叽叽喳喳	oooo
呱呱坠地	oopl
串联	oopv
咖啡因	ooqy
骂娘	oord
吕梁	oosd
品行	oosf
踌躇满志	oosl
骂人	oovi
呼吸道	oovj
叱咤风云	oowf
串线	oowf
品级	oowj
串烧	ooxx
品性	ooyj
咄咄怪事	ooyt
叩头	opdd
哈尼族	opdh
吃尽苦头	ophd
叩谢	opir
叩拜	opjf
啊呀	opoc
噼啪	opof
另辟蹊径	opos
啊哟	opow
吊民伐罪	optq
叩首	opvj
呢绒	opwt
中耳炎	opxx
吸取教训	opyi
虽则	oqbn
中国电信	oqbt
中国建设银行	oqes
喷墨打印机	oqfm
中国科学院	oqhp
中国共产党	oqhw
中国话	oqij
中国工程院	oqip
中国工商银行	oqis
别具特色	oqjr
中国青年	oqll
嘶鸣	oqog
啰唆	oqog
吊胃口	oqoi
咀嚼	oqoj
嘶叫	oqol
嘶哑	oqot
中国农业银行	oqps
喂马	oqst
中国政府	oqtj
别具一格	oqtm
中国画	oqtq
咽下	oqty
喂食	oqvd
中国人民解放军	oqvn
中国人民	oqvp
中国银行	oqvs
中国人民银行	oqvs
鄂尔多斯	ordq
吹奏	orev
吹动	orfg
吹打	orft
吹拂	orfz
中饱私囊	orht
叫好不叫座	orjj
吐鲁番	orjx
吃饱穿暖	ornb
吃饱喝足	oroo
哈尔滨市	orsd
只欠东风	ortw
吹着	orvf
吹风	orwx
中流砥柱	oscm
另行通知	osdl
响彻云霄	osfu
跳梁小丑	osmj
另行安排	osnf
吗啡	oson
呜咽	osoq
吃得开	osth
吃一堑，长一智	otcl
号脉	otdd
喉头	otdd
另一方面	otdj
哑巴	otdl
哗变	otdm
只可意会，不可言传	otdt
听天由命	otdv
嗟来之食	otdv
哑然	otdy
号外	otdy
哗然	otdy
鄂伦春族	oted
呼天抢地	otfl
哭天抹泪	otfs
号兵	otgv
哑谜	otix
号手	otjf
唯物论	otji
别开生面	otjj
呵斥	otjk
口惠而实不至	otjt
喉舌	otjx
呵气	otkz
叱责	otlb
跌停板	otmj
中低档	otmw
哽塞	otnf
咿呀	otoc
叮咬	otod
哗啦	otof
踱来踱去	otol
号叫	otol
号哭	otoo
号啕	otos
喉咙	otox
中华民族	otpd
中下层	otpf
中华民国	otpq
哑剧	otpx
号角	otri
呵欠	otrv
中下游	otsd
吓死	ottd
吨位	ottd
吓倒	ottt
唯心论	otui
吓人	otvi
中华人民共和国	otvq
哑铃	otvv
叮当	otwe
中低级	otwj
喉结	otwl
唯独	otxj
哑炮	otxs
喉炎	otxx
号子	otzi
唯心主义	oudd
嚅动	oufg
嗤笑	oukj
忠心赤胆	ould
忠心耿耿	oupp
呕心沥血	ousj
口出狂言	ouxi
哈日	ovbi
唯命是从	ovbv
哈腰	ovdc
喻为	ovdj
喻义	ovdx
喻世	ovhl
只许	ovil
吟诗	ovil
只顾	ovjc
只愿	ovjg
响个不停	ovjt
只管	ovkn
中介机构	ovmm
兄弟阋墙	ovnl
哈密	ovnu
吟唱	ovob
吟咏	ovod
吟哦	ovoj
只限	ovpe
哗众取宠	ovpn
只身	ovri
哈欠	ovrv
只须	ovsj
只够	ovso
只消	ovsw
中美洲	ovsy
鸣锣开道	ovtv
路人皆知	ovul
哈韩	ovxb
只求	ovxx
只怕	ovyg
只占	ovyo
哈达	ovyz
中组部	owdo
吊儿郎当	owdw
吟风弄月	owed
兄台	owgo
哨兵	owgv
中纪委	owhr
哨所	owjj
哨声	owld
叶绿素	owlw
哨卡	owly
吹风机	owmw
吆喝	owob
吆五喝六	owod
唔啱	owoe
另当别论	owoi
呼风唤雨	owou
呦呦	owow
兄妹	owrf
兄嫂	owrg
只缘身在此山中	owro
哨位	owtd
品学兼优	owvt
哄堂大笑	owyk
哨子	owzi
叶轮	oxcv
鄙意	oxdb
叶脉	oxdd
喷头	oxdd
鄙弃	oxdg
史迹	oxdm
史部	oxdo
鄙吝	oxdx
嘲弄	oxeh
喷泉	oxgs
叶芽	oxhc
鄙称	oxhr
鄙薄	oxhs
史话	oxij
叶面	oxjq
嗜杀成性	oxjy
史籍	oxke
喷气	oxkz
吱声	oxld
叶柄	oxmt
中直机关	oxmv
史官	oxnp
别有用心	oxnu
叶肉	oxnv
鄙见	oxnw
咕唧	oxoe
喷嘴	oxol
咕哝	oxop
咕嘟	oxoy
嗔怒	oxra
史馆	oxrl
喷溅	oxsb
喷灌	oxsh
喷水	oxsi
中南海	oxsl
喷漆	oxsm
喷涂	oxsv
鄙俚	oxtb
别有天地	oxtl
喷雾	oxua
喷出	oxue
史前	oxvd
鄙人	oxvi
吐故纳新	oxwd
史学	oxwn
别有风味	oxwo
喷绘	oxwv
嗔怪	oxya
喷发	oxya
跑龙套	oxyk
吃大户	oydp
中老年	oylc
嘘唏	oyox
嗜酒	oysu
吼声	ozld
吼叫	ozol
吲哚	ozow
吼吼	ozoz
隆冬	paad
取景	pabd
联欢晚会	pabv
取乐	pacm
降旗	padh
降为	padj
娶亲	padm
聚变	padm
降服	padp
隆胸	pads
聚齐	padx
降耗	paem
聚拢	pafx
聚积	paho
取巧	pait
取自	pajg
降压	pajl
降入	pajn
取笑	pakj
取款	palf
取走	pall
隆起	pall
降格	pama
降尘	paml
取材	pamx
隆隆	papa
聚居	papx
降解	pard
取法	pasl
娶妻	pate
取信	pati
聊备一格	patm
随处可见	patn
取保	pato
取货	patt
取下	paty
降下	paty
降伏	paty
降雪	paue
取舍	pavf
聚首	pavj
取道	pavj
聚敛	pavt
聚众	pavv
取经	pawz
聚在	paxi
降火	paxi
聚餐	payd
卫星通信	pbdt
阳文	pbdx
阳春	pbev
阳寿	pbfx
阳泉	pbgs
阳世	pbhl
聪明反被聪明误	pbji
阳历	pbjj
随遇而安	pbjn
阴暗面	pbjq
阳气	pbkz
阳极	pbmj
阳间	pbnb
除暴安良	pbnd
阳宅	pbnj
阳刚	pbnx
随时随地	pbpl
阳平	pbtv
阳伞	pbvv
阳线	pbwf
聪明绝顶	pbwt
聪明才智	pbxl
阳燧	pbxv
阵脚	pcdl
聊斋	pcdx
阵势	pcfx
阵痛	pcjd
障碍物	pcjf
聊以	pcld
阵雨	pcui
阵前	pcvd
阵线	pcwf
阵风	pcwx
层峦叠嶂	pdae
防务	pdaj
防晒	pdbc
防暴	pdbh
阴晴	pdbl
防暑	pdby
防区	pdcx
聘为	pddj
阴部	pddo
阴户	pddp
阴柔	pddt
阴文	pddx
聊胜于无	pdff
阴云	pdfg
阴损	pdfo
阴鸷	pdfx
耳熟能详	pdgi
阴蒂	pdhd
阴私	pdhg
陪葬	pdht
阴茎	pdhz
陪读	pdix
取之不尽，用之不竭	pdjd
阴唇	pdjf
陪衬	pdjk
阴面	pdjq
阴司	pdjt
随之而来	pdjt
居高不下	pdjt
阴笑	pdkj
阴气	pdkz
防地	pdlc
聊斋志异	pdle
阴毒	pdlq
防毒	pdlq
阴极	pdmj
防尘	pdml
阴森	pdmm
陪客	pdna
陪审	pdnb
阴间	pdnb
阴宅	pdnj
居高临下	pdnt
民脂民膏	pdpd
防除	pdpv
阴骘	pdpy
聘期	pdqv
防身	pdri
陪嫁	pdrn
阴湿	pdsb
民怨沸腾	pdsd
届满	pdsh
阴沟	pdss
民意测验	pdss
陪酒	pdsu
防潮	pdsx
阴德	pdsx
阴囊	pdto
民族化	pdtt
阴平	pdtv
阴天	pdty
阴曹	pdub
阴雨	pdui
防雨	pdui
防震	pduj
阴霾	pduj
阴凉	pdvd
劈头盖脸	pdvd
局外人	pdvi
防冻	pdvt
阴冷	pdvv
陪送	pdvy
阴线	pdwf
民主党	pdwn
陪练	pdwt
阴风	pdwx
防风	pdwx
防爆	pdxb
阴郁	pdxd
阴狠	pdxj
取之有道	pdxv
防弹	pdzs
隔岸观火	peax
限电	pebl
限时	pebx
限产	pedj
限止	peli
限界	peqv
限价	petv
限养	peve
限令	pevj
隔三差五	pevw
层叠	pfaa
际遇	pfbn
熨斗	pfdd
层高	pfdo
陆运	pffg
层报	pffp
屈打成招	pfjf
阴魂不散	pfjh
层压	pfjl
遐想	pfmg
层析	pfmj
防护林	pfmm
熨帖	pfni
陆路	pfol
陈规陋习	pfpj
尉迟	pfpn
遐思	pfqu
遐迩	pfrm
慰勉	pfro
阿拉伯人	pftv
际会	pfvf
展示会	pfvf
层级	pfwj
层数	pfxr
农贸市场	pgdl
职能部门	pgdn
居留权	pgma
壁垒森严	pgmt
障眼法	pgsl
耳目一新	pgtd
展映	phbn
隔世之感	phdj
臀部	phdo
隔靴搔痒	phfj
展播	phfj
展宽	phnh
陕甘宁	phnt
展室	phnt
农艺师	phnt
展期	phqv
展露	phuo
居委会	phvf
展销会	phvv
降落伞	phvv
展销	phvw
展业	phwt
展翅	phxa
耳旁	pidn
农工商	pidn
耳环	piej
阿谀奉承	piej
耳目	pigi
阴谋诡计	piii
耳语	piiw
耳力	piji
屡试不爽	pijy
耳麦	pila
耳根	pime
尸检	pimv
耳塞	pinf
耳闻	pinp
阴谋家	pinx
耳鸣	piog
耳际	pipf
鹤壁	pipo
职工队伍	pipt
尸骨	piqd
耳畔	piqv
尸身	piri
居功至伟	pitt
尸首	pivj
耳光	piww
除旧布新	pixd
耳聋	pixt
耳套	piyk
卫生条件	pjat
联系电话	pjbi
阿司匹林	pjcm
卫戍区	pjcx
农牧区	pjcx
尾部	pjdo
尾房	pjdp
联系方法	pjds
联系方式	pjdt
防腐剂	pjdx
局外	pjdy
尼加拉瓜	pjfj
附加税	pjhv
尽力而为	pjjd
避而不谈	pjji
卫生所	pjjj
尾追	pjjp
附近地区	pjlc
属地	pjlc
尾款	pjlf
履历表	pjlk
联系地址	pjll
阿鼻地狱	pjlx
属相	pjmg
联系实际	pjnp
卫生员	pjob
陌路	pjol
聒噪	pjoo
民不聊生	pjpj
阡陌	pjpj
卫生防疫	pjpj
卫生局	pjpj
卫生院	pjpn
尾随	pjpx
局限性	pjpy
尾骨	pjqd
陷入困境	pjql
尾鳍	pjrt
农牧渔业	pjsw
取而代之	pjtd
隆重开幕	pjth
民生凋敝	pjvv
联系业务	pjwa
卫生纸	pjwc
附庸风雅	pjwc
农牧业	pjwt
卫生组织	pjww
尾数	pjxr
尾灯	pjxt
附加费	pjzs
农垦	pkek
农耕	pkem
农夫	pkfv
农委	pkhr
农牧	pkjf
耳鬓厮磨	pkjj
农闲	pknm
农奴	pkra
农妇	pkre
农活	pksj
农作物	pktj
农事	pkto
农学	pkwn
农忙	pkyd
除此之外	pldd
陡变	pldm
陡然	pldy
陡峭	plew
尽收眼底	plgj
陵墓	plhb
除却巫山不是云	plif
聊以自慰	pljp
防毒面具	pljq
耻笑	plkj
除此以外	plld
陡坡	pllj
鸩毒	pllq
陵寝	plnk
随声附和	plph
陡壁	plpo
耻骨	plqd
陵园	plqf
民以食为天	plvt
隔墙有耳	plxp
屡禁不止	pmjl
屡禁不绝	pmjw
隙地	pmlc
阴森森	pmmm
隙缝	pmwa
层见叠出	pnau
院里	pnbl
慰问电	pnbl
刷牙	pnci
尺码	pncs
农家肥	pndd
院方	pndh
院部	pndo
避实就虚	pndy
尽然	pndy
迟暮	pnhb
民间艺术	pnhm
院落	pnhs
迟误	pnio
展览厅	pnjt
院墙	pnlx
屠宰场	pnlz
陪审员	pnob
展览品	pnoo
慰问品	pnoo
刷屏	pnpv
居安思危	pnqr
慰问团	pnqx
展览馆	pnrl
迟滞	pnsh
刷洗	pnsj
防空洞	pnsn
尽出	pnue
尽心	pnui
聚宝盆	pnvd
尽兴	pnwv
尽数	pnxr
尽孝	pnyz
刷子	pnzi
尺子	pnzi
劈叉	poad
陨星	pobj
避暑	poby
陨石	poci
辟邪	poci
臂章	podb
臂膀	podd
劈头	podd
职高	podo
耳听为虚	pody
防患未然	pofd
防患于未然	pofd
耶路撒冷	pofv
陨落	pohs
避税	pohv
辟谣	poij
避让	poil
臂力	poji
随口而出	poju
劈柴	polt
壁柜	pomg
壁橱	pomj
职守	ponx
臂助	poqf
壁饰	porl
避嫌	porv
壁画	potq
陨灭	potx
避雨	poui
职前	povd
职分	povd
辟谷	povv
职级	powj
职掌	pown
壁炉	poxd
壁布	poxn
壁灯	poxt
壁虎	poyw
层层叠叠	ppaa
居民区	ppcx
耳聪目明	ppgb
农民工	ppii
陈陈相因	ppmq
农民阶级	pppw
耶稣	pprt
履险如夷	pprt
隐隐作痛	pptj
咫尺天涯	ppts
随随便便	pptt
阿联酋	ppvu
防卫过当	ppxw
局限性	ppyj
阴阳怪气	ppyk
阻遏	pqbs
阻抗	pqfd
尽其所能	pqjg
阿其所好	pqjr
阻截	pqlt
阻隔	pqpt
阻尼	pqpt
阻滞	pqsh
农田水利	pqsh
尼罗河	pqst
阻值	pqtx
阻绝	pqwr
阻断	pqxl
阿基米德	pqxs
隐匿	prch
隐忍	prdd
隐衷	prdo
隐然	prdy
险象环生	prej
隐退	prek
隐现	pren
陷于	prfi
陷落	prhs
隐秘	prhu
隐讳	prif
隐语	priw
隐痛	prjd
隐遁	prjj
隐疾	prjl
隐血	prjq
陷坑	prld
隐姓埋名	prld
隐士	prli
隐密	prnu
隐喻	prov
陷阵	prpc
隐隐	prpr
隐逸	prro
阿尔法	prsl
隐没	prsw
隐僻	prtp
隐伏	prty
隐性	pryj
隐情	pryl
隐忧	pryx
降水量	psbt
民法通则	psdb
随行就市	psdd
陶文	psdx
防御能力	psgj
耳濡目染	psgs
履带	pshn
陶艺	pshz
聚沙成塔	psjl
尿床	psjm
阴沟翻船	psjn
犀牛	pski
陶土	psli
尿素	pslw
防微杜渐	psms
陆海空	psnv
履职	pspo
隔行如隔山	psre
犀角	psri
尼泊尔	psrm
陶俑	pstd
尿道	psvj
随行人员	psvo
陶塑	psvu
履约	psws
尿布	psxn
尿频	psyj
除恶务尽	ptap
民盟	ptbd
隔日	ptbi
陈账	ptbk
屋里	ptbl
居住区	ptcx
隔音	ptdb
民怨	ptdc
阿胶	ptdd
阿斗	ptdd
隔膜	ptdh
陈迹	ptdm
卫通	ptdn
农副产品	ptdo
隔扇	ptdp
隔夜	ptdt
队伍建设	ptei
卫护	ptfd
取信于民	ptfp
陈规	ptfv
隐恶扬善	ptfv
隔热	ptfx
卫兵	ptgv
隐形眼镜	ptgv
隔世	pthl
民革	pthp
民委	pthr
阿谀	ptig
附言	ptii
陈词	ptij
陈诉	ptij
民谣	ptij
民事诉讼法	ptis
陈说	ptiv
陈皮	ptja
卫戍	ptjd
附庸	ptje
农作物	ptjf
陋习	ptji
附后	ptjj
降低成本	ptjm
局促不安	ptjn
屋架	ptjo
陈腐	ptjt
迟疑不决	ptjv
陕北	ptkt
陈年	ptlc
附上	ptli
隔墙	ptlx
尸位素餐	ptly
民权	ptma
民事权利	ptmh
附小	ptmi
隔板	ptmj
防伪标志	ptml
屋檐	ptmr
阿门	ptni
民宅	ptnj
民防	ptpd
附耳	ptpi
阿Ｑ	ptpt
卫队	ptpv
卫国	ptqe
阶下囚	ptqv
阿妈	ptrs
尼姑	ptrx
附注	ptsd
隔行	ptsf
阿訇	ptsi
阿婆	ptsj
陈酒	ptsu
阿伯	pttg
隔开	ptth
取保候审	pttn
阿哥	ptto
陈醋	ptuh
附着	ptvf
阿公	ptvg
卫道	ptvj
阿爸	ptvx
农副业	ptwt
尼龙	ptxt
屋脊	ptxv
民愤	ptyx
阿飞	ptzv
降雨量	pubt
阴雨连绵	pucw
尽心竭力	pudj
屈膝	pudm
屈就	pudo
屈指	puft
居心不良	pujd
阴曹地府	pulj
尽心尽力	pupj
屈居	pupx
居心何在	putx
屈尊	puvu
屈从	puvv
避雷针	puvx
屈才	puxj
队里	pvbl
队医	pvcl
降半旗	pvdh
队旗	pvdh
险胜	pvdj
取人之长	pvdk
除名	pvdo
联翩	pvdp
险峰	pvea
险峻	pveg
聪慧	pvff
联运	pvfg
除掉	pvfy
除草	pvhb
坠落	pvhs
险工	pvii
联合攻关	pviv
聚合物	pvjf
除息	pvjg
屏息	pvjg
联席	pvjh
附着力	pvji
联办	pvjv
联合声明	pvlb
坠地	pvlc
险境	pvld
除以	pvld
险些	pvlt
除权	pvma
除尘	pvml
阶梯	pvmv
联机	pvmw
除害	pvnf
防盗门	pvni
隘口	pvoi
除号	pvot
联防	pvpd
险阻	pvpq
尽善尽美	pvpv
阴错阳差	pvpv
阴差阳错	pvpv
联队	pvpv
险隘	pvpv
险固	pvqx
险象	pvro
险滩	pvsa
联合行动	pvsf
除法	pvsl
隧洞	pvsn
坠下	pvtd
队列	pvtd
聪颖	pvth
联合体	pvtm
联保	pvto
队歌	pvto
险遭	pvub
尽人皆知	pvul
除霜	pvum
层次分明	pvvb
展销会	pvvf
联结	pvwl
联合组织	pvww
屏风	pvwx
除数	pvxr
联大	pvyi
险情	pvyl
坠子	pvzi
陈谷子烂芝麻	pvzj
职业高中	pwdo
阶级斗争	pwdr
农业生产	pwjd
随风而去	pwjl
职业病	pwjt
防风林	pwmm
联络员	pwob
农业局	pwpj
农学院	pwpn
聚光镜	pwvd
农业银行	pwvs
职业道德	pwvs
职业学校	pwwm
聚光灯	pwxt
职业教育	pwyd
堕胎	pxdg
居留	pxgd
耳聋眼花	pxgh
剧目	pxgi
随带	pxhn
随和	pxho
剧种	pxho
随葬	pxht
屡获	pxhx
陈独秀	pxhz
随访	pxid
居功	pxij
随记	pxiz
剧痛	pxjd
居所	pxjj
尺有所短，寸有所长	pxjk
堕入	pxjn
随感	pxjt
居士	pxli
随喜	pxlo
剧毒	pxlq
随想	pxmg
随顺	pxmj
居间	pxnb
随军	pxnc
随员	pxob
随口	pxoi
居中	pxoi
剧团	pxqx
随行	pxsf
陇海	pxsl
堕下	pxtd
堕下	pxty
降龙伏虎	pxty
聚精会神	pxvj
剧减	pxvj
随从	pxvv
剧终	pxwa
随缘	pxwl
展翅飞翔	pxzv
屠刀	pydi
屠夫	pyfv
尾大不掉	pyjf
屠戮	pyjj
屡教不改	pyjz
屠城	pylj
屡战屡败	pypb
陆战队	pypv
随大流	pysd
取大优先	pytj
聚乙烯	pzxx
孱弱	pzzs
图景	qabd
略显	qabw
国务卿	qacj
略为	qadj
蜂房	qadp
图腾	qadv
蜂王	qaei
蜂群	qaej
蜂拥	qafn
蜂鸟	qagt
略带	qahn
国务委员	qaho
图谱	qaiv
困难重重	qajj
略加	qajo
图符	qakt
略去	qalg
图板	qamj
图鉴	qank
图册	qann
蜂蜜	qanu
蜂窝	qanv
蜂蜡	qaqh
男欢女爱	qarj
蜂巢	qasb
图钉	qavt
四处奔波	qays
遗照	qbbd
贵贱	qbbf
遗赠	qbbv
遗撒	qbfh
因果报应	qbfj
罗曼蒂克	qbhx
遗著	qbhy
遗言	qbii
遗训	qbim
遗愿	qbjg
遗书	qbjj
贵重	qbjt
遗祸	qbjy
因时制宜	qbkn
遗志	qblu
遗容	qbnv
贵阳市	qbpd
遗尿	qbps
遗民	qbpt
圆明园	qbqf
贵姓	qbrj
遗孀	qbru
贵妃	qbrz
遗漏	qbsp
遗事	qbto
遗像	qbtr
贵人	qbvi
斯里兰卡	qbvl
遗存	qbxi
遗精	qbxl
贵州市	qbyd
遗恨	qbye
遗孤	qbzj
骨碌碌	qcce
基础研究	qccn
基础理论	qcei
逻辑推理	qcfe
其乐无穷	qcfn
基础科学	qchw
基础课	qcib
基础知识	qcli
蚜虫	qcqi
逻辑思维	qcqw
其乐融融	qctt
逻辑学	qcwn
欺软怕硬	qcyc
基础教育	qcyd
黑匣子	qczi
回头是岸	qdbe
蛀牙	qdci
逻辑性	qdcy
胃胀	qddk
略多于	qdfi
略高于	qdfi
斯文扫地	qdfl
蚊香	qdhb
回肠荡气	qdhk
骨节	qdhp
团市委	qdhr
蝶恋花	qdht
胃痛	qdjd
置之度外	qdjd
置之不理	qdje
胃癌	qdjo
四肢百骸	qdjq
骨血	qdjq
胃病	qdjt
黯然神伤	qdjt
四六不懂	qdjy
螺旋桨	qdkd
黯然失色	qdkr
骨龄	qdlw
蝇头小利	qdmh
蚊帐	qdni
罗网	qdnx
回头路	qdol
蛀虫	qdqi
蚊蝇	qdqo
蛀蚀	qdrl
罗汉	qdsa
胃液	qdsd
置之死地而后生	qdtj
略胜一筹	qdtk
置之死地	qdtl
骨刺	qdtn
四月份	qdtv
胃酸	qdug
黑名单	qdvb
胃镜	qdvd
骨盆	qdvd
图文并茂	qdvh
骨针	qdvx
蛟龙	qdxt
胃炎	qdxx
蚊子	qdzi
遗腹子	qdzi
骰子	qdzi
国务	qeaj
国难	qeat
国贼	qebt
国医	qecl
国乐	qecm
具名	qedo
国名	qedo
国文	qedx
国君	qeej
国葬	qeht
国花	qeht
国税	qehv
国药	qehw
国手	qejf
国书	qejj
国威	qejt
圆珠笔	qekj
国策	qekt
四环素	qelw
国格	qema
国标	qemf
国宴	qenb
国军	qenc
国宾	qeng
四环路	qeol
国骂	qeoo
国号	qeot
国史	qeox
国耻	qepl
国界	qeqv
国色	qerd
国徽	qese
国法	qesl
国殇	qetd
国体	qetm
国事	qeto
甚至会	qetv
具结	qewl
国学	qewn
悬崖绝壁	qewp
国光	qeww
国粹	qexd
国都	qeyb
县里	qfbl
县区	qfcx
围垦	qfek
助推	qfft
围捕	qfft
围拢	qffx
且能	qfgd
助攻	qfia
助工	qfii
助词	qfij
助动词	qfij
且说	qfiv
且看	qfjf
围成	qfjj
围裙	qfjk
蜂拥而上	qfjl
围追	qfjp
悬乎	qfjv
悬垂	qfjx
助长	qfki
蚌埠	qflj
围城	qflj
围起	qfll
悬壶	qfln
蚌壳	qfln
县志	qflu
悬梯	qfmv
围巾	qfni
县官	qfnp
悬案	qfnr
助跑	qfol
悬吊	qfon
圆括号	qfot
助阵	qfpc
悬臂	qfpo
悬梁	qfsd
围歼	qftd
悬心	qfui
围着	qfvf
县乡	qfwj
助燃	qfxd
围猎	qfxj
且慢	qfyb
围桌	qfyb
助战	qfyo
园子	qfzi
固执己见	qfzn
鸭梨	qghn
鸭蛋	qgjl
蝗灾	qgnx
蝗虫	qgqi
虾兵蟹将	qgrk
黑白混淆	qgss
黑白分明	qgvb
鸭绒	qgwt
黑白颠倒	qgxt
鸭子	qgzi
黑影	qhbd
墨迹	qhdm
默哀	qhdo
黑户	qhdp
默然	qhdy
黑帮	qhfp
羁押	qhfq
黑熊	qhgd
蜡黄	qhhd
默许	qhil
黑手	qhjf
黑痣	qhjl
蜡笔	qhkj
置若罔闻	qhnn
默写	qhns
黑窝	qhnv
墨家	qhnx
黑哨	qhow
黑陶	qhps
黑屏	qhpv
囤积居奇	qhpy
黝黑	qhqh
默默地	qhql
蟒蛇	qhqn
蝶泳	qhsd
蜡泪	qhsg
罪孽深重	qhsj
黑海	qhsl
黑河	qhst
蜡染	qhsx
墨汁	qhsx
黯淡	qhsx
蜡像	qhtr
黑恶	qhtw
黑天	qhty
黑心	qhui
墨镜	qhvd
黑钱	qhvf
黑金	qhvi
黑种人	qhvi
黑道	qhvj
固若金汤	qhvs
蜡纸	qhwc
墨绿	qhwe
四季常青	qhwl
黑纱	qhwm
羁绊	qhwv
蜡丸	qhxd
蝇营狗苟	qhxh
围魏救赵	qhxl
黑烟	qhxq
田鸡	qiag
四则	qibn
四时	qibx
虫卵	qicy
甲胄	qidd
略识之无	qidf
甲方	qidh
虹膜	qidh
田产	qidj
四旁	qidn
田亩	qidq
田鼠	qigl
甲兵	qigv
虫草	qihb
四散	qihd
甲苯	qihm
助记词	qiij
四百	qijb
四顾	qijc
图谋不轨	qijc
四书	qijj
